"year","age","pred","actual"
1951,0,-2.94033182361241,-3.22766433090128
1951,1,-5.8221993370451,-5.72296529407298
1951,2,-6.51165741644923,-6.39493165255347
1951,3,-6.71829594620346,-6.55008083471032
1951,4,-6.90365667928408,-6.82157758274108
1951,5,-7.03153969492777,-6.94857727350239
1951,6,-7.12745585850592,-7.02428909523809
1951,7,-7.23818022562835,-7.05857816871672
1951,8,-7.33356240332439,-7.1821921246839
1951,9,-7.41462474178152,-7.26443022292087
1951,10,-7.45998192680903,-7.33853819507459
1951,11,-7.50755749435455,-7.3697907385787
1951,12,-7.50104508097336,-7.41858090274813
1951,13,-7.45319711793165,-7.3697907385787
1951,14,-7.37718650202153,-7.22246602382184
1951,15,-7.25845007892818,-7.04701734631564
1951,16,-7.08481929352981,-6.91780561483564
1951,17,-6.92097113482766,-6.74224084050456
1951,18,-6.79611648478371,-6.70074110959781
1951,19,-6.70383457335953,-6.67664355801875
1951,20,-6.67890051412212,-6.53619172254965
1951,21,-6.69320221144746,-6.55008083471032
1951,22,-6.71870120453718,-6.60027057923418
1951,23,-6.74897285485655,-6.61508566501932
1951,24,-6.7601568109786,-6.48248754357779
1951,25,-6.74607921964425,-6.55709840736897
1951,26,-6.73562267421797,-6.55709840736897
1951,27,-6.70772027777126,-6.55008083471032
1951,28,-6.67228565228791,-6.6076506865318
1951,29,-6.63059513474521,-6.41917526416347
1951,30,-6.57782017481218,-6.38302675004716
1951,31,-6.52235580959079,-6.37712702791997
1951,32,-6.43293658540873,-6.39493165255347
1951,33,-6.38065385827735,-6.40697999106965
1951,34,-6.31623859305846,-6.17538738526891
1951,35,-6.25237492204956,-6.23481080573971
1951,36,-6.19421608247572,-6.14228743684257
1951,37,-6.10257514086507,-6.08797544748883
1951,38,-6.01061958379028,-5.97559119795169
1951,39,-5.94371287357508,-5.95996588004861
1951,40,-5.90299921803956,-5.82256601064617
1951,41,-5.82397424315414,-5.80581520022135
1951,42,-5.72920655608163,-5.60756361691566
1951,43,-5.63339344124041,-5.53657455567229
1951,44,-5.52763268832746,-5.5727542122498
1951,45,-5.41195457833086,-5.36873983084458
1951,46,-5.28308796416062,-5.31852007386556
1951,47,-5.19288777061887,-5.20665017802221
1951,48,-5.11980233817515,-5.12100835157763
1951,49,-5.02571975012042,-5.07837894618278
1951,50,-4.94004808063714,-4.88356221153278
1951,51,-4.84561503620897,-4.81219435542242
1951,52,-4.7099801626551,-4.79754207863555
1951,53,-4.64579942502277,-4.75599307572268
1951,54,-4.60479479853912,-4.63872696951693
1951,55,-4.55552222839572,-4.53844655394518
1951,56,-4.46202794357919,-4.40386332928306
1951,57,-4.34538074191707,-4.32905474990778
1951,58,-4.22955522887282,-4.23567773833874
1951,59,-4.13113721537734,-4.16305176023189
1951,60,-4.01797276088152,-4.05185995061595
1951,61,-3.90915656289492,-4.05531617525462
1951,62,-3.78424428559615,-3.85234000326697
1951,63,-3.70476482909684,-3.80227214146903
1951,64,-3.61355195660828,-3.70989882133801
1951,65,-3.5314284496045,-3.58524041935445
1951,66,-3.48163009745901,-3.65621867187439
1951,67,-3.42798445907168,-3.51593505913258
1951,68,-3.33274835045907,-3.43485758315479
1951,69,-3.25178992781562,-3.28288115484411
