"year","age","pred","actual"
1951,0,-2.97932706642412,-3.22766433090128
1951,1,-5.63980620749345,-5.72296529407298
1951,2,-6.54878017366832,-6.39493165255347
1951,3,-6.78089341836324,-6.55008083471032
1951,4,-6.92135024746242,-6.82157758274108
1951,5,-7.05210515470144,-6.94857727350239
1951,6,-7.15676665438891,-7.02428909523809
1951,7,-7.27400436866748,-7.05857816871672
1951,8,-7.37271665467257,-7.1821921246839
1951,9,-7.44276445046513,-7.26443022292087
1951,10,-7.49452252946402,-7.33853819507459
1951,11,-7.51758837179435,-7.3697907385787
1951,12,-7.51835139933512,-7.41858090274813
1951,13,-7.49143306830244,-7.3697907385787
1951,14,-7.42137326683179,-7.22246602382184
1951,15,-7.31573450494787,-7.04701734631564
1951,16,-7.14498481549802,-6.91780561483564
1951,17,-6.94697903527192,-6.74224084050456
1951,18,-6.80367112441944,-6.70074110959781
1951,19,-6.70229784656413,-6.67664355801875
1951,20,-6.66362782423221,-6.53619172254965
1951,21,-6.65836733628287,-6.55008083471032
1951,22,-6.7112767598105,-6.60027057923418
1951,23,-6.74497162914232,-6.61508566501932
1951,24,-6.74320506030973,-6.48248754357779
1951,25,-6.73972941650296,-6.55709840736897
1951,26,-6.74399783525288,-6.55709840736897
1951,27,-6.72188324281646,-6.55008083471032
1951,28,-6.69377234776027,-6.6076506865318
1951,29,-6.66463336647038,-6.41917526416347
1951,30,-6.61041412346324,-6.38302675004716
1951,31,-6.56684591786742,-6.37712702791997
1951,32,-6.50408970396402,-6.39493165255347
1951,33,-6.45206603268652,-6.40697999106965
1951,34,-6.39184381723844,-6.17538738526891
1951,35,-6.32522084121541,-6.23481080573971
1951,36,-6.25482408037972,-6.14228743684257
1951,37,-6.12544849215672,-6.08797544748883
1951,38,-6.06092050696022,-5.97559119795169
1951,39,-6.00803189327462,-5.95996588004861
1951,40,-5.93674844641384,-5.82256601064617
1951,41,-5.84155976022968,-5.80581520022135
1951,42,-5.74842631273793,-5.60756361691566
1951,43,-5.63686775108295,-5.53657455567229
1951,44,-5.54933955459633,-5.5727542122498
1951,45,-5.47683756475863,-5.36873983084458
1951,46,-5.37336669484654,-5.31852007386556
1951,47,-5.26105300938886,-5.20665017802221
1951,48,-5.20414546161385,-5.12100835157763
1951,49,-5.12162136515116,-5.07837894618278
1951,50,-5.03600383898331,-4.88356221153278
1951,51,-4.91219333068318,-4.81219435542242
1951,52,-4.78127496488639,-4.79754207863555
1951,53,-4.71104221495305,-4.75599307572268
1951,54,-4.6441415742751,-4.63872696951693
1951,55,-4.54495473049444,-4.53844655394518
1951,56,-4.43905064312476,-4.40386332928306
1951,57,-4.30123953198534,-4.32905474990778
1951,58,-4.18073820751468,-4.23567773833874
1951,59,-4.10826366399106,-4.16305176023189
1951,60,-4.02005427866932,-4.05185995061595
1951,61,-3.94681270571222,-4.05531617525462
1951,62,-3.8307700899892,-3.85234000326697
1951,63,-3.70643948779384,-3.80227214146903
1951,64,-3.61810104143264,-3.70989882133801
1951,65,-3.5682374584362,-3.58524041935445
1951,66,-3.50806633381821,-3.65621867187439
1951,67,-3.45916894111509,-3.51593505913258
