"year","age","pred","actual"
1951,0,-3.54386828096384,-3.54218507496313
1951,1,-6.22915788657445,-6.06618809330392
1951,2,-6.82815884748426,-6.63772814176908
1951,3,-7.21123098563711,-7.20886037176606
1951,4,-7.44040675064266,-7.3697907385787
1951,5,-7.59333432875681,-7.66277786326017
1951,6,-7.70817841567037,-7.52394141840595
1951,7,-7.68771827944474,-7.75172534927667
1951,8,-7.82945095560758,-8.0471895621705
1951,9,-7.80990755299976,-7.82404601085629
1951,10,-7.95740405031334,-8.0471895621705
1951,11,-8.18641344514381,-8.18072095479502
1951,12,-8.18053220286609,-7.82404601085629
1951,13,-8.12681812053938,-7.75172534927667
1951,14,-7.9668036822631,-7.50559227973776
1951,15,-7.72303629089827,-7.87533930524384
1951,16,-7.51310118005268,-7.3697907385787
1951,17,-7.38055536309869,-7.33853819507459
1951,18,-7.13990797840163,-7.3697907385787
1951,19,-7.08510244547902,-6.95904857336969
1951,20,-7.12058753446382,-7.19543735143392
1951,21,-7.06665558643164,-7.03558865049202
1951,22,-7.07639757877571,-6.88795265168596
1951,23,-7.14591272506952,-6.71713491937349
1951,24,-7.11976417186264,-7.02428909523809
1951,25,-7.04381180132847,-6.84009663050832
1951,26,-7.04654530857589,-6.83079423784601
1951,27,-6.96682782253178,-6.86853456582886
1951,28,-6.94899905132023,-6.84948637085816
1951,29,-6.89448410031907,-6.57128304236092
1951,30,-6.87670017548975,-6.81244509917781
1951,31,-6.76347395364614,-6.62257633674847
1951,32,-6.75077719303948,-6.50897915902477
1951,33,-6.70000542950647,-6.43152109998577
1951,34,-6.61536347116261,-6.51571319120611
1951,35,-6.53752797698852,-6.34813949104671
1951,36,-6.50510234498192,-6.30343931212881
1951,37,-6.38704926599231,-6.16106733149416
1951,38,-6.30718210337912,-6.07920346141599
1951,39,-6.22559465052016,-6.32553965912947
1951,40,-6.13729184096827,-6.19971948592844
1951,41,-6.07313088585755,-5.83617166270195
1951,42,-5.93930503714832,-5.8464987768578
1951,43,-5.85734438316532,-5.83617166270195
1951,44,-5.74720393195006,-5.70478297498978
1951,45,-5.64997711674826,-5.57803126935064
1951,46,-5.54703260001909,-5.47505454504809
1951,47,-5.47623883668241,-5.48224020470897
1951,48,-5.38922249582706,-5.26681869948867
1951,49,-5.31351518884373,-5.31038994778231
1951,50,-5.22730981417238,-5.21213967030698
1951,51,-5.10256118446308,-5.07197892433731
1951,52,-4.98595097062286,-4.94204250263064
1951,53,-4.91693079682061,-4.89552248699575
1951,54,-4.8300844336569,-4.84979276897942
1951,55,-4.73642057156691,-4.73870157861261
1951,56,-4.66601634928218,-4.64079736363124
1951,57,-4.58006106039061,-4.57270299585059
1951,58,-4.48348324449,-4.53751153751428
1951,59,-4.373260386279,-4.47326511510815
1951,60,-4.2824963308759,-4.21448036346208
1951,61,-4.20600566228373,-4.22399777044897
1951,62,-4.09988511627681,-4.10621473479259
1951,63,-3.9926223314998,-3.97496280520202
1951,64,-3.89941344090902,-3.87810478722469
1951,65,-3.80341544487455,-3.81853266234081
1951,66,-3.74572241326269,-3.70095203534821
1951,67,-3.64281793289368,-3.59940444768633
1951,68,-3.57683829429164,-3.53050911814249
1951,69,-3.49355318658489,-3.40099740165949
1951,70,-3.37023355784371,-3.24086584275982
1951,71,-3.24665263172721,-3.17605582768527
1951,72,-3.14068727966762,-3.02310347035012
1951,73,-3.01384317799119,-2.95324766194784
1951,74,-2.91304237492107,-2.85215154507647
1951,75,-2.75891073510612,-2.73598681979523
1951,76,-2.67332403183947,-2.67292439912684
1951,77,-2.50460486833113,-2.48915566407742
1951,78,-2.45584454285028,-2.39021484295502
1951,79,-2.33305231888182,-2.3196295276033
1951,80,-2.31189727593849,-2.23045049523485
1951,81,-2.1752490760448,-2.12762389060638
1951,82,-2.11668988678247,-2.01793260510263
1951,83,-2.04988292438461,-1.88203434746784
1951,84,-1.96023599660698,-1.86484642433559
1951,85,-1.87277536533083,-1.65700132936571
1951,86,-1.75391575881729,-1.70490310425217
1951,87,-1.62134447704058,-1.50548338471425
1951,88,-1.534318162463,-1.44545006232865
1951,89,-1.39973968677124,-1.43091522889729
1951,90,-1.34204799913614,-1.33131387279443
1951,91,-1.17807264915749,-1.26954296853539
1951,92,-1.12616487158882,-1.13004103817177
1951,93,-0.996719538271854,-1.05411704878156
1951,94,-0.961460378853043,-0.981069281816335
1951,95,-0.865993324372222,-0.911054465078909
1951,96,-0.855472391395486,-0.844109614914148
1951,97,-0.803935551411064,-0.78031857035094
1951,98,-0.757146486150977,-0.719758131986237
1951,99,-0.703572460349202,-0.662424007917105
1951,100,-0.696193886495734,-0.60834657886748
1952,0,-3.61079025947765,-3.51291137129216
1952,1,-6.26978814298921,-6.01986402162968
1952,2,-6.90973512411547,-6.44402126275
1952,3,-7.24387702983145,-6.7338019718587
1952,4,-7.43484721395861,-7.08210866612691
1952,5,-7.58479059779281,-7.15621663828064
1952,6,-7.70917833437572,-7.79935339826592
