"year","age","pred","actual"
1951,0,-3.22269942918101,-3.54218507496313
1951,1,-6.1696257996131,-6.06618809330392
1951,2,-6.81399460573292,-6.63772814176908
1951,3,-7.06389024815582,-7.20886037176606
1951,4,-7.30396481581298,-7.3697907385787
1951,5,-7.50165785460864,-7.66277786326017
1951,6,-7.62746624535669,-7.52394141840595
1951,7,-7.65427872308029,-7.75172534927667
1951,8,-7.77271136939961,-8.0471895621705
1951,9,-7.7809005734429,-7.82404601085629
1951,10,-7.89755775573391,-8.0471895621705
1951,11,-7.98080650533267,-8.18072095479502
1951,12,-8.06334280578031,-7.82404601085629
1951,13,-7.9408366366537,-7.75172534927667
1951,14,-7.79224430313587,-7.50559227973776
1951,15,-7.60848618121586,-7.87533930524384
1951,16,-7.44841854975436,-7.3697907385787
1951,17,-7.33067741484304,-7.33853819507459
1951,18,-7.13545205883988,-7.3697907385787
1951,19,-7.03932758751925,-6.95904857336969
1951,20,-7.05719413155116,-7.19543735143392
1951,21,-7.06011904938268,-7.03558865049202
1951,22,-7.08513470092113,-6.88795265168596
1951,23,-7.05256505119494,-6.71713491937349
1951,24,-6.98622098268557,-7.02428909523809
1951,25,-7.00200719217274,-6.84009663050832
1951,26,-6.95905058273155,-6.83079423784601
1951,27,-6.91132568523662,-6.86853456582886
1951,28,-6.83100142905566,-6.84948637085816
1951,29,-6.78324781289955,-6.57128304236092
1951,30,-6.73540959694353,-6.81244509917781
1951,31,-6.69641701157194,-6.62257633674847
1951,32,-6.64273787264084,-6.50897915902477
1951,33,-6.57900225080511,-6.43152109998577
1951,34,-6.52875789204481,-6.51571319120611
1951,35,-6.47938343992277,-6.34813949104671
1951,36,-6.42347301663671,-6.30343931212881
1951,37,-6.33160131218105,-6.16106733149416
1951,38,-6.25386286727575,-6.07920346141599
1951,39,-6.20553898056202,-6.32553965912947
1951,40,-6.17909871366379,-6.19971948592844
1951,41,-6.12237709430297,-5.83617166270195
1951,42,-6.02321700390763,-5.8464987768578
1951,43,-5.90530341555802,-5.83617166270195
1951,44,-5.77644497566905,-5.70478297498978
1951,45,-5.67918222677298,-5.57803126935064
1951,46,-5.60129247837937,-5.47505454504809
1951,47,-5.5165875299671,-5.48224020470897
1951,48,-5.40472282731143,-5.26681869948867
1951,49,-5.34859397243496,-5.31038994778231
1951,50,-5.25110334874337,-5.21213967030698
1951,51,-5.08266955924656,-5.07197892433731
1951,52,-4.944958608629,-4.94204250263064
1951,53,-4.8480432611453,-4.89552248699575
1951,54,-4.77719021251824,-4.84979276897942
1951,55,-4.7094776750464,-4.73870157861261
1951,56,-4.65142902011174,-4.64079736363124
1951,57,-4.56692909889015,-4.57270299585059
1951,58,-4.49183736862819,-4.53751153751428
1951,59,-4.40859321684464,-4.47326511510815
1951,60,-4.31508691834521,-4.21448036346208
1951,61,-4.23268452042369,-4.22399777044897
1951,62,-4.10739370219737,-4.10621473479259
1951,63,-3.99028543886619,-3.97496280520202
1951,64,-3.8961753764937,-3.87810478722469
1951,65,-3.80892935708457,-3.81853266234081
1951,66,-3.73683589749067,-3.70095203534821
1951,67,-3.61856424543941,-3.59940444768633
1951,68,-3.52322508095713,-3.53050911814249
1951,69,-3.41768923557403,-3.40099740165949
1951,70,-3.26495561452624,-3.24086584275982
1951,71,-3.13920268050323,-3.17605582768527
1951,72,-3.02381095843002,-3.02310347035012
1951,73,-2.95662159927769,-2.95324766194784
1951,74,-2.83446472263602,-2.85215154507647
1951,75,-2.69421211855798,-2.73598681979523
1951,76,-2.5628434837697,-2.67292439912684
1951,77,-2.43202757710561,-2.48915566407742
1951,78,-2.34580085796133,-2.39021484295502
1951,79,-2.23785604034922,-2.3196295276033
1951,80,-2.14395931660261,-2.23045049523485
1951,81,-2.02689696068793,-2.12762389060638
1951,82,-1.9215645509441,-2.01793260510263
1951,83,-1.81827781529186,-1.88203434746784
1951,84,-1.70813227111205,-1.86484642433559
1951,85,-1.60572265713117,-1.65700132936571
1951,86,-1.47611321717891,-1.70490310425217
1951,87,-1.39443791068158,-1.50548338471425
1951,88,-1.30003358813548,-1.44545006232865
1951,89,-1.21459344907069,-1.43091522889729
1951,90,-1.12903334239665,-1.33131387279443
1951,91,-1.06288195771251,-1.26954296853539
1951,92,-0.994858625616196,-1.13004103817177
1951,93,-0.925397379863802,-1.05411704878156
1951,94,-0.846206025351269,-0.981069281816335
1951,95,-0.762187672221505,-0.911054465078909
1951,96,-0.708051439722635,-0.844109614914148
1951,97,-0.652254334897671,-0.78031857035094
1951,98,-0.582135530834232,-0.719758131986237
1951,99,-0.512769070810839,-0.662424007917105
1951,100,-0.425767089286075,-0.60834657886748
1952,0,-3.23737254297298,-3.51291137129216
1952,1,-6.23135663254482,-6.01986402162968
1952,2,-6.9349948135383,-6.44402126275
1952,3,-7.15827801856715,-6.7338019718587
1952,4,-7.31576196082155,-7.08210866612691
1952,5,-7.51654345819906,-7.15621663828064
1952,6,-7.59203081277618,-7.79935339826592
1952,7,-7.77643008234371,-7.5810998322459
1952,8,-7.86117729528813,-7.70626297519991
1952,9,-7.86043400540727,-7.38579107992514
1952,10,-7.90470375087323,-7.72873583105197
1952,11,-7.98048338502664,-7.95757740348081
1952,12,-8.03366327196125,-8.25482892694875
1952,13,-7.98281483101761,-7.66277786326017
1952,14,-7.80100476803544,-7.46987419713568
1952,15,-7.6495739556121,-7.5616817463888
1952,16,-7.46525306111005,-7.38579107992514
1952,17,-7.35144793896334,-7.33853819507459
1952,18,-7.18349286160774,-7.01311579463996
1952,19,-7.02592941251798,-7.00206595845338
1952,20,-7.05232101331057,-7.04701734631564
1952,21,-7.05192404501866,-6.92795798629966
1952,22,-7.07442504531381,-6.99113688792119
1952,23,-7.04701683220987,-6.99113688792119
1952,24,-7.03514032183717,-6.61508566501932
1952,25,-7.00606472873021,-6.94857727350239
1952,26,-7.00323502104141,-6.86853456582886
1952,27,-6.94654183739929,-6.83079423784601
