"year","age","pred","actual"
1951,0,-3.37315607066419,-3.54218507496313
1951,1,-6.20216574037945,-6.06618809330392
1951,2,-6.94434648673861,-6.63772814176908
1951,3,-7.20284089243683,-7.20886037176606
1951,4,-7.40870332930256,-7.3697907385787
1951,5,-7.51631936775915,-7.66277786326017
1951,6,-7.71181224587207,-7.52394141840595
1951,7,-7.60955372317265,-7.75172534927667
1951,8,-7.7018962439061,-8.0471895621705
1951,9,-7.67556703192917,-7.82404601085629
1951,10,-7.71135670848792,-8.0471895621705
1951,11,-7.82200079730803,-8.18072095479502
1951,12,-7.84955656491249,-7.82404601085629
1951,13,-7.73962096404886,-7.75172534927667
1951,14,-7.63468580553941,-7.50559227973776
1951,15,-7.42131011420229,-7.87533930524384
1951,16,-7.29483327185793,-7.3697907385787
1951,17,-7.18867580185806,-7.33853819507459
1951,18,-6.95198706532359,-7.3697907385787
1951,19,-6.94194770043868,-6.95904857336969
1951,20,-6.90693922805239,-7.19543735143392
1951,21,-6.91097214861457,-7.03558865049202
1951,22,-6.90980685003279,-6.88795265168596
1951,23,-6.87185322942806,-6.71713491937349
1951,24,-6.78323691961428,-7.02428909523809
1951,25,-6.79286828145077,-6.84009663050832
1951,26,-6.73675272487061,-6.83079423784601
1951,27,-6.70525754919183,-6.86853456582886
1951,28,-6.64031263121952,-6.84948637085816
1951,29,-6.64288457831393,-6.57128304236092
1951,30,-6.60283463691465,-6.81244509917781
1951,31,-6.56699176717067,-6.62257633674847
1951,32,-6.48843434527255,-6.50897915902477
1951,33,-6.43822026135703,-6.43152109998577
1951,34,-6.37414609885041,-6.51571319120611
1951,35,-6.30009269673473,-6.34813949104671
1951,36,-6.28545127249992,-6.30343931212881
1951,37,-6.16911777639989,-6.16106733149416
1951,38,-6.06837815963991,-6.07920346141599
1951,39,-6.00155980880744,-6.32553965912947
1951,40,-5.97413893402776,-6.19971948592844
1951,41,-5.93544768239166,-5.83617166270195
1951,42,-5.79553489222566,-5.8464987768578
1951,43,-5.70700304074055,-5.83617166270195
1951,44,-5.62941611153042,-5.70478297498978
1951,45,-5.56070183391106,-5.57803126935064
1951,46,-5.48120575035335,-5.47505454504809
1951,47,-5.40327780472567,-5.48224020470897
1951,48,-5.32046224005557,-5.26681869948867
1951,49,-5.25898747006339,-5.31038994778231
1951,50,-5.20415040673876,-5.21213967030698
1951,51,-5.14159451355101,-5.07197892433731
1951,52,-5.10872199158963,-4.94204250263064
1951,53,-4.9775969525881,-4.89552248699575
1951,54,-4.90859149621551,-4.84979276897942
1951,55,-4.77523601726547,-4.73870157861261
1951,56,-4.68191867128739,-4.64079736363124
1951,57,-4.64468957794066,-4.57270299585059
1951,58,-4.55383703227862,-4.53751153751428
1951,59,-4.4493644847152,-4.47326511510815
1951,60,-4.32019183720815,-4.21448036346208
1951,61,-4.21798771019947,-4.22399777044897
1951,62,-4.14743614562108,-4.10621473479259
1951,63,-4.04843231020736,-3.97496280520202
1951,64,-3.96766680523721,-3.87810478722469
1951,65,-3.83588040588513,-3.81853266234081
1951,66,-3.76876673384476,-3.70095203534821
1951,67,-3.66007402853657,-3.59940444768633
1951,68,-3.53313853644083,-3.53050911814249
1951,69,-3.47116196796989,-3.40099740165949
1951,70,-3.33165208788776,-3.24086584275982
1951,71,-3.21103738920408,-3.17605582768527
1951,72,-3.06209632908626,-3.02310347035012
1951,73,-2.98520133569785,-2.95324766194784
1951,74,-2.90088292207374,-2.85215154507647
1951,75,-2.77192424981313,-2.73598681979523
1951,76,-2.66322029754158,-2.67292439912684
1951,77,-2.569560255175,-2.48915566407742
1951,78,-2.49900458793073,-2.39021484295502
1951,79,-2.34989616733917,-2.3196295276033
1951,80,-2.25041642268311,-2.23045049523485
1951,81,-2.15516383859806,-2.12762389060638
1951,82,-2.04624286944846,-2.01793260510263
1951,83,-1.95005487754227,-1.88203434746784
1951,84,-1.84583414878127,-1.86484642433559
1951,85,-1.77356271837083,-1.65700132936571
1951,86,-1.62724297880925,-1.70490310425217
1951,87,-1.57559975245436,-1.50548338471425
1951,88,-1.46378965769629,-1.44545006232865
1951,89,-1.36718913566209,-1.43091522889729
1951,90,-1.28409006263241,-1.33131387279443
1951,91,-1.19461657859173,-1.26954296853539
1951,92,-1.14070415359029,-1.13004103817177
1951,93,-1.0509341458362,-1.05411704878156
1951,94,-0.96497084613581,-0.981069281816335
1951,95,-0.913606884003388,-0.911054465078909
1951,96,-0.823016060130385,-0.844109614914148
1951,97,-0.711168051080712,-0.78031857035094
1951,98,-0.647143544978383,-0.719758131986237
1951,99,-0.54285321236862,-0.662424007917105
1951,100,-0.590187507777324,-0.60834657886748
1952,0,-3.45180955153245,-3.51291137129216
1952,1,-6.28178886510827,-6.01986402162968
1952,2,-6.99810923517097,-6.44402126275
1952,3,-7.27825001341971,-6.7338019718587
1952,4,-7.40005123137077,-7.08210866612691
1952,5,-7.48131146125782,-7.15621663828064
1952,6,-7.44536022454606,-7.79935339826592
1952,7,-7.67535510801567,-7.5810998322459
1952,8,-7.70965226302073,-7.70626297519991
1952,9,-7.73498551748696,-7.38579107992514
1952,10,-7.77016630184029,-7.72873583105197
1952,11,-7.85050187572024,-7.95757740348081
1952,12,-7.7854480248952,-8.25482892694875
1952,13,-7.76570005487822,-7.66277786326017
