"year","age","pred","actual"
1951,0,-2.70887116108172,-2.96462127852894
1951,1,-5.12059194499816,-5.19036022504294
1951,2,-6.46967477183192,-6.30891877789343
1951,3,-6.89337044890899,-6.64539101451465
1951,4,-7.12326803554355,-6.98032597181697
1951,5,-7.30456145700168,-7.11847631029779
1951,6,-7.46338024881778,-7.38579107992514
1951,7,-7.58850732851699,-7.43538802106451
1951,8,-7.68388368736636,-7.5616817463888
1951,9,-7.75898453771882,-7.68428406848113
1951,10,-7.79455246273613,-7.50559227973776
1951,11,-7.80312396362731,-7.60090245954208
1951,12,-7.78841315961782,-7.5810998322459
1951,13,-7.72407915459704,-7.38579107992514
1951,14,-7.55868350145637,-7.25024558792891
1951,15,-7.33383766189295,-7.10620621770598
1951,16,-7.17534231785078,-7.14347761250321
1951,17,-7.02371558556477,-6.92795798629966
1951,18,-6.85379611470538,-6.79442659367513
1951,19,-6.7585453312845,-6.66873837851164
1951,20,-6.75247805531851,-6.71713491937349
1951,21,-6.74613710315014,-6.58567177981302
1951,22,-6.68321679959661,-6.46306945772069
1951,23,-6.61556050845431,-6.40093767661368
1951,24,-6.61745749323013,-6.31996861408002
1951,25,-6.56111661376501,-6.2925696398919
1951,26,-6.49147175275995,-6.29798970736124
1951,27,-6.44669258006593,-6.22972173623224
1951,28,-6.41030524502919,-6.20962055691115
1951,29,-6.35713275097249,-6.19971948592844
1951,30,-6.282212912677,-6.15633919029822
1951,31,-6.22407216369763,-6.08357983601579
1951,32,-6.17173081442112,-6.00759392903787
1951,33,-6.10143838345668,-5.99146454710798
1951,34,-6.02927243723797,-5.95996588004861
1951,35,-5.97999311867023,-5.82934569763155
1951,36,-5.89927131790804,-5.86395122680902
1951,37,-5.82297055454608,-5.77635316749104
1951,38,-5.76778871875123,-5.75718325138332
1951,39,-5.71615509694334,-5.65213924150436
1951,40,-5.65124271658705,-5.58333632158033
1951,41,-5.56708607041753,-5.47983924317143
1951,42,-5.45504871171245,-5.40145812546755
1951,43,-5.38229363329419,-5.34961066093559
1951,44,-5.28479436180356,-5.27460083993072
1951,45,-5.17340470794017,-5.16728910414163
1951,46,-5.11296725046605,-5.06561960242901
1951,47,-5.03512694044374,-4.99083266680008
1951,48,-4.99856459561274,-4.90088443013714
1951,49,-4.92552851519676,-4.84724174718782
1951,50,-4.80206278931192,-4.72508048266065
1951,51,-4.72886572686168,-4.67666618769316
1951,52,-4.69813185730099,-4.57755501895512
1951,53,-4.63209671661521,-4.53657739452248
1951,54,-4.53619526094187,-4.46540824361293
1951,55,-4.47142511397907,-4.41454982637944
1951,56,-4.39161134091247,-4.34126864220171
1951,57,-4.31933232959931,-4.24819528704036
1951,58,-4.23393881266798,-4.16949923582286
1951,59,-4.11927468846115,-4.12336151129259
1951,60,-4.04305431495459,-4.04213169077517
1951,61,-3.96005381248573,-3.9352916323675
1951,62,-3.85313759779912,-3.88294975794244
1951,63,-3.75583903118239,-3.77880416164192
1951,64,-3.66385462516648,-3.66711796233242
1951,65,-3.57139172416392,-3.59138983283668
1951,66,-3.4897821280523,-3.5182931535384
1951,67,-3.43280568315319,-3.41702193200913
1951,68,-3.35747054223222,-3.32590439762672
1951,69,-3.26287029618149,-3.23602198370317
1951,70,-3.1464690227335,-3.12379294362151
1951,71,-3.0453183522905,-3.01450742888033
1951,72,-2.94545837065011,-2.89480155497555
1951,73,-2.82156451989042,-2.79737333906241
1951,74,-2.68877261817254,-2.70845028112355
1951,75,-2.60503012812889,-2.58322535065678
1951,76,-2.53059883355197,-2.47622444940517
1951,77,-2.43718096581074,-2.36765708973776
1951,78,-2.33290399323935,-2.26847356336528
1951,79,-2.24342522841285,-2.17024190600633
1951,80,-2.15744935711793,-2.07816236018146
1951,81,-2.05915873112789,-1.98209706881709
1951,82,-1.93759740011565,-1.86110954736285
1951,83,-1.80352546529748,-1.77561056748868
1951,84,-1.70280884612074,-1.68610299736959
1951,85,-1.60433882666144,-1.58684506378147
1951,86,-1.51286542226834,-1.49454794656014
1951,87,-1.41284803297484,-1.40380681287119
1951,88,-1.31319428638296,-1.32655483676903
1951,89,-1.24184397347905,-1.22101723893519
1951,90,-1.15923341576181,-1.18780422316435
1951,91,-1.0746306463595,-1.08069378816576
1951,92,-1.02444903259425,-1.01401382040277
1951,93,-0.964720449088365,-0.976571662759085
1951,94,-0.877376601428513,-0.937667597633741
1951,95,-0.809926275570104,-0.805979988834289
1951,96,-0.75992432503874,-0.743514587923732
1951,97,-0.704255429230702,-0.684306375894463
1951,98,-0.672297494297283,-0.628371187621035
1951,99,-0.658503080686456,-0.575719763683981
1951,100,-0.598944179123688,-0.52632850821947
1952,0,-2.71895132058478,-3.0652967369399
1952,1,-5.10012068855217,-5.18856650258892
1952,2,-6.45545170224715,-6.30343931212881
1952,3,-6.87575603346114,-6.78553764625789
1952,4,-7.12318036204353,-7.02428909523809
1952,5,-7.30186758755184,-7.20886037176606
1952,6,-7.46387445759328,-7.5616817463888
1952,7,-7.5880427938492,-7.6211051668596
1952,8,-7.68621229552689,-7.5810998322459
1952,9,-7.75803118956783,-7.68428406848113
1952,10,-7.78687819895593,-7.84936381884058
