"year","age","pred","actual"
1951,0,-2.54600618701043,-2.69547954392836
1951,1,-4.5764210406717,-4.50623023813319
1951,2,-5.68130379234599,-5.6578535427678
1951,3,-6.24430590076829,-6.18020667170486
1951,4,-6.58875399628083,-6.46950034805098
1951,5,-6.81171849091021,-6.74224084050456
1951,6,-6.96836865696202,-6.91780561483564
1951,7,-7.09224791895158,-7.02428909523809
1951,8,-7.18920069497107,-7.15621663828064
1951,9,-7.26315253957317,-7.25024558792891
1951,10,-7.29564926071513,-7.26443022292087
1951,11,-7.29296746548156,-7.25024558792891
1951,12,-7.27760794117931,-7.22246602382184
1951,13,-7.21102693392762,-7.11847631029779
1951,14,-7.10681060348447,-7.13089883029635
1951,15,-7.00819494210044,-6.98032597181697
1951,16,-6.89007477214473,-6.82157758274108
1951,17,-6.79627350158212,-6.76799333660698
1951,18,-6.71913554861024,-6.68461172766793
1951,19,-6.66994479805525,-6.63012354238386
1951,20,-6.62906347149216,-6.60027057923418
1951,21,-6.58822508589328,-6.50897915902477
1951,22,-6.55035171133716,-6.48248754357779
1951,23,-6.51530285165938,-6.41917526416347
1951,24,-6.49725416684491,-6.37712702791997
1951,25,-6.46601843699477,-6.38302675004716
1951,26,-6.43871312556057,-6.3367757323964
1951,27,-6.40040103053847,-6.28717879125703
1951,28,-6.36896741093744,-6.26590139280974
1951,29,-6.34818704154913,-6.31996861408002
1951,30,-6.32577686106644,-6.23992590640648
1951,31,-6.30142488740319,-6.19971948592844
1951,32,-6.27338944061003,-6.1516332992608
1951,33,-6.23351493374158,-6.17538738526891
1951,34,-6.19585626400647,-6.11476276345248
1951,35,-6.15110719337972,-6.08797544748883
1951,36,-6.09982651026604,-6.0116672544255
1951,37,-6.04252415598628,-5.9716619198118
1951,38,-5.99072470711413,-5.92193848445937
1951,39,-5.93064675452366,-5.84304454198971
1951,40,-5.85650459390061,-5.80914299031403
1951,41,-5.77574917737164,-5.68987956948721
1951,42,-5.68540111075549,-5.61302811138774
1951,43,-5.58444572269254,-5.52647345968579
1951,44,-5.47491794934477,-5.46319200973827
1951,45,-5.38810799583083,-5.37736057388849
1951,46,-5.32470962276087,-5.29631936388536
1951,47,-5.25132271587632,-5.18677599181513
1951,48,-5.14905794108213,-5.09130319716371
1951,49,-5.06294616039716,-5.04057917046933
1951,50,-5.01848578611125,-4.95899206094442
1951,51,-4.94294377958581,-4.89285225843987
1951,52,-4.8612762584137,-4.79996926429316
1951,53,-4.80136061988856,-4.73414056728505
1951,54,-4.71215534400155,-4.6575166663603
1951,55,-4.61196396463097,-4.62129956791798
1951,56,-4.52140897537502,-4.4927347566583
1951,57,-4.43606314892772,-4.40141334847407
1951,58,-4.34171556229546,-4.31250057202527
1951,59,-4.21916479507137,-4.23429652264955
1951,60,-4.11945135974976,-4.17794358609841
1951,61,-4.01951314446181,-4.08697180789269
1951,62,-3.90932808947834,-3.98244546972469
1951,63,-3.81813232097988,-3.90952612522956
1951,64,-3.72834686437528,-3.79069072026062
1951,65,-3.61873303538971,-3.69610549920568
1951,66,-3.51197109788425,-3.61265942820253
1951,67,-3.39180004524344,-3.47280080052185
1951,68,-3.26697927829443,-3.39830157855013
1951,69,-3.15727928944541,-3.23170780368358
1951,70,-3.04474325141375,-3.18737715780883
1951,71,-2.95210541694272,-3.04471245577571
1951,72,-2.86315258424433,-2.91267871841871
1951,73,-2.77809431634128,-2.82379780964652
1951,74,-2.68287835640787,-2.70201842887049
1951,75,-2.57266377082603,-2.55876849838646
1951,76,-2.45624345159563,-2.50776594393408
1951,77,-2.34824484211465,-2.39426188156595
1951,78,-2.23482427580744,-2.24894954382814
1951,79,-2.11341224319795,-2.16884122294445
1951,80,-1.99572454016974,-2.08336924501782
1951,81,-1.90088698879788,-1.93627670008707
1951,82,-1.80053353855513,-1.88177170793908
1951,83,-1.70650561196464,-1.75631510829486
1951,84,-1.6271804491689,-1.67009065964605
1951,85,-1.55337313078935,-1.56456015365602
1951,86,-1.48214199232689,-1.47425163987903
1951,87,-1.40917320397322,-1.38485539692564
1951,88,-1.33848542852057,-1.32268126805882
1951,89,-1.27871772092227,-1.24705429402839
1951,90,-1.19691309960454,-1.18466049329356
1951,91,-1.13179681003146,-1.07742826300098
1951,92,-1.06297509046005,-1.00911899418535
1951,93,-1.00264178504848,-0.940352918224914
1951,94,-0.933217780238064,-0.866287018639061
1951,95,-0.875704681711658,-0.811030221216662
1951,96,-0.826798675608609,-0.751687725573881
1951,97,-0.782372704469787,-0.695610211331431
1951,98,-0.762486452116023,-0.6427392780161
1951,99,-0.720295634596054,-0.593030389225173
1951,100,-0.820360866198823,-0.546383719166704
1952,0,-2.62453881802998,-2.71946510391751
1952,1,-4.64955438394199,-4.59918811431054
1952,2,-5.75360734317333,-5.68104298768671
1952,3,-6.27578579655404,-6.22465843427569
1952,4,-6.60467522730575,-6.48904494412395
1952,5,-6.82170108386325,-6.74224084050456
1952,6,-6.97027626413225,-6.94857727350239
1952,7,-7.09089659877067,-7.11847631029779
1952,8,-7.18791135430484,-7.19543735143392
1952,9,-7.25807438839559,-7.27881896037297
1952,10,-7.29145966787123,-7.3232707229438
1952,11,-7.28654716597951,-7.3697907385787
1952,12,-7.26818733288398,-7.29341775979412
1952,13,-7.20056948895297,-7.22246602382184
1952,14,-7.11357137341466,-7.19543735143392
1952,15,-7.00930668227396,-7.13089883029635
1952,16,-6.89760764562543,-6.92795798629966
1952,17,-6.80715215711501,-6.89780494812897
1952,18,-6.7333277457303,-6.84009663050832
1952,19,-6.69116638932493,-6.77672701657573
1952,20,-6.65059801762069,-6.70890442023697
1952,21,-6.60911579549381,-6.66089520105061
1952,22,-6.57413169468114,-6.5929445391421
1952,23,-6.53623483461385,-6.6076506865318
1952,24,-6.51679411213463,-6.54311216539423
1952,25,-6.49258513605119,-6.57845153183954
1952,26,-6.46957114168676,-6.4956456281553
1952,27,-6.42674149046958,-6.50229017087397
1952,28,-6.40524460453944,-6.4377516497364
1952,29,-6.38819051027771,-6.41305903714603
1952,30,-6.35071291522336,-6.38896148556697
1952,31,-6.31960725897352,-6.30343931212881
1952,32,-6.28609899324118,-6.30891877789343
1952,33,-6.2603756880739,-6.27117844991059
1952,34,-6.21872837253126,-6.26590139280974
1952,35,-6.1763762137186,-6.16581793425276
1952,36,-6.11328356919637,-6.11476276345248
1952,37,-6.06275977268957,-6.09239046569794
1952,38,-6.0115541320376,-6.03228654162824
1952,39,-5.94766152097676,-5.91080664409053
1952,40,-5.86880488718039,-5.88890795878289
1952,41,-5.77687613448878,-5.81248189157954
1952,42,-5.68628966908917,-5.71991185658608
1952,43,-5.58008360167046,-5.6379947341182
1952,44,-5.47948205965961,-5.50165829056607
1952,45,-5.3882768066278,-5.40145812546755
1952,46,-5.3183967104112,-5.37519841088399
1952,47,-5.23794049095643,-5.2648825904618
1952,48,-5.14116349148094,-5.17256616124248
1952,49,-5.06611866732075,-5.07517381523383
1952,50,-5.01173756668536,-5.00266712444708
1952,51,-4.94161883717761,-4.90627527877201
1952,52,-4.8588210931516,-4.84342737511235
1952,53,-4.80457369664301,-4.78549374011937
1952,54,-4.71563778324039,-4.66174053747649
1952,55,-4.61376032830009,-4.59324161512282
1952,56,-4.51305671464456,-4.51899248974704
1952,57,-4.43255185655719,-4.42284862919414
1952,58,-4.33746718618989,-4.33133352035836
1952,59,-4.22038534681437,-4.24191692668924
1952,60,-4.12356431200544,-4.16048436472665
1952,61,-4.01747226743828,-4.09354488205154
1952,62,-3.91085812189214,-3.98836423868487
1952,63,-3.81984217736674,-3.91152313038649
1952,64,-3.72829711400252,-3.81444267708928
1952,65,-3.62931638493901,-3.6824998471499
1952,66,-3.52014794686045,-3.59867318622779
1952,67,-3.3945324246549,-3.50190208578379
1952,68,-3.27374741350327,-3.39352687535794
1952,69,-3.15791812314262,-3.31980174345816
1952,70,-3.06344758499555,-3.14585773213163
1952,71,-2.96603579925192,-3.10599366781153
1952,72,-2.88434360265923,-2.95152401888967
