"year","age","pred","actual"
1951,0,-1.82405935030194,-2.69547954392836
1951,1,-4.24353379225603,-4.50623023813319
1951,2,-5.78982325209826,-5.6578535427678
1951,3,-6.29121369287697,-6.18020667170486
1951,4,-6.5640472385347,-6.46950034805098
1951,5,-6.79163685022095,-6.74224084050456
1951,6,-6.977924758591,-6.91780561483564
1951,7,-7.11151340338596,-7.02428909523809
1951,8,-7.21413702706303,-7.15621663828064
1951,9,-7.28759331348279,-7.25024558792891
1951,10,-7.32597252981786,-7.26443022292087
1951,11,-7.34163389157722,-7.25024558792891
1951,12,-7.33486506153077,-7.22246602382184
1951,13,-7.29618372980354,-7.11847631029779
1951,14,-7.23343711441031,-7.13089883029635
1951,15,-7.14187169230416,-6.98032597181697
1951,16,-7.04631595678021,-6.82157758274108
1951,17,-6.93906443669584,-6.76799333660698
1951,18,-6.84353844022153,-6.68461172766793
1951,19,-6.77090539740027,-6.63012354238386
1951,20,-6.72734741740192,-6.60027057923418
1951,21,-6.6789586484146,-6.50897915902477
1951,22,-6.6781590292948,-6.48248754357779
1951,23,-6.63244455129487,-6.41917526416347
1951,24,-6.58322392272272,-6.37712702791997
1951,25,-6.5452602192775,-6.38302675004716
1951,26,-6.52014045005691,-6.3367757323964
1951,27,-6.5053226211542,-6.28717879125703
1951,28,-6.47915225746964,-6.26590139280974
1951,29,-6.43288663427869,-6.31996861408002
1951,30,-6.37888996992112,-6.23992590640648
1951,31,-6.33725057552721,-6.19971948592844
1951,32,-6.29708256925296,-6.1516332992608
1951,33,-6.25570526760496,-6.17538738526891
1951,34,-6.20058102077639,-6.11476276345248
1951,35,-6.15027839108036,-6.08797544748883
1951,36,-6.09033391679448,-6.0116672544255
1951,37,-6.03184005498375,-5.9716619198118
1951,38,-5.98628622343889,-5.92193848445937
1951,39,-5.94192021678568,-5.84304454198971
1951,40,-5.86991322264963,-5.80914299031403
1951,41,-5.80908943137025,-5.68987956948721
1951,42,-5.72141405761499,-5.61302811138774
1951,43,-5.63367184048179,-5.52647345968579
1951,44,-5.58561367522857,-5.46319200973827
1951,45,-5.51812493212521,-5.37736057388849
1951,46,-5.40231179673895,-5.29631936388536
1951,47,-5.28441133443503,-5.18677599181513
1951,48,-5.18539259775434,-5.09130319716371
1951,49,-5.11881430036933,-5.04057917046933
1951,50,-5.06330865717749,-4.95899206094442
1951,51,-4.99741249924362,-4.89285225843987
1951,52,-4.9527622345248,-4.79996926429316
1951,53,-4.89053033746096,-4.73414056728505
1951,54,-4.79877621483129,-4.6575166663603
1951,55,-4.68867546102066,-4.62129956791798
1951,56,-4.56085146696042,-4.4927347566583
1951,57,-4.45885747038224,-4.40141334847407
1951,58,-4.35605051380218,-4.31250057202527
1951,59,-4.24432569867838,-4.23429652264955
1951,60,-4.14533093389519,-4.17794358609841
1951,61,-4.07117029059175,-4.08697180789269
1951,62,-3.9929153861643,-3.98244546972469
1951,63,-3.90342308154671,-3.90952612522956
1951,64,-3.82180363445163,-3.79069072026062
1951,65,-3.7169070579898,-3.69610549920568
1951,66,-3.63233976234089,-3.61265942820253
1951,67,-3.54474742167984,-3.47280080052185
1951,68,-3.45273313447863,-3.39830157855013
1951,69,-3.35029989630627,-3.23170780368358
1951,70,-3.21887664343427,-3.18737715780883
1951,71,-3.11191250818475,-3.04471245577571
1951,72,-3.00592170145714,-2.91267871841871
1951,73,-2.88937047482131,-2.82379780964652
1951,74,-2.75625987830096,-2.70201842887049
1951,75,-2.65859211438237,-2.55876849838646
1951,76,-2.56589966567532,-2.50776594393408
1951,77,-2.47196651493462,-2.39426188156595
1951,78,-2.38225214021737,-2.24894954382814
1951,79,-2.28430838680071,-2.16884122294445
1951,80,-2.16319624610303,-2.08336924501782
1951,81,-2.05661510534329,-1.93627670008707
1951,82,-1.93721421070769,-1.88177170793908
1951,83,-1.82571667696561,-1.75631510829486
1951,84,-1.72885353499761,-1.67009065964605
1951,85,-1.63917056694026,-1.56456015365602
1951,86,-1.55637232784246,-1.47425163987903
1951,87,-1.45186235902597,-1.38485539692564
