"Age","Year","log_mx"
0,1950,-2.50549187608022
1,1950,-4.5128338732253
2,1950,-4.76626890608424
3,1950,-5.00117134464904
4,1950,-5.27163877237577
5,1950,-5.59808196834998
6,1950,-5.91591386846946
7,1950,-6.20962503510657
8,1950,-6.37647256438987
9,1950,-6.55962210139163
10,1950,-6.66719505098297
11,1950,-6.78505495231477
12,1950,-6.81831711088017
13,1950,-6.81623033543494
14,1950,-6.76002807778539
15,1950,-6.64868147671459
16,1950,-6.48036009471428
17,1950,-6.27708932006474
18,1950,-6.12836457931693
19,1950,-5.95589452597376
20,1950,-5.81888279529864
21,1950,-5.70833965218715
22,1950,-5.61332597182087
23,1950,-5.54741228373071
24,1950,-5.4893850543074
25,1950,-5.4891775633554
26,1950,-5.48061614740671
27,1950,-5.46930799070656
28,1950,-5.47211694675394
29,1950,-5.44123557652633
30,1950,-5.44847468448495
31,1950,-5.45094165420277
32,1950,-5.42121075223228
33,1950,-5.39608864179537
34,1950,-5.3563237147487
35,1950,-5.34692842740867
36,1950,-5.31043656220373
37,1950,-5.28279047891325
38,1950,-5.25827754212836
39,1950,-5.18490179478598
40,1950,-5.17380582555209
41,1950,-5.11854083238169
42,1950,-5.08751969768511
43,1950,-5.03429179844299
44,1950,-4.96565407392128
45,1950,-4.90326906014567
46,1950,-4.84462042513857
47,1950,-4.76634193980477
48,1950,-4.68439342755597
49,1950,-4.60516874862557
50,1950,-4.53223778271187
51,1950,-4.45772578713501
52,1950,-4.36842740630663
53,1950,-4.28186365701063
54,1950,-4.19380190933368
55,1950,-4.11278992324708
56,1950,-4.02356063040054
57,1950,-3.91952405392099
58,1950,-3.7739003666109
59,1950,-3.72788511334236
60,1950,-3.64277009504509
61,1950,-3.54494512553315
62,1950,-3.45165922122635
63,1950,-3.34166049268846
64,1950,-3.23400613740257
65,1950,-3.13476078701923
66,1950,-3.03497737159945
67,1950,-2.92586092164777
68,1950,-2.82444055892724
69,1950,-2.71940884832319
70,1950,-2.62351316836008
71,1950,-2.5177195852154
72,1950,-2.42649291065404
73,1950,-2.3349651912423
74,1950,-2.24172721455907
75,1950,-2.14812323985945
76,1950,-2.0628155951257
77,1950,-1.98839212751368
78,1950,-1.89580950254559
79,1950,-1.82757560174627
80,1950,-1.7316882300426
81,1950,-1.6538079262471
82,1950,-1.57833734076716
83,1950,-1.49602528023902
84,1950,-1.42805223938997
85,1950,-1.3524804141014
86,1950,-1.26507753321831
87,1950,-1.20899671676971
88,1950,-1.12740335465335
89,1950,-1.0631502733055
90,1950,-0.994192478739333
91,1950,-0.922233928545619
92,1950,-0.837371733691883
93,1950,-0.80281594282003
94,1950,-0.721748597279771
95,1950,-0.699912758731676
96,1950,-0.649785243837741
97,1950,-0.602412615407989
98,1950,-0.557762569491348
