"year","age","pred","actual"
2001,0,-5.01757219926569,-5.24382918126397
2001,1,-7.67354949186371,-7.92940652651412
2001,2,-8.02366467437374,-8.42188301161191
2001,3,-8.20322777246547,-8.51719319141624
2001,4,-8.32115756044701,-8.62255370707406
2001,5,-8.4274828546017,-8.87386813535497
2001,6,-8.62264277968666,-9.11503019217186
2001,7,-8.74488754582545,-9.11503019217186
2001,8,-8.83482867804065,-9.02801881518223
2001,9,-8.87760334495167,-8.94797610750869
2001,10,-8.90840101236354,-9.21034037197618
2001,11,-8.88883069490331,-9.11503019217186
2001,12,-8.79409453052828,-9.02801881518223
2001,13,-8.67903781937015,-8.67971212091401
2001,14,-8.46921885394555,-8.51719319141624
2001,15,-8.26416187348494,-7.98656494035407
2001,16,-7.98264861108993,-7.70626297519991
2001,17,-7.76028388653269,-7.64172445406234
2001,18,-7.60525978078297,-7.43538802106451
2001,19,-7.52923137306826,-7.45248245442381
2001,20,-7.50211658372147,-7.43538802106451
2001,21,-7.57110927243279,-7.38579107992514
2001,22,-7.59669968740002,-7.45248245442381
2001,23,-7.61716082970924,-7.38579107992514
2001,24,-7.64049316457194,-7.41858090274813
2001,25,-7.662387076753,-7.45248245442381
2001,26,-7.66075805291997,-7.45248245442381
2001,27,-7.6628223431086,-7.46987419713568
2001,28,-7.65982780334613,-7.38579107992514
2001,29,-7.62490170050084,-7.3697907385787
2001,30,-7.59418940501153,-7.3697907385787
2001,31,-7.56213087112368,-7.15621663828064
2001,32,-7.47829086002278,-7.30823284557926
2001,33,-7.42610919286375,-7.23625934595417
2001,34,-7.33535637513694,-7.14347761250321
2001,35,-7.23395714237467,-6.99113688792119
2001,36,-7.08991383710243,-7.03558865049202
2001,37,-7.00202873327691,-6.95904857336969
2001,38,-6.9372868126011,-6.79442659367513
2001,39,-6.8506627201954,-6.78553764625789
2001,40,-6.7635977810962,-6.7338019718587
2001,41,-6.685784534919,-6.65311306060856
2001,42,-6.56493528808481,-6.55709840736897
2001,43,-6.46786596269543,-6.4759728625566
2001,44,-6.3773839725362,-6.32553965912947
2001,45,-6.30171422835693,-6.27648350214028
2001,46,-6.1637303003727,-6.17538738526891
2001,47,-6.07060301263675,-6.08797544748883
2001,48,-5.98163456230495,-5.94077143279246
2001,49,-5.91600109206095,-5.89979735858216
2001,50,-5.81112233744302,-5.86395122680902
2001,51,-5.68977055219286,-5.67811472790762
2001,52,-5.59718722057556,-5.6664866899125
2001,53,-5.53387515957102,-5.52647345968579
2001,54,-5.36367972079812,-5.42842605189506
2001,55,-5.27760692229302,-5.37736057388849
2001,56,-5.15726939969074,-5.26102158180434
2001,57,-5.01219775410003,-5.13790064514213
2001,58,-4.9112151986457,-5.05302101059269
2001,59,-4.81320207143332,-4.97333950935256
2001,60,-4.7363171180881,-4.87829210710854
2001,61,-4.65948021362629,-4.74098990913063
2001,62,-4.54731455232789,-4.63356966050979
2001,63,-4.4431908101796,-4.60217467700829
2001,64,-4.35224847838021,-4.502613597663
2001,65,-4.22944741777829,-4.39167301172569
2001,66,-4.13959194737333,-4.27586643884549
2001,67,-4.07547169083312,-4.19837263264615
2001,68,-3.99064127846423,-4.09594584358907
2001,69,-3.88281842454062,-3.98298209436864
2001,70,-3.80656810780478,-3.87665586159085
2001,71,-3.75483533172244,-3.82126864215968
2001,72,-3.63422045907973,-3.71892637546623
2001,73,-3.5222046697133,-3.62684406319448
2001,74,-3.41182732552959,-3.51257596964554
2001,75,-3.31261573016493,-3.44671789696396
2001,76,-3.24598040808946,-3.31841995520459
2001,77,-3.14480525850593,-3.20942066609745
2001,78,-3.00061700939233,-3.14632263218649
2001,79,-2.87423409658276,-3.03032371832361
2001,80,-2.78236289217603,-2.8973359516978
2001,81,-2.68343814067342,-2.73521586917498
2001,82,-2.56812111037621,-2.70142221481199
2001,83,-2.46976888704697,-2.58508063875853
2001,84,-2.3703403107518,-2.43874851780692
2001,85,-2.26469683242686,-2.35472084741457
2001,86,-2.16825496892673,-2.23914092043751
2001,87,-2.07039642432116,-2.12678475319036
2001,88,-1.97767990743163,-2.01657942492321
2001,89,-1.90814338942752,-1.94491064872223
2001,90,-1.81000539309581,-1.82778050680727
2001,91,-1.71934794841662,-1.72675855501064
2001,92,-1.62475672788295,-1.6057945575193
2001,93,-1.54941173038025,-1.46603044913937
2001,94,-1.44547337140505,-1.45427346093275
2001,95,-1.36758402971113,-1.33006526785346
2001,96,-1.28939378460256,-1.24004913290863
2001,97,-1.20201815837941,-1.15280451775154
2001,98,-1.14232825529416,-1.06862639317785
2001,99,-1.1305846153796,-0.987625629478777
2001,100,-1.14629652778287,-0.910060182123519
2002,0,-4.89097009513202,-5.22506690480844
2002,1,-7.6460936496582,-7.87533930524384
2002,2,-8.02128759537546,-8.46840302724681
2002,3,-8.20638870775782,-8.67971212091401
2002,4,-8.34289710743702,-8.67971212091401
2002,5,-8.4658045568185,-8.80487526386802
2002,6,-8.64990874545999,-9.21034037197618
2002,7,-8.78261787716951,-9.02801881518223
2002,8,-8.86224973372423,-9.31570088763401
2002,9,-8.94339857252262,-9.02801881518223
2002,10,-8.96635593766773,-8.94797610750869
2002,11,-8.9231000572034,-9.11503019217186
2002,12,-8.83374855653485,-8.80487526386802
2002,13,-8.69735611192873,-8.62255370707406
2002,14,-8.49571603758431,-8.37743124904108
2002,15,-8.26656504237466,-8.25482892694875
2002,16,-8.00525883573498,-7.82404601085629
2002,17,-7.7881858658819,-7.70626297519991
2002,18,-7.6245836937129,-7.48757377423508
2002,19,-7.54350964593665,-7.3697907385787
2002,20,-7.51594973405305,-7.35404238161056
2002,21,-7.57822992852722,-7.45248245442381
2002,22,-7.60618394271548,-7.50559227973776
2002,23,-7.62881692354362,-7.50559227973776
2002,24,-7.65983635503277,-7.46987419713568
2002,25,-7.68085871989574,-7.6211051668596
2002,26,-7.68494686094126,-7.45248245442381
2002,27,-7.68226771897759,-7.54263355141811
2002,28,-7.68026763891068,-7.48757377423508
2002,29,-7.64521166638353,-7.43538802106451
2002,30,-7.62068615381877,-7.38579107992514
2002,31,-7.58894693121343,-7.33853819507459
2002,32,-7.51066073328187,-7.20886037176606
2002,33,-7.45476560490724,-7.15621663828064
2002,34,-7.35756510534143,-7.23625934595417
2002,35,-7.2591046089627,-7.1821921246839
2002,36,-7.12616864014146,-7.02428909523809
2002,37,-7.02914004397151,-6.93821448646685
2002,38,-6.96049391598487,-6.82157758274108
2002,39,-6.8738079325589,-6.76799333660698
2002,40,-6.79137692053986,-6.82157758274108
2002,41,-6.71286149392319,-6.67664355801875
2002,42,-6.58924171803336,-6.51571319120611
2002,43,-6.48359041274098,-6.43152109998577
2002,44,-6.38661174972438,-6.39493165255347
2002,45,-6.31531054045174,-6.2606520369236
2002,46,-6.17886258235438,-6.20465776756902
2002,47,-6.07257769129546,-6.11929791861787
2002,48,-5.98937329517489,-6.00759392903787
2002,49,-5.94207319164897,-5.86747856732699
2002,50,-5.82997938625993,-5.79261368836282
2002,51,-5.68997389028431,-5.74773436218538
2002,52,-5.60951704056154,-5.68987956948721
2002,53,-5.5489607515178,-5.57012608984353
2002,54,-5.39017701314476,-5.45146854604221
2002,55,-5.30077063311427,-5.33498135091963
2002,56,-5.18284336353198,-5.24004845842406
2002,57,-5.02417156483467,-5.17609973382379
2002,58,-4.93332159849819,-5.08805644106484
2002,59,-4.83773591826896,-4.9490699384381
2002,60,-4.75643061259383,-4.8652370914069
2002,61,-4.67727627352446,-4.79633069144925
2002,62,-4.56696980687917,-4.6831317274578
2002,63,-4.46623340230342,-4.566911473871
2002,64,-4.36684316365429,-4.45847580683729
2002,65,-4.24159588584176,-4.40304600189796
2002,66,-4.15686229595889,-4.29768548624013
2002,67,-4.0929790225993,-4.20103930089306
2002,68,-4.0018193475098,-4.0965469857773
2002,69,-3.89399866774381,-4.00304240381531
2002,70,-3.81947680631618,-3.88635525867957
2002,71,-3.77105672172809,-3.84016756832772
2002,72,-3.65796240523811,-3.73680998787149
2002,73,-3.53945429132954,-3.66282191979465
2002,74,-3.43079380694672,-3.54911751173878
2002,75,-3.32925571798442,-3.43485758315479
2002,76,-3.26514807155841,-3.32813281080515
2002,77,-3.16194979583719,-3.2332283310926
2002,78,-3.01766008603464,-3.12720863634238
2002,79,-2.89053216188048,-3.043033546672
