"year","age","pred","actual"
2001,0,-5.21422685771466,-5.24382918126397
2001,1,-7.97228570620815,-7.92940652651412
2001,2,-8.38499778548572,-8.42188301161191
2001,3,-8.53425196679864,-8.51719319141624
2001,4,-8.65215044691045,-8.62255370707406
2001,5,-8.71146407578352,-8.87386813535497
2001,6,-8.97559088957605,-9.11503019217186
2001,7,-9.11312375232598,-9.11503019217186
2001,8,-9.08495391675793,-9.02801881518223
2001,9,-8.89387010237966,-8.94797610750869
2001,10,-9.0158942639919,-9.21034037197618
2001,11,-9.00696456381348,-9.11503019217186
2001,12,-8.77029359222647,-9.02801881518223
2001,13,-8.60411982642408,-8.67971212091401
2001,14,-8.23935009683349,-8.51719319141624
2001,15,-8.04255056701508,-7.98656494035407
2001,16,-7.71328033810619,-7.70626297519991
2001,17,-7.48656787808357,-7.64172445406234
2001,18,-7.30992177479918,-7.43538802106451
2001,19,-7.22165880237923,-7.45248245442381
2001,20,-7.21504095647048,-7.43538802106451
2001,21,-7.26221916222581,-7.38579107992514
2001,22,-7.34026069495315,-7.45248245442381
2001,23,-7.32065993928623,-7.38579107992514
2001,24,-7.30820013185152,-7.41858090274813
2001,25,-7.33588252128108,-7.45248245442381
2001,26,-7.33142042512485,-7.45248245442381
2001,27,-7.34254414022992,-7.46987419713568
2001,28,-7.29551711090112,-7.38579107992514
2001,29,-7.27104305340004,-7.3697907385787
2001,30,-7.23230971067378,-7.3697907385787
2001,31,-7.21188089084118,-7.15621663828064
2001,32,-7.12810726401963,-7.30823284557926
2001,33,-7.11895174133637,-7.23625934595417
2001,34,-7.08301103160157,-7.14347761250321
2001,35,-6.96687028545392,-6.99113688792119
2001,36,-6.92889137542193,-7.03558865049202
2001,37,-6.85169153158136,-6.95904857336969
2001,38,-6.79584394478669,-6.79442659367513
2001,39,-6.74876241657354,-6.78553764625789
2001,40,-6.62535462105169,-6.7338019718587
2001,41,-6.54556644256406,-6.65311306060856
2001,42,-6.50528647657858,-6.55709840736897
2001,43,-6.42460580638779,-6.4759728625566
2001,44,-6.39499486667704,-6.32553965912947
2001,45,-6.27717661298142,-6.27648350214028
2001,46,-6.17768208723843,-6.17538738526891
2001,47,-6.1152928587596,-6.08797544748883
2001,48,-5.97957817155568,-5.94077143279246
2001,49,-5.8784183135474,-5.89979735858216
2001,50,-5.79603779633909,-5.86395122680902
2001,51,-5.74732978081014,-5.67811472790762
2001,52,-5.6470170289647,-5.6664866899125
2001,53,-5.56849784399953,-5.52647345968579
2001,54,-5.43461756491946,-5.42842605189506
2001,55,-5.39577539654532,-5.37736057388849
2001,56,-5.27375170600056,-5.26102158180434
2001,57,-5.15125310695959,-5.13790064514213
2001,58,-5.06672627946642,-5.05302101059269
2001,59,-4.953976820611,-4.97333950935256
2001,60,-4.87488973548401,-4.87829210710854
2001,61,-4.76584601958464,-4.74098990913063
2001,62,-4.66986877356798,-4.63356966050979
2001,63,-4.6084849842807,-4.60217467700829
2001,64,-4.54937326217863,-4.502613597663
2001,65,-4.46254378434972,-4.39167301172569
2001,66,-4.34933931054031,-4.27586643884549
2001,67,-4.26068585941174,-4.19837263264615
2001,68,-4.14856759474947,-4.09594584358907
2001,69,-4.10884124176606,-3.98298209436864
2001,70,-4.02812752437943,-3.87665586159085
2001,71,-3.95342491798163,-3.82126864215968
2001,72,-3.82318548438502,-3.71892637546623
2001,73,-3.74014875205294,-3.62684406319448
2001,74,-3.67082820037246,-3.51257596964554
2001,75,-3.60701536971977,-3.44671789696396
2001,76,-3.50978689599258,-3.31841995520459
2001,77,-3.41978633680243,-3.20942066609745
2001,78,-3.32505249152887,-3.14632263218649
2001,79,-3.20705110128969,-3.03032371832361
2001,80,-3.06017588324499,-2.8973359516978
2001,81,-2.97299651098304,-2.73521586917498
2001,82,-2.84513749009307,-2.70142221481199
2001,83,-2.7712175804386,-2.58508063875853
2001,84,-2.61682456017416,-2.43874851780692
2001,85,-2.43746177447119,-2.35472084741457
2001,86,-2.37848064677019,-2.23914092043751
2001,87,-2.26142631959045,-2.12678475319036
2001,88,-2.13332553237309,-2.01657942492321
2001,89,-2.04059568065015,-1.94491064872223
2001,90,-1.90081879734831,-1.82778050680727
2001,91,-1.73847560738535,-1.72675855501064
2001,92,-1.66707714079515,-1.6057945575193
2001,93,-1.64247321361221,-1.46603044913937
2001,94,-1.46109976694192,-1.45427346093275
2001,95,-1.36854674670544,-1.33006526785346
2001,96,-1.27907581231161,-1.24004913290863
2001,97,-1.16183189858737,-1.15280451775154
2001,98,-1.17913645391949,-1.06862639317785
2001,99,-0.98300772419889,-0.987625629478777
2001,100,-1.26075665008998,-0.910060182123519
2002,0,-5.16124038987649,-5.22506690480844
2002,1,-7.9027283162909,-7.87533930524384
2002,2,-8.25826758723225,-8.46840302724681
2002,3,-8.44241351970005,-8.67971212091401
2002,4,-8.60304347345815,-8.67971212091401
2002,5,-8.80066802362158,-8.80487526386802
2002,6,-8.92516753615654,-9.21034037197618
2002,7,-9.04415280519085,-9.02801881518223
2002,8,-8.97197888904939,-9.31570088763401
2002,9,-9.01651694273438,-9.02801881518223
2002,10,-9.04135944748019,-8.94797610750869
2002,11,-8.94530980201478,-9.11503019217186
2002,12,-8.87259901388492,-8.80487526386802
2002,13,-8.60836465176211,-8.62255370707406
2002,14,-8.30728034718766,-8.37743124904108
2002,15,-7.96790173478242,-8.25482892694875
2002,16,-7.74850777919767,-7.82404601085629
