"year","age","pred","actual"
2001,0,-5.43232107042355,-5.33913936106829
2001,1,-8.44558187146918,-7.77525584668686
2001,2,-8.87521551345996,-8.2170885989659
2001,3,-9.05539590477428,-8.33487163462228
2001,4,-9.20784256581638,-8.94797610750869
2001,5,-9.15569396798944,-9.21034037197618
2001,6,-9.41841120431595,-9.02801881518223
2001,7,-9.38016609663352,-8.46840302724681
2001,8,-9.25208366509105,-8.94797610750869
2001,9,-9.21369205737503,-8.74033674273045
2001,10,-9.31345380307591,-8.80487526386802
2001,11,-9.40476727401356,-9.02801881518223
2001,12,-9.2774132024207,-8.87386813535497
2001,13,-9.02362259531494,-8.67971212091401
2001,14,-8.72830432433929,-8.33487163462228
2001,15,-8.41828477499272,-8.25482892694875
2001,16,-8.10863466051347,-8.0471895621705
2001,17,-7.99507707034494,-7.95757740348081
2001,18,-7.73230919596334,-7.6211051668596
2001,19,-7.78273482600391,-7.60090245954208
2001,20,-7.7922224548098,-7.68428406848113
2001,21,-7.79629563346115,-7.54263355141811
2001,22,-7.83559363051543,-7.64172445406234
2001,23,-7.8629720982062,-7.64172445406234
2001,24,-7.82412347408104,-7.82404601085629
2001,25,-7.8246290584361,-7.70626297519991
2001,26,-7.78742139392634,-7.84936381884058
2001,27,-7.7662239537398,-7.26443022292087
2001,28,-7.7719151615665,-7.33853819507459
2001,29,-7.71002335607072,-7.48757377423508
2001,30,-7.65970186844533,-7.5810998322459
2001,31,-7.57692791631357,-7.19543735143392
2001,32,-7.49079815797756,-7.48757377423508
2001,33,-7.4308121268318,-7.08210866612691
2001,34,-7.35818346126542,-7.00206595845338
2001,35,-7.26576614442249,-6.78553764625789
2001,36,-7.24090270013449,-6.95904857336969
2001,37,-7.10090153542433,-6.67664355801875
2001,38,-6.934520173361,-6.63772814176908
2001,39,-6.82230059029274,-6.46306945772069
2001,40,-6.67928797407686,-6.57128304236092
2001,41,-6.60756434431583,-6.46306945772069
2001,42,-6.46332837319987,-6.19480547112601
2001,43,-6.3873127701721,-6.13764705728606
2001,44,-6.28780485170334,-6.10575369351011
2001,45,-6.16991006434465,-5.85344324921061
2001,46,-6.02825770890263,-5.83960219779874
2001,47,-5.93799286768912,-5.77313255279099
2001,48,-5.81779474549523,-5.52647345968579
2001,49,-5.71107665669114,-5.66360068502337
2001,50,-5.54522792973636,-5.37952742197358
2001,51,-5.47389654585331,-5.48224020470897
2001,52,-5.44137158771617,-5.31852007386556
2001,53,-5.3504388178169,-5.24382918126397
2001,54,-5.26696469106807,-5.18142361507654
2001,55,-5.18622165536665,-5.03288090304358
2001,56,-5.13138701127165,-4.96470636220786
2001,57,-5.01028554518856,-4.78669206261148
2001,58,-4.92341341385624,-4.74904055640779
2001,59,-4.79668220626489,-4.6345989966789
2001,60,-4.72539600649547,-4.67452026412288
2001,61,-4.59935271210533,-4.50986000618377
2001,62,-4.4975157615808,-4.44560561631675
2001,63,-4.37905519746195,-4.31698823849466
2001,64,-4.31716705446701,-4.21854816568141
2001,65,-4.1991562613752,-4.09414458221943
2001,66,-4.14329882411089,-3.99431824815498
2001,67,-4.04905790032808,-3.87184121579531
2001,68,-3.98664665666971,-3.74650856695057
2001,69,-3.8542525062038,-3.62234293031369
2001,70,-3.77069605280566,-3.59903875011415
2001,71,-3.62010213947099,-3.48121508964819
2001,72,-3.53248604275069,-3.42651518964645
