"Age","Year","log_mx"
0,1950,-3.53665968922682
1,1950,-6.26222663424179
2,1950,-6.6764953561749
3,1950,-6.85231902820539
4,1950,-7.15933877911709
5,1950,-7.24262204472849
6,1950,-7.424401851644
7,1950,-7.3496719686506
8,1950,-7.59080680310706
9,1950,-7.55334316892639
10,1950,-7.67332928974674
11,1950,-7.89567294204932
12,1950,-7.9037543528102
13,1950,-7.84230988591941
14,1950,-7.61979400224591
15,1950,-7.51403279418307
16,1950,-7.31383731118965
17,1950,-7.31401927404904
18,1950,-7.10395691291811
19,1950,-6.96423606284377
20,1950,-7.08976340787971
21,1950,-7.04819031500897
22,1950,-6.93730294902676
23,1950,-6.9950786985088
24,1950,-7.01333303994462
25,1950,-7.00239735976236
26,1950,-7.04634637767768
27,1950,-7.00900279413961
28,1950,-6.84774513640511
29,1950,-6.82570803122765
30,1950,-6.81927149949215
31,1950,-6.7602024166843
32,1950,-6.7654978856484
33,1950,-6.6517313302474
34,1950,-6.61141272287896
35,1950,-6.52696371124924
36,1950,-6.45985601151963
37,1950,-6.36089758384676
38,1950,-6.26803059661005
39,1950,-6.23039870454789
40,1950,-6.11711507325814
41,1950,-6.09459094284975
42,1950,-5.92561116828064
43,1950,-5.84382973387597
44,1950,-5.80778982547236
45,1950,-5.64456469825578
46,1950,-5.57368242302307
47,1950,-5.46100455732358
48,1950,-5.36199004268528
49,1950,-5.28760902117516
50,1950,-5.18882006256271
51,1950,-5.07502231123803
52,1950,-4.99567490386855
53,1950,-4.88570534368825
54,1950,-4.81764003144403
55,1950,-4.71135872435459
56,1950,-4.63560955222817
57,1950,-4.53728650042972
58,1950,-4.44879641572808
59,1950,-4.35792635801985
60,1950,-4.26450229298832
61,1950,-4.16823818626433
62,1950,-4.07335991096051
63,1950,-3.98347421389873
64,1950,-3.90160687558848
65,1950,-3.78500017113743
66,1950,-3.68912713795564
67,1950,-3.61405204192886
68,1950,-3.49011638158513
69,1950,-3.40259950391719
70,1950,-3.26549932915141
71,1950,-3.16078912492959
72,1950,-3.05740617842623
73,1950,-2.95409075293563
74,1950,-2.84971041918076
75,1950,-2.75137036046462
76,1950,-2.63596918141217
77,1950,-2.50938046812384
78,1950,-2.42141841282118
79,1950,-2.29635067656357
80,1950,-2.20093378368698
81,1950,-2.09939810151026
82,1950,-1.9834555980675
83,1950,-1.88524360023474
84,1950,-1.78667639886224
85,1950,-1.69634644263329
86,1950,-1.58863673074503
87,1950,-1.50337425031678
88,1950,-1.40828648252283
89,1950,-1.31598556789437
90,1950,-1.23873446286747
91,1950,-1.14931951970844
92,1950,-1.07184029188552
93,1950,-0.996926534331717
94,1950,-0.929077948757337
95,1950,-0.859143057346301
96,1950,-0.793577899751722
97,1950,-0.731475294159678
98,1950,-0.672844654529374
99,1950,-0.617674953993482
100,1950,-0.5659234818062
0,1951,-3.71088529303397
1,1951,-6.39969508015664
2,1951,-6.83191715038372
3,1951,-7.01420759808261
4,1951,-7.30232082631079
5,1951,-7.40071529831667
6,1951,-7.56185723396866
7,1951,-7.5155397023983
8,1951,-7.71662438945437
9,1951,-7.68095611646907
10,1951,-7.80285893929228
11,1951,-7.98641286694428
12,1951,-8.0034106235758
13,1951,-7.91536716593779
14,1951,-7.70916581034123
15,1951,-7.59039391599665
16,1951,-7.37682904002168
17,1951,-7.3574773227867
18,1951,-7.13024520737057
19,1951,-7.00469888054479
20,1951,-7.11319971240593
21,1951,-7.08135148438988
22,1951,-6.99312467732428
23,1951,-7.0398348831639
24,1951,-7.04647132554133
25,1951,-7.03752040006169
26,1951,-7.07190840537579
27,1951,-7.0306754624178
28,1951,-6.8922429078357
29,1951,-6.85626709618029
30,1951,-6.84692859935048
