"year","age","pred","actual"
2001,0,-5.68918364987093,-5.33913936106829
2001,1,-8.30880434445471,-7.77525584668686
2001,2,-8.60039546348878,-8.2170885989659
2001,3,-8.64071099881986,-8.33487163462228
2001,4,-8.81394983636861,-8.94797610750869
2001,5,-8.9509436101718,-9.21034037197618
2001,6,-9.06948538626579,-9.02801881518223
2001,7,-9.02368629098171,-8.46840302724681
2001,8,-8.89167574766898,-8.94797610750869
2001,9,-8.8860335855057,-8.74033674273045
2001,10,-8.95163120489468,-8.80487526386802
2001,11,-8.99752520672226,-9.02801881518223
2001,12,-9.01502590964811,-8.87386813535497
2001,13,-8.79356594908601,-8.67971212091401
2001,14,-8.56801194954169,-8.33487163462228
2001,15,-8.31116490586554,-8.25482892694875
2001,16,-8.10351878379695,-8.0471895621705
2001,17,-7.92919839382629,-7.95757740348081
2001,18,-7.73807413152434,-7.6211051668596
2001,19,-7.68567823527113,-7.60090245954208
2001,20,-7.78290027549837,-7.68428406848113
2001,21,-7.8112766950484,-7.54263355141811
2001,22,-7.84403203245031,-7.64172445406234
2001,23,-7.7994987293043,-7.64172445406234
2001,24,-7.76547759976432,-7.82404601085629
2001,25,-7.80855402377193,-7.70626297519991
2001,26,-7.73131618051826,-7.84936381884058
2001,27,-7.67424677395431,-7.26443022292087
2001,28,-7.61727147773803,-7.33853819507459
2001,29,-7.50570692498301,-7.48757377423508
2001,30,-7.49840342059096,-7.5810998322459
2001,31,-7.47315493599728,-7.19543735143392
2001,32,-7.35362253304571,-7.48757377423508
2001,33,-7.29435387434706,-7.08210866612691
2001,34,-7.22425456370847,-7.00206595845338
2001,35,-7.14611033111654,-6.78553764625789
2001,36,-7.0459022380307,-6.95904857336969
2001,37,-6.97230205430678,-6.67664355801875
2001,38,-6.89003002402923,-6.63772814176908
2001,39,-6.82209111116862,-6.46306945772069
2001,40,-6.75053961894706,-6.57128304236092
2001,41,-6.69206898733356,-6.46306945772069
2001,42,-6.57748924095239,-6.19480547112601
2001,43,-6.38654061945158,-6.13764705728606
2001,44,-6.28675753570232,-6.10575369351011
2001,45,-6.1909870401014,-5.85344324921061
2001,46,-6.05248543062638,-5.83960219779874
2001,47,-5.97325060878982,-5.77313255279099
2001,48,-5.89987121017087,-5.52647345968579
2001,49,-5.84287917393716,-5.66360068502337
2001,50,-5.66933397018365,-5.37952742197358
2001,51,-5.4865462962742,-5.48224020470897
2001,52,-5.35837265054641,-5.31852007386556
2001,53,-5.26085968036116,-5.24382918126397
2001,54,-5.19280854369764,-5.18142361507654
2001,55,-5.11883669575806,-5.03288090304358
2001,56,-5.06000546705101,-4.96470636220786
2001,57,-4.96266312163315,-4.78669206261148
2001,58,-4.8952114408136,-4.74904055640779
2001,59,-4.79715570392781,-4.6345989966789
2001,60,-4.70055565188667,-4.67452026412288
2001,61,-4.56442813915168,-4.50986000618377
2001,62,-4.43202841531492,-4.44560561631675
2001,63,-4.34225494636082,-4.31698823849466
2001,64,-4.25160454731434,-4.21854816568141
2001,65,-4.16333541077038,-4.09414458221943
2001,66,-4.08668977797859,-3.99431824815498
2001,67,-3.97640566736499,-3.87184121579531
2001,68,-3.8674488152079,-3.74650856695057
2001,69,-3.702162859374,-3.62234293031369
2001,70,-3.56358242651135,-3.59903875011415
2001,71,-3.43301236070282,-3.48121508964819
2001,72,-3.33201460058809,-3.42651518964645
2001,73,-3.24248588223359,-3.28956656549097
2001,74,-3.1103912606407,-3.24753253411801
2001,75,-2.96284629963558,-3.11654489377074
2001,76,-2.83364648685863,-3.06315494987143
2001,77,-2.73282388982755,-2.93181894781034
2001,78,-2.6558451286985,-2.79573453174709
2001,79,-2.54825040837548,-2.7510620916955
2001,80,-2.45351998339347,-2.64719031284545
2001,81,-2.33271159699715,-2.58973397428417
2001,82,-2.23071190404399,-2.46663460500055
2001,83,-2.12736664013012,-2.35746375450404
2001,84,-2.01715912355583,-2.27623531767126
2001,85,-1.88822476247018,-2.17886416600429
2001,86,-1.75056377655748,-2.08884562175513
2001,87,-1.64066582092373,-1.98434956749881
2001,88,-1.54298437569985,-1.89047544216721
2001,89,-1.43603935117798,-1.75892448613448
