"Age","Year","log_mx"
0,1950,-2.97139005965473
1,1950,-5.40145246884848
2,1950,-6.27723851140757
3,1950,-6.69551824534393
4,1950,-6.89632451318795
5,1950,-7.09237849452284
6,1950,-7.2500837163693
7,1950,-7.39314425153919
8,1950,-7.49196630220905
9,1950,-7.57469854612593
10,1950,-7.59396996941874
11,1950,-7.63300097658501
12,1950,-7.60374570676804
13,1950,-7.55048833553115
14,1950,-7.33463184659456
15,1950,-7.16516646157265
16,1950,-7.02165086146154
17,1950,-6.83669726972477
18,1950,-6.73344161634883
19,1950,-6.65888822295064
20,1950,-6.68338136101509
21,1950,-6.68969523215706
22,1950,-6.59998833701918
23,1950,-6.54455775933345
24,1950,-6.51805727645197
25,1950,-6.49785471816159
26,1950,-6.48559883556357
27,1950,-6.46031911401271
28,1950,-6.42571657370333
29,1950,-6.37735164617509
30,1950,-6.33881862783182
31,1950,-6.30137609975554
32,1950,-6.22715511114359
33,1950,-6.17007354437894
34,1950,-6.10029573625962
35,1950,-6.02088398280538
36,1950,-5.97337375502653
37,1950,-5.87359489564794
38,1950,-5.80412778158367
39,1950,-5.7433712646377
40,1950,-5.64263789613373
41,1950,-5.575417138206
42,1950,-5.48242871683294
43,1950,-5.39911611794324
44,1950,-5.31202052268555
45,1950,-5.21180589375826
46,1950,-5.11086046799748
47,1950,-5.02408153358721
48,1950,-4.93147507103982
49,1950,-4.84913682203652
50,1950,-4.73954985787771
51,1950,-4.66344804465128
52,1950,-4.58359413887427
53,1950,-4.49946800311325
54,1950,-4.41542849794572
55,1950,-4.35076103974786
56,1950,-4.26043342231972
57,1950,-4.18415176253173
58,1950,-4.10558093949303
59,1950,-4.02834680566753
60,1950,-3.95190915477111
61,1950,-3.87395651822199
62,1950,-3.7899596037292
63,1950,-3.70502731906145
64,1950,-3.61670206944521
65,1950,-3.53035981596376
66,1950,-3.44125652606127
67,1950,-3.35515843525264
68,1950,-3.25766492568434
69,1950,-3.16111758978214
70,1950,-3.05868702737684
71,1950,-2.96056544489661
72,1950,-2.85848856688395
73,1950,-2.75643432227588
74,1950,-2.64929035928707
75,1950,-2.5443400035504
76,1950,-2.43853026222063
77,1950,-2.33909393280391
78,1950,-2.24080208201755
79,1950,-2.13523158805186
80,1950,-2.04502636484106
81,1950,-1.95213925923519
82,1950,-1.85126540532089
83,1950,-1.75946275290838
84,1950,-1.66812408840708
85,1950,-1.58211547647497
86,1950,-1.48780149635173
87,1950,-1.40445468571476
88,1950,-1.32874799018822
89,1950,-1.24839862870962
90,1950,-1.17546488727935
91,1950,-1.10930701202092
92,1950,-1.03253085838815
93,1950,-0.977615522443869
94,1950,-0.908718236367951
95,1950,-0.829473452416754
96,1950,-0.769485408524969
