"year","age","pred","actual"
2001,0,-5.50273940922336,-5.39262804601928
2001,1,-7.80992657677666,-7.84936381884058
2001,2,-8.26287231269194,-8.2170885989659
2001,3,-8.44623654447192,-8.42188301161191
2001,4,-8.6184323211455,-8.67971212091401
2001,5,-8.71406431340942,-8.94797610750869
2001,6,-8.82358654148069,-8.87386813535497
2001,7,-8.89971652022594,-9.21034037197618
2001,8,-8.94151550351651,-9.21034037197618
2001,9,-9.02580091213845,-9.21034037197618
2001,10,-9.02749998432409,-9.02801881518223
2001,11,-8.97641995041064,-9.11503019217186
2001,12,-8.90303478371548,-8.74033674273045
2001,13,-8.76479567018937,-8.80487526386802
2001,14,-8.47370186560057,-8.33487163462228
2001,15,-8.16177897532614,-8.14562963498375
2001,16,-7.93947704096357,-7.87533930524384
2001,17,-7.66047032162134,-7.72873583105197
2001,18,-7.44078710996082,-7.30823284557926
2001,19,-7.39875897932332,-7.1821921246839
2001,20,-7.44483756627711,-7.22246602382184
2001,21,-7.43680793421238,-7.27881896037297
2001,22,-7.45641431764225,-7.23625934595417
2001,23,-7.46870970540712,-7.3232707229438
2001,24,-7.4742327103867,-7.27881896037297
2001,25,-7.45441408870166,-7.1821921246839
2001,26,-7.42824406230891,-7.29341775979412
2001,27,-7.42120171712762,-7.15621663828064
2001,28,-7.37399036679405,-7.19543735143392
2001,29,-7.31657846108923,-7.1821921246839
2001,30,-7.2722237268866,-7.13089883029635
2001,31,-7.20581049941307,-7.13089883029635
2001,32,-7.15386416608307,-7.05857816871672
2001,33,-7.09635809422932,-6.92795798629966
2001,34,-6.99587129764634,-6.90775527898214
2001,35,-6.88990639263775,-6.76799333660698
2001,36,-6.83058142727571,-6.71713491937349
2001,37,-6.77586717766249,-6.62257633674847
2001,38,-6.70002844344598,-6.48248754357779
2001,39,-6.58738758120554,-6.44402126275
2001,40,-6.4660428368665,-6.35963387047245
2001,41,-6.36729614617029,-6.22972173623224
2001,42,-6.26381716918624,-6.17059121300542
2001,43,-6.17428950481511,-6.05333995082607
2001,44,-6.1040800040318,-5.9522438339547
2001,45,-5.99448427243019,-5.81248189157954
2001,46,-5.85750249928854,-5.73837391942582
2001,47,-5.74082535667297,-5.68987956948721
2001,48,-5.67778974760968,-5.6048425268013
2001,49,-5.62776732910005,-5.56489047578958
2001,50,-5.55208334700975,-5.4894778720092
2001,51,-5.4839388314766,-5.43528322162119
2001,52,-5.42677997452077,-5.37088805938287
