"year","age","pred","actual"
2001,0,-4.96935123387407,-5.39262804601928
2001,1,-7.379353026938,-7.84936381884058
2001,2,-7.96014519874143,-8.2170885989659
2001,3,-8.21453825697283,-8.42188301161191
2001,4,-8.4170316276446,-8.67971212091401
2001,5,-8.59262496561736,-8.94797610750869
2001,6,-8.73006614493411,-8.87386813535497
2001,7,-8.82993823772447,-9.21034037197618
2001,8,-8.91089780291918,-9.21034037197618
2001,9,-8.97070555200452,-9.21034037197618
2001,10,-8.99003643385315,-9.02801881518223
2001,11,-8.99015013291842,-9.11503019217186
2001,12,-8.95245277052351,-8.74033674273045
2001,13,-8.85356198812727,-8.80487526386802
2001,14,-8.61278526757034,-8.33487163462228
2001,15,-8.3339741689276,-8.14562963498375
2001,16,-8.11694364392069,-7.87533930524384
2001,17,-7.86060268747233,-7.72873583105197
2001,18,-7.66660701001733,-7.30823284557926
2001,19,-7.6230378197413,-7.1821921246839
2001,20,-7.64315439128456,-7.22246602382184
2001,21,-7.61043559026823,-7.27881896037297
2001,22,-7.55464987273286,-7.23625934595417
2001,23,-7.59279780411591,-7.3232707229438
2001,24,-7.56704875580073,-7.27881896037297
2001,25,-7.5341406021103,-7.1821921246839
2001,26,-7.48854727693637,-7.29341775979412
2001,27,-7.4640288023507,-7.15621663828064
2001,28,-7.4307423806162,-7.19543735143392
2001,29,-7.37256985731832,-7.1821921246839
2001,30,-7.30117092583263,-7.13089883029635
2001,31,-7.24748776639659,-7.13089883029635
2001,32,-7.18106141980015,-7.05857816871672
2001,33,-7.09884241880551,-6.92795798629966
2001,34,-7.01597212624211,-6.90775527898214
2001,35,-6.89956279594405,-6.76799333660698
2001,36,-6.8095086174399,-6.71713491937349
2001,37,-6.7455875131323,-6.62257633674847
2001,38,-6.67632415620528,-6.48248754357779
2001,39,-6.58984603195597,-6.44402126275
2001,40,-6.48947497519071,-6.35963387047245
2001,41,-6.35598615030444,-6.22972173623224
2001,42,-6.28365590685975,-6.17059121300542
2001,43,-6.13770442539143,-6.05333995082607
2001,44,-6.0269460479634,-5.9522438339547
2001,45,-5.95335454661837,-5.81248189157954
2001,46,-5.84676039745592,-5.73837391942582
2001,47,-5.77072314540028,-5.68987956948721
2001,48,-5.67444384285699,-5.6048425268013
2001,49,-5.58747488347821,-5.56489047578958
2001,50,-5.55289701163966,-5.4894778720092
2001,51,-5.51678229604739,-5.43528322162119
2001,52,-5.44021378328718,-5.37088805938287
2001,53,-5.33527626048144,-5.27655587476652
2001,54,-5.24380525314437,-5.24572491642887
2001,55,-5.19352227883208,-5.16029606865066
2001,56,-5.14071933965969,-5.08643700751254
2001,57,-5.05684193576044,-5.01313842431437
2001,58,-4.94044772889575,-4.95614710881219
2001,59,-4.84535092396278,-4.89418648145301
2001,60,-4.75813164215274,-4.8283137373023
2001,61,-4.63411686476424,-4.74213604106125
2001,62,-4.52701132490212,-4.67237893568154
2001,63,-4.42459062383329,-4.61825542553675
2001,64,-4.34014866034456,-4.51624397679369
2001,65,-4.2343422780712,-4.44560561631675
2001,66,-4.17275236902174,-4.35441146764091
2001,67,-4.10796168551686,-4.27947004634879
2001,68,-4.01157563522134,-4.19239850269749
2001,69,-3.90510651858867,-4.1025783671492
2001,70,-3.78622525399719,-4.02968104889638
2001,71,-3.70147236729535,-3.90455099058945
2001,72,-3.58930401213193,-3.82035581690232
2001,73,-3.45495019974139,-3.74185837890482
2001,74,-3.32925923574833,-3.6340125526731
2001,75,-3.24314924866485,-3.54529872563641
2001,76,-3.14718301030264,-3.45681580542517
2001,77,-3.04166371816909,-3.33456729936439
2001,78,-2.9300470950083,-3.24061031701421
2001,79,-2.82605559762234,-3.12766494481482
2001,80,-2.73581964638178,-2.98558394250218
2001,81,-2.64021535004402,-2.86277604630537
2001,82,-2.50510004545223,-2.74887219562247
2001,83,-2.36338174052881,-2.64310551246183
2001,84,-2.25379129301838,-2.50899444531709
2001,85,-2.13062955015548,-2.38076287405807
2001,86,-2.03846275555776,-2.28415595752568
2001,87,-1.90134343205654,-2.16805420003644
2001,88,-1.80192846781579,-2.04253118765974
2001,89,-1.71116716858647,-1.92806040779252
2001,90,-1.61919482854398,-1.83095778263221
2001,91,-1.5386317523974,-1.68432310962589
2001,92,-1.46384342262235,-1.58664955080367
2001,93,-1.36623598198336,-1.47525673096808
2001,94,-1.27781251045766,-1.39509295547624
2001,95,-1.20543635008277,-1.29240336970536
2001,96,-1.14395955702645,-1.19527738595871
2001,97,-1.0960797144963,-1.10153656018536
2001,98,-1.08619722497174,-1.0114809188779
2001,99,-1.06751763469187,-0.925381931885935
2001,100,-1.20350900515838,-0.843458573224485
2002,0,-4.9693302432774,-5.47744403244547
2002,1,-7.39578443685417,-7.92940652651412
2002,2,-7.96696072886431,-8.25482892694875
2002,3,-8.2297328251341,-8.62255370707406
2002,4,-8.45003846629296,-8.87386813535497
2002,5,-8.63388489872411,-9.02801881518223
2002,6,-8.76581371412765,-8.94797610750869
2002,7,-8.86482985703175,-9.02801881518223
2002,8,-8.93419649060973,-9.11503019217186
2002,9,-8.99124397623355,-8.87386813535497
2002,10,-8.99982388262059,-9.11503019217186
2002,11,-9.00201156925084,-9.11503019217186
2002,12,-8.96549084641346,-9.02801881518223
2002,13,-8.87018595761424,-8.74033674273045
2002,14,-8.6180422458908,-8.62255370707406
2002,15,-8.35086810081058,-8.37743124904108
2002,16,-8.13188486724164,-7.98656494035407
2002,17,-7.86666882414064,-7.82404601085629
2002,18,-7.66821308219831,-7.35404238161056
2002,19,-7.62923966644777,-7.40205160079692
2002,20,-7.6456254509698,-7.25024558792891
2002,21,-7.6129680182951,-7.3232707229438
2002,22,-7.56427653936055,-7.23625934595417
2002,23,-7.60796059484612,-7.3232707229438
2002,24,-7.58432751528924,-7.3232707229438
2002,25,-7.5513378772687,-7.22246602382184
2002,26,-7.51489499456062,-7.26443022292087
2002,27,-7.48708959661238,-7.22246602382184
2002,28,-7.45829457949217,-7.1821921246839
2002,29,-7.40025630855213,-7.19543735143392
2002,30,-7.33048895865309,-7.16912004311654
2002,31,-7.27749469893817,-7.14347761250321
2002,32,-7.21345851076898,-7.03558865049202
2002,33,-7.12457761915762,-7.03558865049202
2002,34,-7.04114043471621,-6.95904857336969
2002,35,-6.92212739582344,-6.85896511481271
2002,36,-6.83743485708701,-6.74224084050456
2002,37,-6.77104531691875,-6.66873837851164
2002,38,-6.69787260713081,-6.57128304236092
2002,39,-6.61779902003702,-6.4956456281553
2002,40,-6.51510084951852,-6.38302675004716
2002,41,-6.38198315004274,-6.27648350214028
2002,42,-6.31246710423155,-6.14694944994838
2002,43,-6.14964075005049,-6.05760434961253
2002,44,-6.04749347336843,-5.99146454710798
2002,45,-5.96669115543867,-5.87457079563648
2002,46,-5.87417211239066,-5.78934036301785
2002,47,-5.79284508420728,-5.68104298768671
2002,48,-5.68909176267575,-5.6379947341182
2002,49,-5.60973730394881,-5.54166362517977
2002,50,-5.55883278613449,-5.49921030892743
2002,51,-5.53468296801326,-5.41485118280399
2002,52,-5.4483374357328,-5.35594647938467
2002,53,-5.33152495660964,-5.26681869948867
2002,54,-5.2595746210994,-5.22135632541191
2002,55,-5.20897164951398,-5.15335159629785
2002,56,-5.14669925453683,-5.07357509387013
2002,57,-5.06025687989747,-5.01615047478437
2002,58,-4.94153537706949,-4.96757580463581
2002,59,-4.86217998907134,-4.88224207932786
2002,60,-4.7756220568243,-4.84724174718782
2002,61,-4.65347434927879,-4.77122477031817
2002,62,-4.55367426589644,-4.71275539666803
2002,63,-4.44779937264785,-4.62741579493541
2002,64,-4.36146898429938,-4.54784511936882
2002,65,-4.25552135280263,-4.46976554898189
2002,66,-4.19983534060142,-4.38042791331018
2002,67,-4.13078065061278,-4.28453701339662
2002,68,-4.03796824939957,-4.21245265070243
2002,69,-3.92839485674892,-4.11720385636818
2002,70,-3.81492843725698,-4.02743385693947
2002,71,-3.73015616340683,-3.95024421824834
2002,72,-3.61641336772546,-3.84249694277954
2002,73,-3.48127692676898,-3.76188034699843
2002,74,-3.35592676843567,-3.66204280016038
2002,75,-3.26703275770139,-3.5698527476923
2002,76,-3.17080005537595,-3.45649869744724
2002,77,-3.06316100451525,-3.35269297260254
2002,78,-2.95320467924349,-3.23272123169025
2002,79,-2.8454905578461,-3.14029572474534
2002,80,-2.75524323669902,-3.00558060960881
2002,81,-2.66305311921612,-2.88705725692834
2002,82,-2.52987419716673,-2.75876471564671
2002,83,-2.38837250353945,-2.63638091441185
2002,84,-2.27771620017611,-2.52835709566195
2002,85,-2.15677596212699,-2.40616940925062
2002,86,-2.06551176318589,-2.26019632650226
2002,87,-1.92410860874851,-2.16386717368222
2002,88,-1.82373070088573,-2.05003809131059
2002,89,-1.72889285286232,-1.93012538649987
2002,90,-1.63515438733928,-1.80734022119508
2002,91,-1.55637696958959,-1.69892507893564
2002,92,-1.48006040776287,-1.57103484115116
2002,93,-1.38393571954944,-1.48386308952603
2002,94,-1.29314410056938,-1.38445605184625
2002,95,-1.22116063927377,-1.28778929041905
2002,96,-1.15840516903725,-1.19020140024202
2002,97,-1.1070749971802,-1.09613535879322
2002,98,-1.09424915954543,-1.0058052390819
2002,99,-1.0740270519467,-0.91952094339444
2002,100,-1.22188539793086,-0.837525763238501
2003,0,-5.01363089754001,-5.49433225047399
2003,1,-7.41045817583568,-7.84936381884058
2003,2,-7.97566060234201,-8.29404964010203
2003,3,-8.24504021775244,-8.67971212091401
2003,4,-8.46544935421431,-8.74033674273045
2003,5,-8.63510818405201,-9.02801881518223
2003,6,-8.76928066101024,-9.02801881518223
2003,7,-8.8703900328596,-9.02801881518223
2003,8,-8.94283645342611,-9.31570088763401
2003,9,-9.00456542517848,-9.21034037197618
2003,10,-9.02455372085323,-9.11503019217186
2003,11,-9.02721952662976,-9.31570088763401
2003,12,-8.99538145606518,-8.87386813535497
2003,13,-8.89389279579551,-8.87386813535497
2003,14,-8.66820044276735,-8.51719319141624
2003,15,-8.38180153496608,-8.46840302724681
2003,16,-8.15928663350817,-8.01641790350375
2003,17,-7.88526328588959,-7.902007552326
2003,18,-7.68124153739811,-7.6211051668596
2003,19,-7.63732264961236,-7.45248245442381
2003,20,-7.65119233212714,-7.33853819507459
2003,21,-7.61993237757906,-7.38579107992514
2003,22,-7.57312976080834,-7.33853819507459
2003,23,-7.62675840300026,-7.3232707229438
2003,24,-7.60300827171337,-7.46987419713568
2003,25,-7.575706210781,-7.46987419713568
2003,26,-7.54679035196194,-7.27881896037297
2003,27,-7.5184477988143,-7.30823284557926
2003,28,-7.48941605440947,-7.3232707229438
2003,29,-7.43860350483548,-7.27881896037297
2003,30,-7.37111975693201,-7.1821921246839
2003,31,-7.31814969471047,-7.16912004311654
2003,32,-7.25648500666039,-7.08210866612691
2003,33,-7.17522705430336,-7.01311579463996
2003,34,-7.08403748859485,-6.92795798629966
2003,35,-6.95958117983621,-6.83079423784601
2003,36,-6.86605087106343,-6.79442659367513
2003,37,-6.79950441160829,-6.74224084050456
2003,38,-6.7299811502795,-6.56416557459206
2003,39,-6.64428937168098,-6.4759728625566
2003,40,-6.53573001434772,-6.41917526416347
2003,41,-6.40189127329967,-6.33114191467814
2003,42,-6.33474716491169,-6.21962064024574
2003,43,-6.17411210511968,-6.10575369351011
2003,44,-6.07197142444109,-6.02812853147957
2003,45,-5.99861286041184,-5.90345366978527
2003,46,-5.90102360433489,-5.78934036301785
2003,47,-5.80960285052699,-5.70478297498978
2003,48,-5.70041099659065,-5.62682143352007
2003,49,-5.61105745213423,-5.5570880955054
2003,50,-5.5589731880812,-5.4561414517416
2003,51,-5.52679413875733,-5.40813223255524
2003,52,-5.44154582067774,-5.33705819486447
2003,53,-5.32072108557329,-5.28244401739175
2003,54,-5.2576054043077,-5.21950618612375
2003,55,-5.21723494773465,-5.15162298739723
2003,56,-5.15952020894252,-5.07197892433731
2003,57,-5.07035616292822,-5.02220193046772
2003,58,-4.95868560559544,-4.96901361940544
2003,59,-4.87686728447986,-4.87697890928358
2003,60,-4.79558207350077,-4.8283137373023
2003,61,-4.67679016471314,-4.80973735172937
2003,62,-4.57761309390127,-4.6575166663603
2003,63,-4.4689362475339,-4.63356966050979
2003,64,-4.38440121115648,-4.55733285657393
2003,65,-4.27623571904677,-4.46367062371439
