"year","age","pred","actual"
2001,0,-5.77028012273921,-5.77958418807248
2001,1,-7.64887122843443,-7.64172445406234
2001,2,-8.17817075911072,-8.18072095479502
2001,3,-8.46109336135082,-8.46840302724681
2001,4,-8.62249146114631,-8.67971212091401
2001,5,-8.80695001238737,-8.94797610750869
2001,6,-8.8966607254917,-8.87386813535497
2001,7,-9.03627936433348,-9.02801881518223
2001,8,-9.193896560664,-9.21034037197618
2001,9,-9.26030874924909,-9.21034037197618
2001,10,-9.35031319265729,-9.31570088763401
2001,11,-9.3002391694266,-9.43348392329039
2001,12,-9.26689495195545,-9.31570088763401
2001,13,-9.10533396005693,-9.11503019217186
2001,14,-8.93357458207235,-8.87386813535497
2001,15,-8.72952526860014,-8.56848648580379
2001,16,-8.29699603159034,-8.25482892694875
2001,17,-8.12128630155776,-8.01641790350375
2001,18,-7.99009521640463,-7.87533930524384
2001,19,-7.91558154973609,-7.77525584668686
2001,20,-7.88196866228462,-7.75172534927667
2001,21,-7.86200403499409,-7.64172445406234
2001,22,-7.80739744429166,-7.68428406848113
2001,23,-7.75726528693832,-7.68428406848113
2001,24,-7.72589238445295,-7.70626297519991
2001,25,-7.7728414436175,-7.66277786326017
2001,26,-7.74857270575825,-7.64172445406234
2001,27,-7.74809874510424,-7.60090245954208
2001,28,-7.69115367653621,-7.5810998322459
2001,29,-7.63843039828804,-7.5616817463888
2001,30,-7.57770806874394,-7.43538802106451
2001,31,-7.51910901882198,-7.43538802106451
2001,32,-7.48021816497289,-7.3697907385787
2001,33,-7.42638815290123,-7.29341775979412
2001,34,-7.36471163696822,-7.33853819507459
2001,35,-7.28636825748364,-7.1821921246839
2001,36,-7.23411413180415,-7.05857816871672
2001,37,-7.11613814203348,-7.03558865049202
2001,38,-7.06092223578999,-6.93821448646685
2001,39,-6.99030238974192,-6.88795265168596
2001,40,-6.88848163953372,-6.77672701657573
2001,41,-6.79255042960731,-6.72543372218818
2001,42,-6.6945013309423,-6.64539101451465
2001,43,-6.63923676104728,-6.54311216539423
2001,44,-6.50261742040504,-6.45033043194326
2001,45,-6.42445041023238,-6.33114191467814
2001,46,-6.35777894928829,-6.23481080573971
2001,47,-6.29166635541418,-6.14694944994838
2001,48,-6.20124113168972,-6.08357983601579
2001,49,-6.08086066215481,-5.9716619198118
2001,50,-6.01254940735102,-5.8464987768578
2001,51,-5.9485876121026,-5.76672227443007
2001,52,-5.86891359500262,-5.66360068502337
2001,53,-5.77200266484021,-5.56489047578958
2001,54,-5.6583656806818,-5.47983924317143
2001,55,-5.55519413168221,-5.44914025628262
2001,56,-5.46095933810526,-5.33290881131766
2001,57,-5.39330252927984,-5.25525787708759
2001,58,-5.30172409357368,-5.21030648922532
2001,59,-5.2176002299246,-5.12941883008622
2001,60,-5.13364333796611,-5.04833716128027
2001,61,-5.04363904025746,-4.98789580712677
2001,62,-4.93053684631748,-4.90222942025247
2001,63,-4.82880708548169,-4.81342512480855
2001,64,-4.73383552567751,-4.70278301485509
2001,65,-4.64417150928071,-4.6356293934728
2001,66,-4.55789770299082,-4.50895132824755
2001,67,-4.45531064597053,-4.42201564289025
2001,68,-4.31068926719146,-4.30506559353775
2001,69,-4.18499600906517,-4.20438266743104
2001,70,-4.07289855925984,-4.12397936735179
2001,71,-3.97197568256235,-4.0319333021007
2001,72,-3.8922279050624,-3.93888045959803
2001,73,-3.80727078565548,-3.84951780007675
2001,74,-3.69313893295685,-3.75758665212373
2001,75,-3.60688843859584,-3.64735370728544
2001,76,-3.49378070807275,-3.55925568632043
2001,77,-3.37516116336548,-3.45586478300446
2001,78,-3.27243146648036,-3.37057118812039
2001,79,-3.14872904708028,-3.25969781938846
2001,80,-3.02314506362061,-3.1416833290383
2001,81,-2.90832215793029,-3.01511898735418
2001,82,-2.82046940555756,-2.89155245464433
2001,83,-2.7237884257186,-2.76939383134326
2001,84,-2.60292306806301,-2.64987563705114
2001,85,-2.52200357473782,-2.54058850721528
2001,86,-2.42738774039837,-2.4272416975936
2001,87,-2.34281905600637,-2.30589055000277
2001,88,-2.26437033574317,-2.20174477806797
2001,89,-2.19830432930192,-2.09183806201639
2001,90,-2.1093873873759,-1.98398591790754
2001,91,-2.05091378477122,-1.86387865110608
2001,92,-1.9717187913848,-1.78194776184406
2001,93,-1.85623790650189,-1.6655850730571
2001,94,-1.76479977946767,-1.57349178566063
2001,95,-1.67067233003822,-1.47132951031647
2001,96,-1.60105562542969,-1.37444484476274
2001,97,-1.53151730718201,-1.2801341652915
2001,98,-1.44000603897093,-1.18869018079478
2001,99,-1.32709995663264,-1.10027366799478
