"year","age","pred","actual"
2001,0,-5.28748891917834,-5.77958418807248
2001,1,-7.08241729121139,-7.64172445406234
2001,2,-7.71280157079131,-8.18072095479502
2001,3,-8.01032093729859,-8.46840302724681
2001,4,-8.2217710596919,-8.67971212091401
2001,5,-8.36056387345316,-8.94797610750869
2001,6,-8.46909255834632,-8.87386813535497
2001,7,-8.6060361533493,-9.02801881518223
2001,8,-8.79909564075003,-9.21034037197618
2001,9,-8.95769164669433,-9.21034037197618
2001,10,-9.05203822825524,-9.31570088763401
2001,11,-9.10191351729225,-9.43348392329039
2001,12,-9.08806477454295,-9.31570088763401
2001,13,-9.04324467728322,-9.11503019217186
2001,14,-8.94997685523115,-8.87386813535497
2001,15,-8.71530062099768,-8.56848648580379
2001,16,-8.33523109174016,-8.25482892694875
2001,17,-8.16608221269129,-8.01641790350375
2001,18,-8.08855926740367,-7.87533930524384
2001,19,-7.9980885854179,-7.77525584668686
2001,20,-7.93315685001614,-7.75172534927667
2001,21,-7.88647325544169,-7.64172445406234
2001,22,-7.87111200560686,-7.68428406848113
2001,23,-7.83915076831642,-7.68428406848113
2001,24,-7.81620891630901,-7.70626297519991
2001,25,-7.82878031105533,-7.66277786326017
2001,26,-7.78832056439273,-7.64172445406234
2001,27,-7.74578226787151,-7.60090245954208
2001,28,-7.7246755017655,-7.5810998322459
2001,29,-7.68062149276852,-7.5616817463888
2001,30,-7.64810747136456,-7.43538802106451
2001,31,-7.57665699215063,-7.43538802106451
2001,32,-7.48430416330705,-7.3697907385787
2001,33,-7.36272750042156,-7.29341775979412
2001,34,-7.2966052539519,-7.33853819507459
2001,35,-7.23211702799705,-7.1821921246839
2001,36,-7.16226181321618,-7.05857816871672
2001,37,-7.03384397340223,-7.03558865049202
2001,38,-6.98349807480099,-6.93821448646685
2001,39,-6.92160636062453,-6.88795265168596
2001,40,-6.85710902844746,-6.77672701657573
2001,41,-6.82239392385871,-6.72543372218818
2001,42,-6.72027915194754,-6.64539101451465
2001,43,-6.65707876436366,-6.54311216539423
2001,44,-6.55532736714388,-6.45033043194326
2001,45,-6.45198012269282,-6.33114191467814
2001,46,-6.39293457648307,-6.23481080573971
2001,47,-6.24461789272789,-6.14694944994838
2001,48,-6.10889850181502,-6.08357983601579
2001,49,-6.06357778088262,-5.9716619198118
2001,50,-5.97877466590585,-5.8464987768578
2001,51,-5.95225967799961,-5.76672227443007
2001,52,-5.86332240187937,-5.66360068502337
2001,53,-5.71907064693669,-5.56489047578958
2001,54,-5.65910285668902,-5.47983924317143
2001,55,-5.59976731372651,-5.44914025628262
2001,56,-5.52423162841977,-5.33290881131766
2001,57,-5.38925834671811,-5.25525787708759
2001,58,-5.25870211095313,-5.21030648922532
2001,59,-5.18494200238559,-5.12941883008622
2001,60,-5.10639781248865,-5.04833716128027
2001,61,-4.98798064446396,-4.98789580712677
2001,62,-4.87121294110696,-4.90222942025247
2001,63,-4.76617703880778,-4.81342512480855
2001,64,-4.67547753567011,-4.70278301485509
2001,65,-4.57535425813315,-4.6356293934728
2001,66,-4.5107763541019,-4.50895132824755
2001,67,-4.37808026539033,-4.42201564289025
2001,68,-4.24216560064821,-4.30506559353775
2001,69,-4.13378567500121,-4.20438266743104
2001,70,-4.03716924006533,-4.12397936735179
2001,71,-3.95217511297131,-4.0319333021007
2001,72,-3.8389927842758,-3.93888045959803
2001,73,-3.70492180170885,-3.84951780007675
2001,74,-3.56910796105914,-3.75758665212373
2001,75,-3.44401542220013,-3.64735370728544
2001,76,-3.31575654060122,-3.55925568632043
2001,77,-3.1854059961837,-3.45586478300446
2001,78,-3.07871341708882,-3.37057118812039
2001,79,-2.97069147524965,-3.25969781938846
2001,80,-2.85272233335809,-3.1416833290383
2001,81,-2.73866464173321,-3.01511898735418
2001,82,-2.65424573648426,-2.89155245464433
2001,83,-2.58424496784746,-2.76939383134326
2001,84,-2.45069209289983,-2.64987563705114
2001,85,-2.35025789251145,-2.54058850721528
2001,86,-2.25291252269946,-2.4272416975936
2001,87,-2.13930649969659,-2.30589055000277
2001,88,-2.04654163251008,-2.20174477806797
2001,89,-1.97112550279484,-2.09183806201639
2001,90,-1.88925867095985,-1.98398591790754
2001,91,-1.79877167062386,-1.86387865110608
2001,92,-1.70136568979679,-1.78194776184406
2001,93,-1.65308260550217,-1.6655850730571
2001,94,-1.6113192849166,-1.57349178566063
2001,95,-1.52406390072138,-1.47132951031647
2001,96,-1.42812861120741,-1.37444484476274
2001,97,-1.3594997495851,-1.2801341652915
2001,98,-1.31953261311962,-1.18869018079478
2001,99,-1.2925484726447,-1.10027366799478
2001,100,-1.43406936488295,-1.01517228143427
2002,0,-5.34380081390311,-5.80581520022135
2002,1,-7.14289367990583,-7.68428406848113
2002,2,-7.77162630932472,-8.18072095479502
2002,3,-8.06408290767785,-8.62255370707406
2002,4,-8.28542486429246,-8.80487526386802
