"year","age","pred","actual"
2001,0,-5.08730737107227,-5.51151058700908
2001,1,-7.90503397435486,-7.98656494035407
2001,2,-8.44373727931547,-8.33487163462228
2001,3,-8.72156973158456,-8.56848648580379
2001,4,-8.75775927416534,-8.74033674273045
2001,5,-8.90493072833178,-8.80487526386802
2001,6,-8.97192280776737,-9.11503019217186
2001,7,-9.02531864822459,-9.11503019217186
2001,8,-9.21527799835595,-8.94797610750869
2001,9,-9.25686274375212,-8.87386813535497
2001,10,-9.2566566021331,-8.67971212091401
2001,11,-9.30614364532241,-8.94797610750869
2001,12,-9.06482315448447,-8.87386813535497
2001,13,-8.86049187783924,-8.80487526386802
2001,14,-8.65919473866164,-8.62255370707406
2001,15,-8.4530497800841,-8.29404964010203
2001,16,-8.21766671434664,-8.01641790350375
2001,17,-7.9619893249921,-7.72873583105197
2001,18,-7.89705395601022,-7.70626297519991
2001,19,-7.78568192368754,-7.5810998322459
2001,20,-7.70330603258904,-7.48757377423508
2001,21,-7.72256084382978,-7.60090245954208
2001,22,-7.72445513047469,-7.50559227973776
2001,23,-7.68541740291768,-7.5810998322459
2001,24,-7.61451819599165,-7.60090245954208
2001,25,-7.60578920655109,-7.50559227973776
2001,26,-7.61106418538838,-7.50559227973776
2001,27,-7.59871936872756,-7.45248245442381
2001,28,-7.55853693281337,-7.33853819507459
2001,29,-7.56563728202528,-7.33853819507459
2001,30,-7.48514596250276,-7.20886037176606
2001,31,-7.44523190536798,-7.1821921246839
2001,32,-7.39958899351897,-7.04701734631564
2001,33,-7.3258476735348,-6.98032597181697
2001,34,-7.28553605756333,-6.93821448646685
2001,35,-7.18127333053173,-6.88795265168596
2001,36,-7.07675391316305,-6.78553764625789
2001,37,-7.01308742326321,-6.74224084050456
2001,38,-6.97698136955612,-6.61508566501932
2001,39,-6.90060483712258,-6.54311216539423
2001,40,-6.82991996890499,-6.52931884326189
2001,41,-6.78021934599701,-6.46950034805098
2001,42,-6.70583106314076,-6.45667965962192
2001,43,-6.63735485512698,-6.32553965912947
2001,44,-6.56646551506784,-6.27117844991059
2001,45,-6.44824056419525,-6.16581793425276
2001,46,-6.35904120334957,-6.09239046569794
2001,47,-6.26982958481925,-5.97559119795169
2001,48,-6.15685790567678,-5.91450350597185
2001,49,-6.06034643747593,-5.79261368836282
2001,50,-5.96230636389691,-5.74460446917646
2001,51,-5.88266966684501,-5.68692535758978
2001,52,-5.78902072852687,-5.57012608984353
2001,53,-5.65120943968603,-5.49921030892743
2001,54,-5.56361982971132,-5.41935569492509
2001,55,-5.44801332710175,-5.31648133717571
2001,56,-5.34027755779864,-5.28441446137905
2001,57,-5.21124903282291,-5.14473827861974
2001,58,-5.10176362134855,-5.11766386685478
2001,59,-4.9846593568072,-5.05615580939807
2001,60,-4.87887166754829,-4.91988093082779
2001,61,-4.76326356157285,-4.88886023717034
2001,62,-4.63013630214157,-4.78549374011937
2001,63,-4.53465159528908,-4.67130998849264
2001,64,-4.40282782487294,-4.57270299585059
2001,65,-4.30326840559083,-4.52728364733102
