"year","age","pred","actual"
2001,0,-5.26442692937033,-5.51151058700908
2001,1,-7.35166804980202,-7.98656494035407
2001,2,-7.7550641249405,-8.33487163462228
2001,3,-8.02749606146588,-8.56848648580379
2001,4,-8.22038283510449,-8.74033674273045
2001,5,-8.41368310636478,-8.80487526386802
2001,6,-8.56129598897607,-9.11503019217186
2001,7,-8.66907132062046,-9.11503019217186
2001,8,-8.78158183758429,-8.94797610750869
2001,9,-8.85595524424123,-8.87386813535497
2001,10,-8.87834483499186,-8.67971212091401
2001,11,-8.87946813983778,-8.94797610750869
2001,12,-8.83754883175507,-8.87386813535497
2001,13,-8.7464005370017,-8.80487526386802
2001,14,-8.63888417266368,-8.62255370707406
2001,15,-8.52348251190316,-8.29404964010203
2001,16,-8.38106810196127,-8.01641790350375
2001,17,-8.22641938426773,-7.72873583105197
2001,18,-8.09710119084981,-7.70626297519991
2001,19,-8.02359591668123,-7.5810998322459
2001,20,-7.98849051507472,-7.48757377423508
2001,21,-7.99052885797622,-7.60090245954208
2001,22,-7.90995511216568,-7.50559227973776
2001,23,-7.83605364534198,-7.5810998322459
2001,24,-7.73854957033201,-7.60090245954208
2001,25,-7.69495972578586,-7.50559227973776
2001,26,-7.66785771940862,-7.50559227973776
2001,27,-7.59876384552754,-7.45248245442381
2001,28,-7.56603104591317,-7.33853819507459
2001,29,-7.53882642412027,-7.33853819507459
2001,30,-7.48065593087605,-7.20886037176606
2001,31,-7.42063198463606,-7.1821921246839
2001,32,-7.32291873204802,-7.04701734631564
2001,33,-7.24379784443753,-6.98032597181697
2001,34,-7.1974370800728,-6.93821448646685
2001,35,-7.10986393068852,-6.88795265168596
2001,36,-7.03923173636033,-6.78553764625789
2001,37,-6.99702067261357,-6.74224084050456
2001,38,-6.94739427890419,-6.61508566501932
2001,39,-6.83678654927059,-6.54311216539423
2001,40,-6.7619752055217,-6.52931884326189
2001,41,-6.7037253219485,-6.46950034805098
2001,42,-6.63221710163844,-6.45667965962192
2001,43,-6.55981706835948,-6.32553965912947
2001,44,-6.42619221524106,-6.27117844991059
2001,45,-6.29066518198421,-6.16581793425276
2001,46,-6.21331911603028,-6.09239046569794
2001,47,-6.12851935318131,-5.97559119795169
2001,48,-6.0405919453262,-5.91450350597185
2001,49,-6.00504708864821,-5.79261368836282
2001,50,-6.02751773950529,-5.74460446917646
2001,51,-5.90392984288214,-5.68692535758978
2001,52,-5.69526933133471,-5.57012608984353
2001,53,-5.61894606100764,-5.49921030892743
2001,54,-5.58271771033165,-5.41935569492509
2001,55,-5.46626900422142,-5.31648133717571
2001,56,-5.35068399050945,-5.28441446137905
2001,57,-5.2469861416073,-5.14473827861974
2001,58,-5.09917413803227,-5.11766386685478
2001,59,-4.94772934381582,-5.05615580939807
2001,60,-4.84090593712938,-4.91988093082779
2001,61,-4.7570319520411,-4.88886023717034
2001,62,-4.64992020514454,-4.78549374011937
2001,63,-4.54405972876756,-4.67130998849264
2001,64,-4.4423631461171,-4.57270299585059
2001,65,-4.34933726249357,-4.52728364733102
2001,66,-4.27519018658329,-4.41372372141714
2001,67,-4.11695220631111,-4.31999124375443
2001,68,-3.99542747155463,-4.2370608644237
2001,69,-3.90123957460738,-4.11352738163887
2001,70,-3.78787868551559,-3.99867081215382
2001,71,-3.67185131359631,-3.90355892701602
2001,72,-3.47556320324382,-3.82309679623374
2001,73,-3.34923300071606,-3.69771840278114
2001,74,-3.25779279850071,-3.59757729570715
2001,75,-3.15974968896264,-3.47635205526292
2001,76,-3.05345696791692,-3.37992524638662
2001,77,-2.92057880892513,-3.25165731439258
2001,78,-2.81884442858458,-3.15543165231167
2001,79,-2.74970289014652,-3.03301885834001
2001,80,-2.66837774447283,-2.91231066541492
2001,81,-2.54280926406897,-2.79344470411916
2001,82,-2.39312828615755,-2.67292439912684
2001,83,-2.22974147114632,-2.58534596112676
2001,84,-2.12464506976151,-2.45178139935617
2001,85,-2.04806057413353,-2.33180795167095
2001,86,-1.9512723782659,-2.2182439445603
2001,87,-1.8792078184612,-2.08933027443021
2001,88,-1.80388324583608,-2.00026074380539
2001,89,-1.78368227795958,-1.88032842224604
2001,90,-1.71755392887174,-1.76282221933346
2001,91,-1.6305612548565,-1.66394689793449
2001,92,-1.54393441390594,-1.52698273249791
2001,93,-1.45404573855953,-1.46776475411795
2001,94,-1.31875156336129,-1.38557462019554
2001,95,-1.21601592372834,-1.27004138429564
2001,96,-1.12682855492088,-1.17674681807234
2001,97,-1.07919375034374,-1.08687148246509
2001,98,-1.07311029561329,-1.00067828138442
2001,99,-1.05282523167129,-0.918367887669355
2001,100,-1.73398787876764,-0.840117037651313
2002,0,-5.33264386648183,-5.4894778720092
2002,1,-7.39970678872984,-7.87533930524384
2002,2,-7.78442640282529,-8.46840302724681
2002,3,-8.06953544172874,-8.56848648580379
2002,4,-8.27071888424019,-8.74033674273045
2002,5,-8.45598889203367,-8.87386813535497
2002,6,-8.60696834962779,-8.74033674273045
2002,7,-8.67730787750424,-8.87386813535497
2002,8,-8.77530134911195,-8.94797610750869
2002,9,-8.85436713406581,-9.02801881518223
2002,10,-8.89242743460891,-9.02801881518223
2002,11,-8.91922523789004,-9.31570088763401
2002,12,-8.89744374973573,-8.94797610750869
2002,13,-8.80781829203836,-8.80487526386802
2002,14,-8.69373363031071,-8.42188301161191
2002,15,-8.5637666524453,-8.18072095479502
2002,16,-8.41772912898144,-8.01641790350375
2002,17,-8.25805013074948,-7.95757740348081
2002,18,-8.13092556953811,-7.75172534927667
2002,19,-8.05264867854158,-7.64172445406234
2002,20,-8.013923654766,-7.46987419713568
2002,21,-8.02171149690322,-7.52394141840595
2002,22,-7.93990393733758,-7.40205160079692
2002,23,-7.87101711586323,-7.54263355141811
2002,24,-7.77803236948473,-7.60090245954208
2002,25,-7.7334593296025,-7.6211051668596
2002,26,-7.70601395625749,-7.50559227973776
2002,27,-7.63223074003852,-7.43538802106451
2002,28,-7.595361446228,-7.41858090274813
2002,29,-7.56956687561265,-7.3232707229438
2002,30,-7.51338857869247,-7.25024558792891
2002,31,-7.45074687676762,-7.23625934595417
2002,32,-7.35237072252253,-7.14347761250321
2002,33,-7.28301681874941,-7.04701734631564
2002,34,-7.2346829846026,-7.00206595845338
2002,35,-7.1549726655439,-6.95904857336969
2002,36,-7.08099712131956,-6.84948637085816
2002,37,-7.03402992413598,-6.75933527386386
2002,38,-6.97713635526526,-6.75075153017247
