"Age","Year","log_mx"
0,1950,-3.13391447123443
1,1950,-5.82396119507542
2,1950,-6.33742274675767
3,1950,-6.55345262604751
4,1950,-6.73009827006379
5,1950,-6.83734349180906
6,1950,-6.93090401639364
7,1950,-7.04783545011022
8,1950,-7.18015029962992
9,1950,-7.28497905465075
10,1950,-7.39194860581304
11,1950,-7.39128845515711
12,1950,-7.38971312585825
13,1950,-7.3125521610041
14,1950,-7.25086803692412
15,1950,-7.13912364619838
16,1950,-6.94050192348502
17,1950,-6.75449986629693
18,1950,-6.65799579391206
19,1950,-6.58862599066508
20,1950,-6.52293066866064
21,1950,-6.48180562979856
22,1950,-6.52455536232668
23,1950,-6.56799778069399
24,1950,-6.58545108649004
25,1950,-6.59218470691129
26,1950,-6.60698030673716
27,1950,-6.59320530520273
28,1950,-6.59173322543064
29,1950,-6.57124774273788
30,1950,-6.52976772199987
31,1950,-6.52971333558196
32,1950,-6.47465966247571
33,1950,-6.4326851412085
34,1950,-6.32573169911737
35,1950,-6.292914746603
36,1950,-6.21871288484299
37,1950,-6.11982966498118
38,1950,-6.02718677207002
39,1950,-5.93044712496335
40,1950,-5.87992300533723
41,1950,-5.78906078187435
42,1950,-5.61941521990863
43,1950,-5.54303787756445
44,1950,-5.46772412995037
45,1950,-5.36368823198526
46,1950,-5.26058630485246
47,1950,-5.15179429926394
48,1950,-5.06073424446368
49,1950,-4.96143331989078
50,1950,-4.86506125159064
51,1950,-4.8180047241854
52,1950,-4.67143720604685
53,1950,-4.60144395227228
54,1950,-4.50163992224576
55,1950,-4.45943446849102
56,1950,-4.34979579082999
57,1950,-4.26133363335285
58,1950,-4.14934297812289
59,1950,-4.07409607327002
60,1950,-3.98700235335425
61,1950,-3.96242873378244
62,1950,-3.79730205245817
63,1950,-3.72326116228236
64,1950,-3.64775284904939
65,1950,-3.53627672740053
66,1950,-3.5486524066022
67,1950,-3.43733439682748
68,1950,-3.33450220403634
69,1950,-3.24795377598273
70,1950,-3.1671586656951
71,1950,-3.15506456650666
72,1950,-2.97681512529814
73,1950,-2.88920371013548
74,1950,-2.80649989907285
75,1950,-2.70848527701427
76,1950,-2.61361152453416
77,1950,-2.54259939414234
78,1950,-2.41704645383176
79,1950,-2.34224997624202
80,1950,-2.30847542379997
81,1950,-2.26639290798605
82,1950,-2.12061162514678
83,1950,-2.00890531876474
84,1950,-1.90718161631293
85,1950,-1.85034810564931
86,1950,-1.72617994566679
87,1950,-1.64873730384745
88,1950,-1.58622800283571
89,1950,-1.51279015795821
90,1950,-1.43490669139528
91,1950,-1.41304809163556
92,1950,-1.27558134984804
93,1950,-1.21070775993752
94,1950,-1.12854467262526
95,1950,-1.05791036975517
96,1950,-0.991004330999316
97,1950,-0.926640837429631
98,1950,-0.86489349093029
99,1950,-0.805795748979586
100,1950,-0.749381677066866
0,1951,-3.16773518121131
1,1951,-5.85610951638683
2,1951,-6.36712140319103
3,1951,-6.58252241395266
4,1951,-6.75854930589063
5,1951,-6.86578112419153
