"year","age","pred","actual"
1951,0,-3.390711377974,-3.54218507496313
1951,1,-5.91042990878465,-6.06618809330392
1951,2,-6.85947902324248,-6.63772814176908
1951,3,-7.12036061459917,-7.20886037176606
1951,4,-7.30907008835401,-7.3697907385787
1951,5,-7.45469053558954,-7.66277786326017
1951,6,-7.57625280862077,-7.52394141840595
1951,7,-7.62374470298785,-7.75172534927667
1951,8,-7.69174030672164,-8.0471895621705
1951,9,-7.75582875782324,-7.82404601085629
1951,10,-7.82837860362872,-8.0471895621705
1951,11,-7.9116349926743,-8.18072095479502
1951,12,-7.94017879540018,-7.82404601085629
1951,13,-7.88658185125796,-7.75172534927667
1951,14,-7.79962796995388,-7.50559227973776
1951,15,-7.67168081704009,-7.87533930524384
1951,16,-7.52041977010153,-7.3697907385787
1951,17,-7.41224265671774,-7.33853819507459
1951,18,-7.24325059519261,-7.3697907385787
1951,19,-7.13451085069802,-6.95904857336969
1951,20,-7.11767039755036,-7.19543735143392
1951,21,-7.12059305184208,-7.03558865049202
1951,22,-7.10747979991276,-6.88795265168596
1951,23,-7.12528522837015,-6.71713491937349
1951,24,-7.12078177447266,-7.02428909523809
1951,25,-7.1023402913323,-6.84009663050832
1951,26,-7.09490937312102,-6.83079423784601
1951,27,-7.05443572536597,-6.86853456582886
1951,28,-6.96682202221105,-6.84948637085816
1951,29,-6.87444512396693,-6.57128304236092
1951,30,-6.8270792804723,-6.81244509917781
1951,31,-6.79456706806846,-6.62257633674847
1951,32,-6.73990159167079,-6.50897915902477
1951,33,-6.70015326694946,-6.43152109998577
1951,34,-6.64815409896149,-6.51571319120611
1951,35,-6.5483288815439,-6.34813949104671
1951,36,-6.47384172861461,-6.30343931212881
1951,37,-6.37362718235193,-6.16106733149416
1951,38,-6.28660907310611,-6.07920346141599
1951,39,-6.21107248653841,-6.32553965912947
1951,40,-6.10839782619442,-6.19971948592844
1951,41,-6.04040696174707,-5.83617166270195
1951,42,-5.94216919308341,-5.8464987768578
1951,43,-5.81725398099216,-5.83617166270195
1951,44,-5.74008983857475,-5.70478297498978
1951,45,-5.6550809038413,-5.57803126935064
1951,46,-5.60582946096011,-5.47505454504809
1951,47,-5.48127065028347,-5.48224020470897
1951,48,-5.4042245656136,-5.26681869948867
1951,49,-5.33353595077406,-5.31038994778231
1951,50,-5.30259042622007,-5.21213967030698
1951,51,-5.19012770696035,-5.07197892433731
1951,52,-5.13274608890964,-4.94204250263064
1951,53,-5.06389286885132,-4.89552248699575
1951,54,-4.97255863352062,-4.84979276897942
1951,55,-4.82957241388124,-4.73870157861261
1951,56,-4.70948361683837,-4.64079736363124
1951,57,-4.63662734433286,-4.57270299585059
1951,58,-4.51823480510932,-4.53751153751428
1951,59,-4.4250500353645,-4.47326511510815
1951,60,-4.34335364965281,-4.21448036346208
1951,61,-4.24616496094947,-4.22399777044897
1951,62,-4.16492191981776,-4.10621473479259
1951,63,-4.06532192460998,-3.97496280520202
1951,64,-3.94997243170111,-3.87810478722469
1951,65,-3.86470976830353,-3.81853266234081
1951,66,-3.77733508080406,-3.70095203534821
1951,67,-3.66755304696853,-3.59940444768633
1951,68,-3.55361720539855,-3.53050911814249
1951,69,-3.44661713270923,-3.40099740165949
1951,70,-3.29672425410675,-3.24086584275982
1951,71,-3.21342316015018,-3.17605582768527
1951,72,-3.11948512680227,-3.02310347035012
1951,73,-2.99922778446404,-2.95324766194784
1951,74,-2.89462055628269,-2.85215154507647
1951,75,-2.78266983911473,-2.73598681979523
1951,76,-2.652401992024,-2.67292439912684
1951,77,-2.53716051240482,-2.48915566407742
1951,78,-2.40692916489333,-2.39021484295502
1951,79,-2.30624238764048,-2.3196295276033
1951,80,-2.21573871004967,-2.23045049523485
1951,81,-2.10901309156074,-2.12762389060638
1951,82,-1.983513673995,-2.01793260510263
1951,83,-1.88517305574181,-1.88203434746784
1951,84,-1.7696926312028,-1.86484642433559
1951,85,-1.67911934976323,-1.65700132936571
1951,86,-1.59280520139429,-1.70490310425217
1951,87,-1.47455731651091,-1.50548338471425
1951,88,-1.37137328897696,-1.44545006232865
1951,89,-1.28955934066706,-1.43091522889729
1951,90,-1.20166043149771,-1.33131387279443
1951,91,-1.12200080718966,-1.26954296853539
1951,92,-1.05393078958503,-1.13004103817177
1951,93,-0.98920684968541,-1.05411704878156
1951,94,-0.948620449354218,-0.981069281816335
1951,95,-0.888659280130087,-0.911054465078909
1951,96,-0.82322826698636,-0.844109614914148
1951,97,-0.771600319525106,-0.78031857035094
1951,98,-0.72518077713689,-0.719758131986237
1951,99,-0.708051439722635,-0.662424007917105
1951,100,-0.672496888360308,-0.60834657886748
1952,0,-3.37313484997859,-3.51291137129216
1952,1,-5.9352832928139,-6.01986402162968
1952,2,-6.89903947416065,-6.44402126275
1952,3,-7.17822928275215,-6.7338019718587
1952,4,-7.32588238872544,-7.08210866612691
1952,5,-7.47120900020106,-7.15621663828064
1952,6,-7.57394116860302,-7.79935339826592
1952,7,-7.66062710338362,-7.5810998322459
1952,8,-7.72803022557554,-7.70626297519991
1952,9,-7.77918396144931,-7.38579107992514
1952,10,-7.83123462496766,-7.72873583105197
1952,11,-7.89445359384471,-7.95757740348081
1952,12,-7.91827169135928,-8.25482892694875
1952,13,-7.88560485089305,-7.66277786326017
1952,14,-7.80473225219625,-7.46987419713568
1952,15,-7.68922070398504,-7.5616817463888
1952,16,-7.5328208558222,-7.38579107992514
1952,17,-7.41950833652383,-7.33853819507459
1952,18,-7.27090808061671,-7.01311579463996
1952,19,-7.1322618824384,-7.00206595845338
1952,20,-7.12007837948072,-7.04701734631564
1952,21,-7.11687066064581,-6.92795798629966
1952,22,-7.10054431397456,-6.99113688792119
1952,23,-7.11345738410308,-6.99113688792119
1952,24,-7.12675794395061,-6.61508566501932
1952,25,-7.10180736918132,-6.94857727350239
1952,26,-7.09551345530436,-6.86853456582886
