"year","age","pred","actual"
1951,0,-2.81263342002205,-3.34472253473418
1951,1,-5.39386136651046,-5.64362855183645
1951,2,-6.23597784511971,-6.21962064024574
1951,3,-6.6223789682379,-6.61508566501932
1951,4,-6.91685705393025,-6.89780494812897
1951,5,-7.10809531049992,-6.88795265168596
1951,6,-7.2059860891435,-7.00206595845338
1951,7,-7.2703868812471,-7.08210866612691
1951,8,-7.36999022712482,-7.15621663828064
1951,9,-7.49190915605718,-7.19543735143392
1951,10,-7.51112988945575,-7.33853819507459
1951,11,-7.54549430712994,-7.43538802106451
1951,12,-7.50422713231575,-7.03558865049202
1951,13,-7.34565943208844,-7.22246602382184
1951,14,-7.21826414086433,-7.22246602382184
1951,15,-7.07167645428768,-7.03558865049202
1951,16,-6.9067530747644,-7.02428909523809
1951,17,-6.73743478537543,-6.63012354238386
1951,18,-6.52438111924312,-6.46950034805098
1951,19,-6.44394364542365,-6.62257633674847
1951,20,-6.46957422147707,-6.23481080573971
1951,21,-6.3334115855236,-6.1516332992608
1951,22,-6.25758958370138,-6.10575369351011
1951,23,-6.23709070671007,-6.11024808309795
1951,24,-6.22801080589681,-6.03228654162824
1951,25,-6.19069616031862,-6.19971948592844
1951,26,-6.18470957360229,-5.94077143279246
1951,27,-6.18750750195849,-6.07050775444843
1951,28,-6.17914484686164,-5.94458096120913
1951,29,-6.17626525467826,-5.89252459925308
1951,30,-6.17549356641038,-6.05760434961253
1951,31,-6.11766357147916,-5.89252459925308
1951,32,-6.04326824369776,-5.98747252583844
1951,33,-6.01650037670397,-5.81248189157954
1951,34,-5.96763595322794,-5.73837391942582
1951,35,-5.91825830400718,-5.91080664409053
1951,36,-5.84983323017668,-5.76992227716075
1951,37,-5.81909971189601,-5.73527314174757
1951,38,-5.78090526072659,-5.68397984736002
1951,39,-5.7253032923148,-5.51151058700908
1951,40,-5.66279109836172,-5.55968213068244
1951,41,-5.58777617246583,-5.31648133717571
1951,42,-5.49404906244052,-5.41036687035666
