"year","age","pred","actual"
1951,0,-3.09620889619751,-3.34472253473418
1951,1,-5.44460901368001,-5.64362855183645
1951,2,-6.23294218428881,-6.21962064024574
1951,3,-6.53211922055731,-6.61508566501932
1951,4,-6.7168250689332,-6.89780494812897
1951,5,-6.83859951570976,-6.88795265168596
1951,6,-6.91388686375739,-7.00206595845338
1951,7,-6.92292139577776,-7.08210866612691
1951,8,-6.96012352674961,-7.15621663828064
1951,9,-7.04552253175881,-7.19543735143392
1951,10,-7.03390616643265,-7.33853819507459
1951,11,-7.22586655458874,-7.43538802106451
1951,12,-7.2821601527985,-7.03558865049202
1951,13,-7.01833894702591,-7.22246602382184
1951,14,-6.78816756554054,-7.22246602382184
1951,15,-6.7336416750978,-7.03558865049202
1951,16,-6.65986880715477,-7.02428909523809
1951,17,-6.53975709173831,-6.63012354238386
1951,18,-6.06793574497549,-6.46950034805098
1951,19,-5.95746650340404,-6.62257633674847
1951,20,-5.92311374201971,-6.23481080573971
1951,21,-5.86949885693807,-6.1516332992608
1951,22,-5.81605707125082,-6.10575369351011
1951,23,-5.85621703812423,-6.11024808309795
1951,24,-5.92082841122496,-6.03228654162824
1951,25,-5.84683023487665,-6.19971948592844
1951,26,-5.81642434907875,-5.94077143279246
1951,27,-5.72899212416694,-6.07050775444843
1951,28,-5.74621935280621,-5.94458096120913
1951,29,-5.69332583153142,-5.89252459925308
1951,30,-5.73973419795517,-6.05760434961253
1951,31,-5.67664658811204,-5.89252459925308
1951,32,-5.63186396003266,-5.98747252583844
1951,33,-5.69026797489107,-5.81248189157954
1951,34,-5.62641160830207,-5.73837391942582
1951,35,-5.60600542324453,-5.91080664409053
1951,36,-5.57663548148351,-5.76992227716075
1951,37,-5.54680424379609,-5.73527314174757
1951,38,-5.54616119350557,-5.68397984736002
1951,39,-5.45222824875685,-5.51151058700908
1951,40,-5.41165500707934,-5.55968213068244
1951,41,-5.36045908133704,-5.31648133717571
1951,42,-5.29820447743032,-5.41036687035666
1951,43,-5.29538145664176,-5.27851473925186
1951,44,-5.17827943714704,-5.32261005911708
1951,45,-5.15142962713349,-5.20847666254825
1951,46,-5.0451229723091,-5.04367514817446
1951,47,-4.9878210003289,-4.91033757278089
1951,48,-4.80396323428829,-4.93228632768528
1951,49,-4.75410078897889,-4.73300355749798
1951,50,-4.61567592105358,-4.79754207863555
1951,51,-4.56657713286323,-4.50895132824755
