"year","age","pred","actual"
1951,0,-2.77890637148534,-2.96462127852894
1951,1,-5.37089334692486,-5.19036022504294
1951,2,-6.46496656999854,-6.30891877789343
1951,3,-6.88619632872582,-6.64539101451465
1951,4,-7.21688822674637,-6.98032597181697
1951,5,-7.39458973234984,-7.11847631029779
1951,6,-7.57006756822819,-7.38579107992514
1951,7,-7.72010660086998,-7.43538802106451
1951,8,-7.77730209463683,-7.5616817463888
1951,9,-7.79842304543855,-7.68428406848113
1951,10,-7.81197817783548,-7.50559227973776
1951,11,-7.82535175864621,-7.60090245954208
1951,12,-7.74042742982229,-7.5810998322459
1951,13,-7.67614629866614,-7.38579107992514
1951,14,-7.5561690254758,-7.25024558792891
1951,15,-7.36423851546602,-7.10620621770598
1951,16,-7.26186284390429,-7.14347761250321
1951,17,-7.11477341756778,-6.92795798629966
1951,18,-6.98424403167965,-6.79442659367513
1951,19,-6.85913219368121,-6.66873837851164
1951,20,-6.82117806575797,-6.71713491937349
1951,21,-6.75488206268905,-6.58567177981302
1951,22,-6.69123568767305,-6.46306945772069
1951,23,-6.67655239965433,-6.40093767661368
1951,24,-6.61816913228567,-6.31996861408002
1951,25,-6.50989424811337,-6.2925696398919
1951,26,-6.48053846266054,-6.29798970736124
1951,27,-6.45770464143305,-6.22972173623224
1951,28,-6.42875633543185,-6.20962055691115
1951,29,-6.36743452210714,-6.19971948592844
1951,30,-6.36129440969498,-6.15633919029822
1951,31,-6.30728132909655,-6.08357983601579
1951,32,-6.25276311425569,-6.00759392903787
1951,33,-6.17845132540342,-5.99146454710798
1951,34,-6.12795260333271,-5.95996588004861
1951,35,-6.08400066383195,-5.82934569763155
1951,36,-6.0074188057407,-5.86395122680902
1951,37,-5.88878880448104,-5.77635316749104
1951,38,-5.82986695205765,-5.75718325138332
1951,39,-5.7648995397198,-5.65213924150436
1951,40,-5.66316739164822,-5.58333632158033
1951,41,-5.57691865344477,-5.47983924317143
1951,42,-5.4996946881276,-5.40145812546755
1951,43,-5.41222806384714,-5.34961066093559
1951,44,-5.31712288587745,-5.27460083993072
1951,45,-5.22041581190066,-5.16728910414163
1951,46,-5.12953035948693,-5.06561960242901
1951,47,-5.05024690993371,-4.99083266680008
1951,48,-4.96595782619831,-4.90088443013714
1951,49,-4.86013745439065,-4.84724174718782
1951,50,-4.78162083604727,-4.72508048266065
1951,51,-4.6816615810284,-4.67666618769316
1951,52,-4.59044350884382,-4.57755501895512
1951,53,-4.48676662765948,-4.53657739452248
1951,54,-4.42470404070076,-4.46540824361293
1951,55,-4.34233182002127,-4.41454982637944
1951,56,-4.26087615834333,-4.34126864220171
1951,57,-4.19998421493334,-4.24819528704036
1951,58,-4.12490609224974,-4.16949923582286
1951,59,-4.03200637489362,-4.12336151129259
1951,60,-3.94285712754489,-4.04213169077517
1951,61,-3.84851416949614,-3.9352916323675
1951,62,-3.74807493578524,-3.88294975794244
1951,63,-3.64803589788135,-3.77880416164192
1951,64,-3.55092616649543,-3.66711796233242
1951,65,-3.45693410477022,-3.59138983283668
1951,66,-3.38248271272945,-3.5182931535384
1951,67,-3.2923165876628,-3.41702193200913
1951,68,-3.18213676065853,-3.32590439762672
1951,69,-3.09051768337309,-3.23602198370317
1951,70,-3.00489129213747,-3.12379294362151
1951,71,-2.90721707829373,-3.01450742888033
1951,72,-2.81195375081823,-2.89480155497555
1951,73,-2.67966118340355,-2.79737333906241
1951,74,-2.58170870735897,-2.70845028112355
1951,75,-2.47457519727462,-2.58322535065678
1951,76,-2.36456329874347,-2.47622444940517
1951,77,-2.26997276421889,-2.36765708973776
1951,78,-2.1719082009766,-2.26847356336528
1951,79,-2.06393167646898,-2.17024190600633
1951,80,-1.9556991453413,-2.07816236018146
1951,81,-1.85272162892251,-1.98209706881709
1951,82,-1.76981999518521,-1.86110954736285
1951,83,-1.68227975888531,-1.77561056748868
1951,84,-1.59815474261696,-1.68610299736959
1951,85,-1.49126752762651,-1.58684506378147
1951,86,-1.42100112894746,-1.49454794656014
1951,87,-1.33977014747361,-1.40380681287119
1951,88,-1.26115669206344,-1.32655483676903
1951,89,-1.19293996493255,-1.22101723893519
1951,90,-1.14672362124973,-1.18780422316435
1951,91,-1.06308283246611,-1.08069378816576
1951,92,-0.967419713830517,-1.01401382040277
1951,93,-0.902302851895717,-0.976571662759085
1951,94,-0.837983144399558,-0.937667597633741
1951,95,-0.795772265726887,-0.805979988834289
1951,96,-0.716792200204321,-0.743514587923732
1951,97,-0.62817344497187,-0.684306375894463
1951,98,-0.598100625171188,-0.628371187621035
1951,99,-0.593428302031665,-0.575719763683981
1951,100,-0.561643555981363,-0.52632850821947
1952,0,-2.82231419575674,-3.0652967369399
1952,1,-5.273527440316,-5.18856650258892
1952,2,-6.40082261414935,-6.30343931212881
1952,3,-6.86944974604586,-6.78553764625789
1952,4,-7.20979935218168,-7.02428909523809
1952,5,-7.45107385682576,-7.20886037176606
1952,6,-7.68297889684616,-7.5616817463888
1952,7,-7.79103203450456,-7.6211051668596
1952,8,-7.91356937389549,-7.5810998322459
1952,9,-7.95817063682563,-7.68428406848113
1952,10,-7.8882398253282,-7.84936381884058
1952,11,-7.91984355932154,-7.66277786326017
1952,12,-7.82845567031153,-7.82404601085629
1952,13,-7.75109446224626,-7.60090245954208
1952,14,-7.55553642745258,-7.33853819507459
1952,15,-7.45802326308426,-7.25024558792891
1952,16,-7.34262281635957,-7.11847631029779
1952,17,-7.15545688898779,-6.94857727350239
1952,18,-7.00917931926147,-6.93821448646685
1952,19,-6.93560439245628,-6.84009663050832
1952,20,-6.90820669346467,-6.75075153017247
1952,21,-6.82067063851631,-6.71713491937349
1952,22,-6.72396892611126,-6.53619172254965
1952,23,-6.65853414657715,-6.55008083471032
1952,24,-6.609463288616,-6.46950034805098
1952,25,-6.51167536898685,-6.4956456281553
1952,26,-6.51912033284393,-6.4956456281553
1952,27,-6.4475583895992,-6.44402126275
1952,28,-6.45395315980835,-6.3538701657557
1952,29,-6.39008004763306,-6.3367757323964
1952,30,-6.37584025264213,-6.33114191467814
1952,31,-6.28843368470919,-6.26590139280974
1952,32,-6.25672042628198,-6.14228743684257
1952,33,-6.18736758547314,-6.18020667170486
1952,34,-6.14728339614633,-6.0116672544255
1952,35,-6.02728386737521,-5.9522438339547
1952,36,-6.00096293384615,-6.04065479129875
1952,37,-5.88525353919562,-5.87101839403211
1952,38,-5.84805448243101,-5.83275285595316
1952,39,-5.72836680155535,-5.77958418807248
1952,40,-5.65564986110959,-5.6578535427678
1952,41,-5.56163797168514,-5.61577159733349
1952,42,-5.48751070182983,-5.4894778720092
1952,43,-5.39407344475686,-5.42842605189506
1952,44,-5.31047001837248,-5.32877657403275
1952,45,-5.20218333199825,-5.23628197562858
1952,46,-5.11959374847986,-5.14989736142976
1952,47,-5.04493204120078,-5.060876510533
1952,48,-4.98092596036051,-4.99969535405792
1952,49,-4.85543756046441,-4.90222942025247
1952,50,-4.79693305497647,-4.78429685188553
1952,51,-4.6741939906642,-4.72282822945632
1952,52,-4.59307040922788,-4.66279929882473
1952,53,-4.49921677047097,-4.56402824265692
1952,54,-4.43807566571803,-4.48916651023178
1952,55,-4.34684238555326,-4.46453905624835
1952,56,-4.26856107782585,-4.38764237345952
1952,57,-4.20607044186357,-4.30654817349798
1952,58,-4.14184872636397,-4.23913914712533
1952,59,-4.05401646986785,-4.16627030179369
1952,60,-3.96099104220094,-4.09714848955483
1952,61,-3.86828798324948,-4.02575177075649
1952,62,-3.78920028164535,-3.93222571274567
1952,63,-3.67406899256572,-3.84764074649888
1952,64,-3.58463379472463,-3.74185837890482
1952,65,-3.49677240365004,-3.67182569954811
1952,66,-3.42965982309017,-3.56772433255747
1952,67,-3.32059317977153,-3.49265499215099
1952,68,-3.23545398343141,-3.38729447649316
1952,69,-3.14497830346854,-3.28341434600577
1952,70,-3.04947272736837,-3.18761943521765
1952,71,-2.94672113881502,-3.10242701222495
1952,72,-2.85418445719014,-2.97946530109012
1952,73,-2.70799091914152,-2.88115436884656
1952,74,-2.63265375498594,-2.78110488200812
1952,75,-2.49970377120341,-2.69918957267001
1952,76,-2.4226824665536,-2.5797889211582
1952,77,-2.31559130951387,-2.47717660372609
1952,78,-2.22664074380442,-2.37182799573621
1952,79,-2.10471145385671,-2.25981300115018
1952,80,-2.01906955115571,-2.1840023771671
1952,81,-1.89567112311227,-2.08072236157956
1952,82,-1.80983148294815,-1.97934284514371
1952,83,-1.70752972689105,-1.89405801085006
1952,84,-1.64678979584186,-1.78958184198028
1952,85,-1.51884286661739,-1.68028965340605
1952,86,-1.44953170444164,-1.6057945575193
1952,87,-1.35999413092898,-1.53683822001976
1952,88,-1.2973628801609,-1.4074771403878
1952,89,-1.21560477862847,-1.34842070869181
1952,90,-1.16786992992531,-1.27618513843986
1952,91,-1.0676691006933,-1.22431157532147
1952,92,-1.0011864205105,-1.15989212509076
1952,93,-0.943805598452842,-1.07300302316169
1952,94,-0.870683201790068,-0.963513375246495
1952,95,-0.808185754271247,-0.904683358832439
1952,96,-0.729827496187283,-0.83979276090143
1952,97,-0.60351588006165,-0.777899293428012
1952,98,-0.590266930503254,-0.719080562586449
1952,99,-0.552793658007045,-0.663316570601271
1952,100,-0.530053579983414,-0.610609127313976
1953,0,-2.93987316405192,-3.15379057821227
1953,1,-5.23331865345744,-5.47029263128785
1953,2,-6.40215187929196,-6.3367757323964
1953,3,-6.99638020219933,-6.87819647674059
1953,4,-7.29562064835196,-7.07027420847991
1953,5,-7.55595051613729,-7.23625934595417
1953,6,-7.84088453543897,-7.52394141840595
1953,7,-7.89935223913226,-7.68428406848113
1953,8,-7.94056417943394,-7.79935339826592
1953,9,-8.05241182617321,-7.75172534927667
1953,10,-8.12184114525052,-7.79935339826592
1953,11,-8.04677212712269,-7.84936381884058
1953,12,-8.0508137405913,-7.6211051668596
1953,13,-7.89913885532144,-7.70626297519991
1953,14,-7.65588508769385,-7.48757377423508
1953,15,-7.5203952700569,-7.38579107992514
1953,16,-7.35562385223637,-7.19543735143392
1953,17,-7.184777335276,-7.02428909523809
1953,18,-7.09794104974011,-6.93821448646685
1953,19,-6.9878567194097,-6.84948637085816
1953,20,-6.9288248030232,-6.78553764625789
1953,21,-6.87123167621319,-6.80339526365789
1953,22,-6.77383032927797,-6.6076506865318
1953,23,-6.75892300174613,-6.60027057923418
1953,24,-6.71804435562683,-6.52249287819149
1953,25,-6.65569190658882,-6.53619172254965
1953,26,-6.64522976039028,-6.4759728625566
1953,27,-6.57864632312361,-6.41917526416347
1953,28,-6.5487686780222,-6.41917526416347
1953,29,-6.50336486536112,-6.34813949104671
1953,30,-6.50347749208806,-6.27648350214028
1953,31,-6.40808076601023,-6.28181684811564
1953,32,-6.34752872601569,-6.21460809842219
1953,33,-6.26938506568332,-6.10127941311519
1953,34,-6.20099757755085,-6.12385373515373
1953,35,-6.12966965511002,-6.07050775444843
1953,36,-6.09644342183709,-5.94458096120913
1953,37,-5.95316145328298,-5.85693365415038
1953,38,-5.91321207882275,-5.83275285595316
1953,39,-5.82238503044826,-5.76672227443007
1953,40,-5.72589434141363,-5.65213924150436
1953,41,-5.64199815298033,-5.6021288209297
1953,42,-5.56773384270037,-5.52396404808036
1953,43,-5.46756315966414,-5.39043265545584
1953,44,-5.36984750323136,-5.32056297549536
1953,45,-5.26855490288006,-5.25717542321686
1953,46,-5.18653553431758,-5.1243640594246
1953,47,-5.10145096531208,-5.01464331549379
1953,48,-5.00464734932354,-4.93924529800958
1953,49,-4.89141442756338,-4.8862077157212
1953,50,-4.83196922757095,-4.75832136548227
1953,51,-4.7289414126966,-4.68963934261454
1953,52,-4.63725997763427,-4.60617068632167
1953,53,-4.51966492832177,-4.53751153751428
1953,54,-4.46632393254215,-4.46193601790218
1953,55,-4.37920567554196,-4.40796001670039
1953,56,-4.2959293387538,-4.29621597826077
1953,57,-4.22929683804769,-4.28236231156094
1953,58,-4.17004007285423,-4.18909489876791
