"year","age","pred","actual"
1951,0,-2.89922395273807,-2.96462127852894
1951,1,-5.29661234495933,-5.19036022504294
1951,2,-6.28989567404259,-6.30891877789343
1951,3,-6.73234376859778,-6.64539101451465
1951,4,-6.98077094713809,-6.98032597181697
1951,5,-7.18472581023445,-7.11847631029779
1951,6,-7.35712374349825,-7.38579107992514
1951,7,-7.51526299824804,-7.43538802106451
1951,8,-7.59761512146368,-7.5616817463888
1951,9,-7.66913997207378,-7.68428406848113
1951,10,-7.70515139011889,-7.50559227973776
1951,11,-7.68905858198446,-7.60090245954208
1951,12,-7.64056758306421,-7.5810998322459
1951,13,-7.54517773598407,-7.38579107992514
1951,14,-7.35891120384019,-7.25024558792891
1951,15,-7.15972699308569,-7.10620621770598
1951,16,-6.99863840179523,-7.14347761250321
1951,17,-6.85835540647103,-6.92795798629966
1951,18,-6.73105955414595,-6.79442659367513
1951,19,-6.68773184996533,-6.66873837851164
1951,20,-6.68735836085524,-6.71713491937349
1951,21,-6.66940997681347,-6.58567177981302
1951,22,-6.61972567411679,-6.46306945772069
1951,23,-6.59980261308996,-6.40093767661368
1951,24,-6.56242348844454,-6.31996861408002
1951,25,-6.51322651552566,-6.2925696398919
1951,26,-6.47200364975706,-6.29798970736124
1951,27,-6.45048951702833,-6.22972173623224
1951,28,-6.41044700633461,-6.20962055691115
1951,29,-6.35472051578118,-6.19971948592844
1951,30,-6.30825706771061,-6.15633919029822
1951,31,-6.26167546273849,-6.08357983601579
1951,32,-6.19173197230413,-6.00759392903787
1951,33,-6.1286703120921,-5.99146454710798
1951,34,-6.06719001205582,-5.95996588004861
1951,35,-6.00960888977119,-5.82934569763155
1951,36,-5.94333426554805,-5.86395122680902
1951,37,-5.88613108348967,-5.77635316749104
1951,38,-5.83074908235016,-5.75718325138332
1951,39,-5.76798895153705,-5.65213924150436
1951,40,-5.66348133021944,-5.58333632158033
1951,41,-5.56917438574686,-5.47983924317143
1951,42,-5.45984566610431,-5.40145812546755
1951,43,-5.36362109986283,-5.34961066093559
1951,44,-5.28513456870422,-5.27460083993072
1951,45,-5.21620299906297,-5.16728910414163
1951,46,-5.10866479147459,-5.06561960242901
1951,47,-4.99008327197441,-4.99083266680008
1951,48,-4.899545196299,-4.90088443013714
1951,49,-4.83784243424033,-4.84724174718782
1951,50,-4.77277135958016,-4.72508048266065
1951,51,-4.70173120854286,-4.67666618769316
1951,52,-4.65793006746214,-4.57755501895512
1951,53,-4.61083607832355,-4.53657739452248
1951,54,-4.53646910574713,-4.46540824361293
1951,55,-4.46544217317598,-4.41454982637944
1951,56,-4.39708118941698,-4.34126864220171
1951,57,-4.31693189660992,-4.24819528704036
1951,58,-4.21820357753133,-4.16949923582286
1951,59,-4.12970689078736,-4.12336151129259
1951,60,-4.06335653014844,-4.04213169077517
1951,61,-3.9715269690218,-3.9352916323675
1951,62,-3.88092025089697,-3.88294975794244
1951,63,-3.78983220525704,-3.77880416164192
1951,64,-3.70866212314513,-3.66711796233242
1951,65,-3.61756315203827,-3.59138983283668
1951,66,-3.53377210436384,-3.5182931535384
1951,67,-3.45954394254235,-3.41702193200913
1951,68,-3.3651686801809,-3.32590439762672
1951,69,-3.25507962896972,-3.23602198370317
1951,70,-3.14132892775079,-3.12379294362151
1951,71,-3.04618146417762,-3.01450742888033
1951,72,-2.9428173750649,-2.89480155497555
1951,73,-2.82435402089643,-2.79737333906241
1951,74,-2.70396157996292,-2.70845028112355
1951,75,-2.57758157850727,-2.58322535065678
1951,76,-2.48262551292876,-2.47622444940517
1951,77,-2.38048615517016,-2.36765708973776
1951,78,-2.28478742760533,-2.26847356336528
1951,79,-2.19524149138959,-2.17024190600633
1951,80,-2.10147077153136,-2.07816236018146
1951,81,-2.00027289228066,-1.98209706881709
1951,82,-1.89361497721334,-1.86110954736285
1951,83,-1.7789401973042,-1.77561056748868
1951,84,-1.66723633510497,-1.68610299736959
1951,85,-1.55267836327431,-1.58684506378147
1951,86,-1.44301580992016,-1.49454794656014
1951,87,-1.35041910566834,-1.40380681287119
1951,88,-1.26981991292387,-1.32655483676903
1951,89,-1.19164590407225,-1.22101723893519
1951,90,-1.09463719953482,-1.18780422316435
1951,91,-1.0260077325423,-1.08069378816576
1951,92,-0.975886276286288,-1.01401382040277
1951,93,-0.930325460619009,-0.976571662759085
1951,94,-0.843046356466863,-0.937667597633741
1951,95,-0.773262836449463,-0.805979988834289
1951,96,-0.732152597407811,-0.743514587923732
1951,97,-0.68540778484334,-0.684306375894463
1951,98,-0.683498930424445,-0.628371187621035
1951,99,-0.664226946296988,-0.575719763683981
1951,100,-0.680207262586774,-0.52632850821947
1952,0,-2.93051422024826,-3.0652967369399
1952,1,-5.26302516663092,-5.18856650258892
1952,2,-6.28773742223672,-6.30343931212881
1952,3,-6.73727331229813,-6.78553764625789
1952,4,-7.0218420703105,-7.02428909523809
1952,5,-7.22240976889532,-7.20886037176606
