"Age","Year","log_mx"
0,1950,-2.48097640564722
1,1950,-4.73947045911445
2,1950,-5.70424651039183
3,1950,-6.18115110608691
4,1950,-6.43697140689443
5,1950,-6.683676351419
6,1950,-6.84049780478512
7,1950,-6.96547329328235
8,1950,-7.08637722512921
9,1950,-7.18260014102681
10,1950,-7.2048588099307
11,1950,-7.2669458609776
12,1950,-7.22391564027557
13,1950,-7.17658638370353
14,1950,-7.10984495024733
15,1950,-7.00770106441306
16,1950,-6.90406460541413
17,1950,-6.83512160411129
18,1950,-6.76943867319465
19,1950,-6.70757905630804
20,1950,-6.72353459817392
21,1950,-6.69700101022498
22,1950,-6.67528307931403
23,1950,-6.61757209134403
24,1950,-6.59570201266607
25,1950,-6.5857264495811
26,1950,-6.56772838277846
27,1950,-6.5588817099299
28,1950,-6.5274144349284
29,1950,-6.50745417174681
30,1950,-6.45464850014448
31,1950,-6.41329253516974
32,1950,-6.36968567643637
33,1950,-6.3132418191437
34,1950,-6.2439884699092
35,1950,-6.18409035328792
36,1950,-6.10347983787051
37,1950,-6.0352830335919
38,1950,-5.96309644227727
39,1950,-5.87911793221119
40,1950,-5.78338937205547
41,1950,-5.71617479264592
42,1950,-5.62377796926699
43,1950,-5.54180650710933
44,1950,-5.46275689345501
45,1950,-5.35408049587429
46,1950,-5.27218496717947
47,1950,-5.18610867998353
48,1950,-5.08575149135306
49,1950,-4.99561626653058
50,1950,-4.89867122649065
51,1950,-4.81240359095509
52,1950,-4.73293285626819
53,1950,-4.65256680555856
54,1950,-4.56154440999596
55,1950,-4.48668260639949
56,1950,-4.39470932795908
57,1950,-4.30581210261243
58,1950,-4.22183199504104
59,1950,-4.13199099121408
60,1950,-4.04045622303915
61,1950,-3.96822218746813
62,1950,-3.86474235995981
63,1950,-3.7789205512669
64,1950,-3.69510586799907
65,1950,-3.5910932826977
66,1950,-3.50303204025569
67,1950,-3.40463586396885
68,1950,-3.30703790219622
69,1950,-3.20234547437749
70,1950,-3.08797026398549
71,1950,-2.99378661535184
72,1950,-2.87901963040068
73,1950,-2.76785469195804
74,1950,-2.65962980094016
75,1950,-2.55079408306721
76,1950,-2.44138972999912
77,1950,-2.34031594675448
78,1950,-2.23180021081493
79,1950,-2.13000680561492
80,1950,-2.01849247481721
81,1950,-1.92222620783724
82,1950,-1.82112004065691
83,1950,-1.7290366591497
84,1950,-1.63217553262566
85,1950,-1.5406550705411
86,1950,-1.45710933232265
87,1950,-1.37776491377116
88,1950,-1.30093965322212
89,1950,-1.21614177066896
90,1950,-1.1409107690616
91,1950,-1.07516405140524
92,1950,-1.00116264122319
93,1950,-0.947992331870928
94,1950,-0.874781272964786
95,1950,-0.80579268729341
96,1950,-0.748168567241817
97,1950,-0.693640663563806
98,1950,-0.642182151682205
99,1950,-0.59371373733383
100,1950,-0.548171893200739
0,1951,-2.46710946695435
1,1951,-4.72155416469665
2,1951,-5.68981511918835
3,1951,-6.16850934495816
4,1951,-6.42472741045215
5,1951,-6.67247510744553
6,1951,-6.83016279960328
7,1951,-6.95538965114164
8,1951,-7.07673401037801
9,1951,-7.17344731625295
10,1951,-7.19556937568896
11,1951,-7.25874011986843
12,1951,-7.21579775686993
13,1951,-7.16891671530131
14,1951,-7.10364728587187
15,1951,-7.00212040798589
16,1951,-6.89944527609123
17,1951,-6.83097122230029
18,1951,-6.76570494126528
19,1951,-6.70353481487482
20,1951,-6.71978049059574
21,1951,-6.69330740555088
22,1951,-6.67148734096672
23,1951,-6.61347549508191
24,1951,-6.59142504949841
25,1951,-6.58150657038187
26,1951,-6.56343123783668
27,1951,-6.5546857714399
28,1951,-6.52326175198639
29,1951,-6.50336092282072
30,1951,-6.4505554970979
31,1951,-6.40913148100793
32,1951,-6.36552017714611
33,1951,-6.30907002463028
34,1951,-6.23961043211525
35,1951,-6.17966835161909
36,1951,-6.09887784350418
37,1951,-6.03065167308831
38,1951,-5.95853469815642
39,1951,-5.87436843540767
40,1951,-5.77864599532389
41,1951,-5.71152455530749
42,1951,-5.6190259667996
43,1951,-5.53715288648002
44,1951,-5.45823896561457
45,1951,-5.3494546538049
46,1951,-5.26771492825206
47,1951,-5.18172732731377
48,1951,-5.08139050307771
49,1951,-4.99131546229549
50,1951,-4.89441717525102
51,1951,-4.8081972205382
52,1951,-4.7288672359438
53,1951,-4.64859336559707
54,1951,-4.55762800452706
55,1951,-4.4829386258637
56,1951,-4.39098286713847
57,1951,-4.3021020004001
58,1951,-4.21818087143822
