"year","age","pred","actual"
1951,0,-2.5838370209993,-2.88401202394358
1951,1,-4.246574154662,-4.34820508619837
1951,2,-4.7504670865833,-4.67344902674139
1951,3,-5.02857378359958,-4.9661400542097
1951,4,-5.44476587973755,-5.35806737095381
1951,5,-5.78231056621152,-5.80914299031403
1951,6,-6.09595850399984,-6.11929791861787
1951,7,-6.30868854602276,-6.38302675004716
1951,8,-6.5135663017823,-6.57845153183954
1951,9,-6.64762448643834,-6.77672701657573
1951,10,-6.7627833904373,-6.84009663050832
1951,11,-6.7843522179195,-6.98032597181697
1951,12,-6.81678558026208,-6.92795798629966
1951,13,-6.76454536077092,-6.88795265168596
1951,14,-6.66264004511094,-6.78553764625789
1951,15,-6.48525341447164,-6.67664355801875
1951,16,-6.25646984953592,-6.43152109998577
1951,17,-6.07894338879763,-6.2925696398919
1951,18,-5.98140391041871,-6.08357983601579
1951,19,-5.83736030148486,-5.87813586180098
1951,20,-5.73946006978206,-5.82595010863041
1951,21,-5.76059413257717,-5.75087408219005
1951,22,-5.66383260666055,-5.65213924150436
1951,23,-5.57408410869725,-5.5622829123825
1951,24,-5.5621250943531,-5.51151058700908
1951,25,-5.56606435957452,-5.52146091786225
1951,26,-5.52226921154292,-5.47744403244547
1951,27,-5.44251214346993,-5.46083629604581
1951,28,-5.38438857603564,-5.47744403244547
1951,29,-5.4346489568463,-5.46319200973827
1951,30,-5.40514556968101,-5.43299226987464
1951,31,-5.39331052089879,-5.4919021156207
1951,32,-5.36808996858987,-5.47505454504809
1951,33,-5.33980221459392,-5.4561414517416
1951,34,-5.31399884015696,-5.46555328592395
1951,35,-5.2962210468826,-5.42842605189506
1951,36,-5.27549335229472,-5.39262804601928
1951,37,-5.24737910148513,-5.35806737095381
1951,38,-5.20973689438293,-5.32466134188764
1951,39,-5.18941980317408,-5.26102158180434
1951,40,-5.16590685825564,-5.24762425223252
1951,41,-5.11477375433466,-5.18677599181513
1951,42,-5.02685390462519,-5.14989736142976
1951,43,-5.00995779080812,-5.10110719726033
1951,44,-5.0406859931341,-5.04678074073261
1951,45,-5.01788358507413,-4.99525419205795
1951,46,-4.90494483104171,-4.91851200522045
1951,47,-4.81965841637472,-4.8283137373023
1951,48,-4.73405562222299,-4.76065508882849
1951,49,-4.5852285950099,-4.7049905212703
1951,50,-4.51950997592828,-4.66385918233677
1951,51,-4.53036742902595,-4.60717218865876
1951,52,-4.43426152159229,-4.512591004695
1951,53,-4.38746755948412,-4.39734333878577
1951,54,-4.32055288622418,-4.36772932997306
1951,55,-4.25799953735731,-4.24819528704036
1951,56,-4.17507174888945,-4.18448811207507
1951,57,-4.10317422241516,-4.08281132640843
1951,58,-4.04265403373624,-3.97602833540406
1951,59,-3.95680244927619,-3.959114612962
1951,60,-3.88853564534215,-3.85848223850012
1951,61,-3.82255146015894,-3.74608492788472
1951,62,-3.74205417431024,-3.65893237774598
1951,63,-3.6338756666129,-3.60013624427955
1951,64,-3.55213268481788,-3.44139457141357
1951,65,-3.45752949965945,-3.37028027902743
1951,66,-3.36142859111712,-3.2871546656215
1951,67,-3.28452911844078,-3.19418321227783
1951,68,-3.18277349180434,-3.09710076794228
1951,69,-3.09345802280198,-2.99114282122018
1951,70,-3.00060972621447,-2.90992161714088
1951,71,-2.92074091209167,-2.83514520890604
1951,72,-2.81397750721331,-2.74000537234376
1951,73,-2.71926129156772,-2.67350385734963
1951,74,-2.63007051713228,-2.57098755071387
1951,75,-2.53139990073322,-2.44980981275057
1951,76,-2.44084387353395,-2.39196290414526
1951,77,-2.36050280303913,-2.32227772633978
1951,78,-2.25724681471502,-2.24375030727315
1951,79,-2.17822322980025,-2.16151965271544
1951,80,-2.06292602314133,-2.06215187314288
1951,81,-1.96720947379858,-1.9676139824991
1951,82,-1.88744494210312,-1.87425017079513
1951,83,-1.819400588833,-1.7521542146357
1951,84,-1.72700830222071,-1.67333663828433
1951,85,-1.65524588467027,-1.62257381182724
1951,86,-1.5824242575915,-1.50652037842741
1951,87,-1.55636448168704,-1.4393576420625
