"year","age","pred","actual"
1951,0,-2.49571770025478,-2.57177258280966
1951,1,-4.14085731131166,-4.28381158717693
1951,2,-4.70195613307623,-4.96757580463581
1951,3,-5.3153819302759,-5.45848611870086
1951,4,-5.72083268612365,-5.84996498483428
1951,5,-6.04017392442134,-6.12843040218114
1951,6,-6.22737101691039,-6.19480547112601
1951,7,-6.40373799499727,-6.37126190846757
1951,8,-6.5222426755232,-6.5929445391421
1951,9,-6.71889494447446,-6.5929445391421
1951,10,-6.6989469483416,-6.66873837851164
1951,11,-6.88259644470407,-6.75075153017247
1951,12,-6.81386829379499,-6.80339526365789
1951,13,-6.78651303023555,-6.76799333660698
1951,14,-6.62605042255778,-6.6076506865318
1951,15,-6.63935744821107,-6.55709840736897
1951,16,-6.54499907848898,-6.4956456281553
1951,17,-6.42716682960293,-6.32553965912947
1951,18,-6.20681680733564,-6.20465776756902
1951,19,-6.19703472066583,-6.12843040218114
1951,20,-6.01403351529673,-5.92567680656998
1951,21,-6.11018139473193,-5.99547256850552
1951,22,-5.89995183277753,-5.91080664409053
1951,23,-5.94394512661792,-5.92193848445937
1951,24,-5.94376211624181,-5.87813586180098
1951,25,-5.90725188336623,-5.78607771738303
1951,26,-5.87545136924878,-5.86395122680902
1951,27,-5.86455368800916,-5.73837391942582
1951,28,-5.79638670598367,-5.75718325138332
1951,29,-5.89192945088855,-5.83275285595316
1951,30,-5.72767945898638,-5.64929428937213
1951,31,-5.89762165350078,-5.83275285595316
1951,32,-5.71932773933876,-5.62128125314446
1951,33,-5.80044880806816,-5.76353247906197
1951,34,-5.7070787213499,-5.72910028264049
1951,35,-5.75085474937163,-5.60756361691566
1951,36,-5.69122452032909,-5.63518968319059
1951,37,-5.66742831633172,-5.6048425268013
1951,38,-5.54618765091242,-5.51896403766366
1951,39,-5.64966727396387,-5.63239247856953
1951,40,-5.37664023688697,-5.33290881131766
1951,41,-5.60747481840815,-5.57012608984353
1951,42,-5.29268783445365,-5.23628197562858
1951,43,-5.38898723353333,-5.3538300764783
1951,44,-5.31054705777493,-5.26681869948867
1951,45,-5.16903071054748,-5.11599580975408
1951,46,-5.11748756437251,-5.14645501723879
1951,47,-5.08597313040269,-5.09456052903402
1951,48,-4.83782321500059,-4.88886023717034
1951,49,-4.90138761081588,-4.98204783724434
1951,50,-4.62078054559624,-4.71386960291143
1951,51,-4.78517657829505,-4.85107072442492
1951,52,-4.58026016697176,-4.54784511936882
1951,53,-4.51958993460171,-4.61926911036759
1951,54,-4.39349703294827,-4.45675018086982
1951,55,-4.35169868356175,-4.39167301172569
1951,56,-4.22249976406028,-4.28091513330547
1951,57,-4.15928788574453,-4.25451331437492
1951,58,-3.94295593248303,-4.07689764861838
1951,59,-4.01534928088049,-4.10136917715907
1951,60,-3.7458916541736,-3.83090395414335
1951,61,-3.84925812637349,-4.03532122177264
1951,62,-3.56276003536772,-3.68091128446476
1951,63,-3.51857361635519,-3.68130818861762
1951,64,-3.42004997362913,-3.59611797403263
1951,65,-3.23941819294537,-3.43547831563903
1951,66,-3.23809248034609,-3.46158453167725
1951,67,-3.14533710349838,-3.31263720468268
1951,68,-2.97096705587515,-3.16960958356528
1951,69,-3.01488644427257,-3.19882812956442
1951,70,-2.67616148059638,-2.84645057083824
1951,71,-2.80989702097996,-2.98875665981757
1951,72,-2.46928139963038,-2.61046987276335
1951,73,-2.49859003259859,-2.65200073525119
1951,74,-2.31587770580402,-2.51059375672399
1951,75,-2.2671821107226,-2.41497022358884
1951,76,-2.22226971908321,-2.36851124311021
1951,77,-2.08981255405351,-2.27633272184998
1951,78,-1.88470472021541,-2.06356819252355
1951,79,-1.97586627493713,-2.19014966366426
1951,80,-1.61934695749818,-1.91189527046804
1951,81,-1.86516212510732,-2.18622529187785
1951,82,-1.61438234588017,-1.87764420838522
1951,83,-1.62411601639299,-1.87980410712065
1951,84,-1.4623723360824,-1.61852911244588
1951,85,-1.36790742384216,-1.59899265457256
1951,86,-1.30462089833174,-1.47543163258637
1951,87,-1.28533805118562,-1.52078621483954
1951,88,-1.18235081640477,-1.40262701574079
1951,89,-1.22493788386949,-1.47185224948154
1951,90,-1.0585287201754,-1.18152661549611
1951,91,-1.38768630058545,-1.55301032113546
