"Age","Year","log_mx"
0,1950,-3.25018551754097
1,1950,-6.01666064770404
2,1950,-6.53315085959177
3,1950,-6.77545361469422
4,1950,-6.95208238292346
5,1950,-7.06102702399552
6,1950,-7.2434692736504
7,1950,-7.32921352112424
8,1950,-7.47325573631652
9,1950,-7.59850525673184
10,1950,-7.64681540124347
11,1950,-7.71634388343412
12,1950,-7.66759401286514
13,1950,-7.60190376293987
14,1950,-7.5470835148272
15,1950,-7.44005045179032
16,1950,-7.19694391983861
17,1950,-7.07505067803706
18,1950,-7.03964544706917
19,1950,-6.98696987970302
20,1950,-6.95378899814382
21,1950,-6.9369848067545
22,1950,-6.93758811660562
23,1950,-6.94316023690945
24,1950,-6.95404574193949
25,1950,-6.92534182219987
26,1950,-6.88759574954674
27,1950,-6.8977743746941
28,1950,-6.84538178016906
29,1950,-6.78230294063447
30,1950,-6.72747102981252
31,1950,-6.74254273023054
32,1950,-6.62160769206592
33,1950,-6.58313191450994
34,1950,-6.48335768445684
35,1950,-6.37933573870113
36,1950,-6.32414754035284
37,1950,-6.22730237715748
38,1950,-6.11345840257426
39,1950,-6.02518125531744
40,1950,-5.92952318308983
41,1950,-5.84884964443685
42,1950,-5.68442805028669
43,1950,-5.6123621043137
44,1950,-5.51234861876422
45,1950,-5.39003687637651
46,1950,-5.27817771405539
47,1950,-5.16146385758316
48,1950,-5.05371783612062
49,1950,-4.92687425039684
50,1950,-4.84255607227446
51,1950,-4.77421230865268
52,1950,-4.63461408985313
53,1950,-4.53591261922935
54,1950,-4.43864201224725
55,1950,-4.3893508973521
56,1950,-4.25881840291895
57,1950,-4.17095409884859
58,1950,-4.05295793982921
59,1950,-3.97218987586693
60,1950,-3.90152155900456
61,1950,-3.8338956541577
62,1950,-3.69176273425848
63,1950,-3.59814854480475
64,1950,-3.50626062150178
65,1950,-3.43393222843823
66,1950,-3.38827944098447
67,1950,-3.25921545173396
68,1950,-3.17482088309323
69,1950,-3.07603191139579
70,1950,-3.00287432946489
71,1950,-2.94741756404757
72,1950,-2.79498018826722
73,1950,-2.69973956846682
74,1950,-2.59905905966802
75,1950,-2.51572246825083
76,1950,-2.40912492881219
77,1950,-2.3480019542276
78,1950,-2.23265016749177
79,1950,-2.13335432380551
80,1950,-2.07177191386661
81,1950,-2.00526121950516
82,1950,-1.87651632346243
83,1950,-1.78300988922466
84,1950,-1.672577719093
85,1950,-1.60805686597159
86,1950,-1.50028639840158
87,1950,-1.43797235241671
88,1950,-1.37564796886534
89,1950,-1.28882335958897
90,1950,-1.22797603814247
91,1950,-1.18475515617539
92,1950,-1.08711152441369
93,1950,-1.02587482997047
94,1950,-0.960220289965191
95,1950,-0.879384486844944
96,1950,-0.820053040477618
97,1950,-0.763435646283142
98,1950,-0.709516440541132
99,1950,-0.658291499005582
100,1950,-0.609735744925273
0,1951,-3.26323273733433
1,1951,-6.02843694035843
2,1951,-6.54464395515991
3,1951,-6.78731017045528
4,1951,-6.96424292581725
5,1951,-7.07335754367765
6,1951,-7.25471222205097
7,1951,-7.34071918344256
8,1951,-7.48380264638117
9,1951,-7.60800609470283
10,1951,-7.65586750391742
11,1951,-7.72445079292061
12,1951,-7.67537687123979
13,1951,-7.60945543108803
14,1951,-7.55361770254763
15,1951,-7.44590187095039
16,1951,-7.20243772104952
17,1951,-7.07868702736013
18,1951,-7.04252608166923
19,1951,-6.9902321523202
20,1951,-6.9573704206611
21,1951,-6.9407517184482
22,1951,-6.9414877489584
23,1951,-6.94716161896372
24,1951,-6.95793393990172
25,1951,-6.92942912643864
26,1951,-6.89178708207084
27,1951,-6.90164752197752
28,1951,-6.84945869601587
29,1951,-6.78662257554194
30,1951,-6.73192563134235
31,1951,-6.74640455559494
32,1951,-6.62595035338983
33,1951,-6.58736020903862
34,1951,-6.48792519597293
35,1951,-6.38410213670126
36,1951,-6.32875787956353
37,1951,-6.23204807548088
38,1951,-6.1184816433523
39,1951,-6.03008907223415
40,1951,-5.93440234462903
41,1951,-5.85356010122283
42,1951,-5.68972488613838
43,1951,-5.61737868249446
44,1951,-5.51737261436735
45,1951,-5.39516299272438
46,1951,-5.28340686345387
47,1951,-5.16676510281419
48,1951,-5.0591727341228
49,1951,-4.93244476138402
50,1951,-4.84787192797203
51,1951,-4.77932216783668
52,1951,-4.63997301325083
53,1951,-4.54120842716722
54,1951,-4.44391120183422
55,1951,-4.39414269939568
56,1951,-4.26386486647952
57,1951,-4.17579002761021
58,1951,-4.05800068384701
59,1951,-3.97701615427937
60,1951,-3.90601866032783
61,1951,-3.83814365261106
62,1951,-3.6963884240956
63,1951,-3.60275061311504
64,1951,-3.51074090391715
65,1951,-3.43818158431004
66,1951,-3.39213971195104
67,1951,-3.26329698668305
68,1951,-3.17886299031616
69,1951,-3.08008928443278
70,1951,-3.00671967544176
71,1951,-2.95098339005479
72,1951,-2.79898726921929
73,1951,-2.70376327389339
74,1951,-2.60314042374819
75,1951,-2.51980368770879
76,1951,-2.4133174532643
77,1951,-2.35197681241596
78,1951,-2.23682278977713
79,1951,-2.13758518799755
80,1951,-2.07562223169697
81,1951,-2.00897997160001
82,1951,-1.88045443681078
83,1951,-1.78694224922363
84,1951,-1.67665039694304
85,1951,-1.61190097163099
86,1951,-1.50422713983912
87,1951,-1.44170483956207
88,1951,-1.37916608441723
89,1951,-1.29227189411061
90,1951,-1.23113967500437
91,1951,-1.18759449590379
