"year","age","pred","actual"
1951,0,-3.34643315974958,-3.46701672269945
1951,1,-6.16090133042562,-5.96774802049067
1951,2,-6.68470556515179,-6.57128304236092
1951,3,-6.94637115436561,-6.85896511481271
1951,4,-7.17174260668409,-7.07027420847991
1951,5,-7.31281842786857,-7.25024558792891
1951,6,-7.46335065875233,-7.38579107992514
1951,7,-7.60195872673237,-7.48757377423508
1951,8,-7.72360965579391,-7.60090245954208
1951,9,-7.81396912550502,-7.68428406848113
1951,10,-7.84778221788603,-7.64172445406234
1951,11,-7.84374080217311,-7.75172534927667
1951,12,-7.80776136919601,-7.70626297519991
1951,13,-7.74062853499065,-7.5810998322459
1951,14,-7.63856328002662,-7.52394141840595
1951,15,-7.47226669809973,-7.38579107992514
1951,16,-7.24282739036585,-7.20886037176606
1951,17,-7.03219099861859,-7.22246602382184
1951,18,-6.95305196697315,-7.05857816871672
1951,19,-6.92946103524234,-6.89780494812897
1951,20,-6.9105114860949,-6.83079423784601
1951,21,-6.89126666978349,-6.77672701657573
1951,22,-6.8737757347094,-6.70074110959781
1951,23,-6.84731630963486,-6.75933527386386
1951,24,-6.81889977490714,-6.70074110959781
1951,25,-6.79005162990101,-6.63012354238386
1951,26,-6.7549535679792,-6.57128304236092
1951,27,-6.73576534692284,-6.6076506865318
1951,28,-6.70714644128313,-6.60027057923418
1951,29,-6.64737456316708,-6.52249287819149
1951,30,-6.60729583296622,-6.50229017087397
1951,31,-6.58272806141655,-6.45033043194326
1951,32,-6.49593823737562,-6.4377516497364
1951,33,-6.44589388309733,-6.34813949104671
1951,34,-6.39078696892093,-6.27117844991059
1951,35,-6.31149129990292,-6.23481080573971
1951,36,-6.25256977978574,-6.18504929618065
1951,37,-6.19976197638711,-6.13764705728606
1951,38,-6.13814339224042,-6.06618809330392
1951,39,-6.08814870172761,-6.03228654162824
1951,40,-6.00360167904402,-5.90712339867423
1951,41,-5.9108845739164,-5.86043628470158
1951,42,-5.80860908758828,-5.69284253461787
1951,43,-5.72668895653462,-5.66360068502337
1951,44,-5.65615783451464,-5.58599943899982
1951,45,-5.5604851279424,-5.41935569492509
1951,46,-5.44298930531447,-5.34540897408189
1951,47,-5.2891501822363,-5.25334400090531
1951,48,-5.15290719923759,-5.12941883008622
1951,49,-5.00812247732829,-4.99673238892726
1951,50,-4.87882164910446,-4.90762754402203
1951,51,-4.79363498213202,-4.8208417224636
1951,52,-4.67712143018075,-4.73300355749798
1951,53,-4.57556065545895,-4.60917820738563
1951,54,-4.50152630858895,-4.53938244545009
1951,55,-4.46052704798965,-4.48916651023178
1951,56,-4.3812617846295,-4.34588758805801
1951,57,-4.28511091246487,-4.26442139259962
1951,58,-4.16687649317507,-4.14584840508922
1951,59,-4.02661994547437,-4.08281132640843
1951,60,-3.92560105960088,-3.98566954559644
1951,61,-3.82622929573358,-3.89565765134188
1951,62,-3.68908470101545,-3.74862945851971
1951,63,-3.56715651237108,-3.68448910581264
1951,64,-3.49045793672372,-3.56843330103807
1951,65,-3.42601223379477,-3.47376807449699
1951,66,-3.35912764695815,-3.42928826182868
1951,67,-3.2867487470277,-3.30225743380725
1951,68,-3.21344945961613,-3.22037695099447
1951,69,-3.12890629569993,-3.09378621402938
1951,70,-3.04040746645726,-3.04387264888193
1951,71,-2.96182752733141,-2.96133084683666
1951,72,-2.83459810688001,-2.79737333906241
1951,73,-2.69042426715078,-2.72159147166888
1951,74,-2.56655611893052,-2.58627514417629
1951,75,-2.47278106841019,-2.50702956687577
1951,76,-2.38991360996234,-2.38488033572088
1951,77,-2.30345321032266,-2.32044361129536
1951,78,-2.2136271080152,-2.20075078711278
1951,79,-2.10890787859085,-2.11535891686664
1951,80,-2.02111491794589,-2.03745542501278
1951,81,-1.92556640651668,-1.9668988794938
1951,82,-1.79890250986386,-1.85802748507979
1951,83,-1.67650612410953,-1.7443416748989
1951,84,-1.5696539967398,-1.63214374996974
1951,85,-1.47873743535145,-1.58694283460673
1951,86,-1.39343266508635,-1.46815538760021
1951,87,-1.32222583002123,-1.39082460720642
1951,88,-1.25065112579828,-1.32215592000366
1951,89,-1.17410318499643,-1.25221811695393
1951,90,-1.10770866161832,-1.18839477436262
1951,91,-1.05036223318273,-1.12245426315368
1951,92,-0.978289890883803,-1.06932536804322
1951,93,-0.920423815106387,-0.969691508601271
1951,94,-0.857649673043769,-0.874621096702763
