"year","age","pred","actual"
1951,0,-3.37626629086129,-3.46701672269945
1951,1,-6.03202221545644,-5.96774802049067
1951,2,-6.7003658723927,-6.57128304236092
1951,3,-6.84136966325256,-6.85896511481271
1951,4,-7.02948085765515,-7.07027420847991
1951,5,-7.11735328032488,-7.25024558792891
1951,6,-7.25650343366454,-7.38579107992514
1951,7,-7.33074340281535,-7.48757377423508
1951,8,-7.45604844167772,-7.60090245954208
1951,9,-7.59089092435456,-7.68428406848113
1951,10,-7.5955357369534,-7.64172445406234
1951,11,-7.56127045420123,-7.75172534927667
1951,12,-7.57826789580136,-7.70626297519991
1951,13,-7.50608693634628,-7.5810998322459
1951,14,-7.39859396775522,-7.52394141840595
1951,15,-7.21833436456969,-7.38579107992514
1951,16,-7.06960031928958,-7.20886037176606
1951,17,-6.90722152960182,-7.22246602382184
1951,18,-6.8548453364816,-7.05857816871672
1951,19,-6.77810131312943,-6.89780494812897
1951,20,-6.72485175232332,-6.83079423784601
1951,21,-6.67655770634957,-6.77672701657573
1951,22,-6.64786434079097,-6.70074110959781
1951,23,-6.60097803032794,-6.75933527386386
1951,24,-6.56134305837691,-6.70074110959781
1951,25,-6.51017451653238,-6.63012354238386
1951,26,-6.48980308306046,-6.57128304236092
1951,27,-6.44859830736833,-6.6076506865318
1951,28,-6.41331931213114,-6.60027057923418
1951,29,-6.37619796984128,-6.52249287819149
1951,30,-6.34362239845391,-6.50229017087397
1951,31,-6.44672751977083,-6.45033043194326
1951,32,-6.36197126614433,-6.4377516497364
1951,33,-6.34109304788855,-6.34813949104671
1951,34,-6.26578477184,-6.27117844991059
1951,35,-6.1535429468479,-6.23481080573971
1951,36,-6.13878530534158,-6.18504929618065
1951,37,-6.09113810311622,-6.13764705728606
1951,38,-6.02882322583164,-6.06618809330392
1951,39,-5.94242449501153,-6.03228654162824
1951,40,-5.88549981555992,-5.90712339867423
1951,41,-5.79116781627967,-5.86043628470158
1951,42,-5.71364903818601,-5.69284253461787
1951,43,-5.63477597565584,-5.66360068502337
1951,44,-5.53216767064035,-5.58599943899982
1951,45,-5.3754193227849,-5.41935569492509
1951,46,-5.28624520924901,-5.34540897408189
1951,47,-5.17296875225052,-5.25334400090531
1951,48,-5.05768455714151,-5.12941883008622
1951,49,-4.94125157929034,-4.99673238892726
1951,50,-4.86003695507495,-4.90762754402203
1951,51,-4.80324844009114,-4.8208417224636
1951,52,-4.67445277096676,-4.73300355749798
1951,53,-4.54781769001671,-4.60917820738563
1951,54,-4.45542068393581,-4.53938244545009
1951,55,-4.39650720291735,-4.48916651023178
1951,56,-4.29535250986933,-4.34588758805801
1951,57,-4.19363268604534,-4.26442139259962
1951,58,-4.10888357828438,-4.14584840508922
1951,59,-4.0071333130732,-4.08281132640843
1951,60,-3.95231952230112,-3.98566954559644
1951,61,-3.85767396244111,-3.89565765134188
1951,62,-3.74152477817356,-3.74862945851971
1951,63,-3.62533614872825,-3.68448910581264
1951,64,-3.52769104035058,-3.56843330103807
1951,65,-3.45228615219997,-3.47376807449699
1951,66,-3.39706676210003,-3.42928826182868
1951,67,-3.29652800693194,-3.30225743380725
1951,68,-3.26036806939138,-3.22037695099447
1951,69,-3.15692194737105,-3.09378621402938
1951,70,-3.05688554655018,-3.04387264888193
1951,71,-2.99062951004617,-2.96133084683666
1951,72,-2.86575679604877,-2.79737333906241
1951,73,-2.76873166296506,-2.72159147166888
1951,74,-2.69936888996033,-2.58627514417629
1951,75,-2.62124499997302,-2.50702956687577
1951,76,-2.5618701461462,-2.38488033572088
1951,77,-2.46352117001316,-2.32044361129536
1951,78,-2.36199842916068,-2.20075078711278
1951,79,-2.26617151481015,-2.11535891686664
1951,80,-2.17381120274878,-2.03745542501278
1951,81,-2.07419469298685,-1.9668988794938
1951,82,-2.00315449950604,-1.85802748507979
1951,83,-1.92305420602861,-1.7443416748989
1951,84,-1.81731569034411,-1.63214374996974
1951,85,-1.69505507603498,-1.58694283460673
1951,86,-1.59134398532055,-1.46815538760021
1951,87,-1.55714044284662,-1.39082460720642
1951,88,-1.5228425749476,-1.32215592000366
1951,89,-1.45002649096362,-1.25221811695393
1951,90,-1.36224239119193,-1.18839477436262
1951,91,-1.31635678773866,-1.12245426315368
1951,92,-1.25437154923129,-1.06932536804322
1951,93,-1.20703705008181,-0.969691508601271
1951,94,-1.09735430245569,-0.874621096702763
1951,95,-1.05184714404125,-0.827387395768422
1951,96,-0.979389210837964,-0.767784523574931
1951,97,-0.892565515394393,-0.711127868595895
1951,98,-0.872908954310761,-0.657394010854127
1951,99,-0.715320895796097,-0.606584237435086
1951,100,-0.807090959364145,-0.558651253248595
1952,0,-3.33127020475002,-3.51795594227235
1952,1,-6.01013242847529,-6.13302811142977
1952,2,-6.73350468090166,-6.68461172766793
1952,3,-6.88179210958574,-7.03558865049202
1952,4,-7.10265437783328,-7.23625934595417
1952,5,-7.2504391663355,-7.3697907385787
1952,6,-7.36139888013302,-7.48757377423508
1952,7,-7.45802527391978,-7.5616817463888
1952,8,-7.54792655073268,-7.79935339826592
1952,9,-7.63934360854322,-7.82404601085629
1952,10,-7.6251119027404,-7.87533930524384
1952,11,-7.66312447737999,-7.902007552326
1952,12,-7.65097221844835,-7.72873583105197
1952,13,-7.55215547395728,-7.79935339826592
1952,14,-7.50804518933794,-7.5810998322459
1952,15,-7.35948435983844,-7.46987419713568
1952,16,-7.23150505225763,-7.41858090274813
1952,17,-7.13691923183351,-7.20886037176606
1952,18,-6.99321115961995,-7.14347761250321
1952,19,-6.90535417201978,-7.04701734631564
1952,20,-6.85447032145824,-6.91780561483564
1952,21,-6.78197079931753,-6.87819647674059
1952,22,-6.74633065203611,-6.83079423784601
1952,23,-6.744651373635,-6.82157758274108
1952,24,-6.69588026967802,-6.78553764625789
1952,25,-6.61726731665339,-6.82157758274108
1952,26,-6.62135732425196,-6.76799333660698
1952,27,-6.60800170156393,-6.79442659367513
1952,28,-6.56574662655522,-6.70074110959781
1952,29,-6.49044492470297,-6.68461172766793
1952,30,-6.48600691345277,-6.69264389936519
1952,31,-6.4638079963285,-6.53619172254965
1952,32,-6.4087782574999,-6.52249287819149
1952,33,-6.36239844598611,-6.52931884326189
1952,34,-6.30496355173518,-6.42532912973784
1952,35,-6.22760684187189,-6.31996861408002
1952,36,-6.1650820905165,-6.3367757323964
1952,37,-6.12508525193469,-6.21460809842219
1952,38,-6.05772746588223,-6.14228743684257
1952,39,-5.98565190794382,-6.10127941311519
1952,40,-5.90774703873521,-6.05333995082607
1952,41,-5.84040826068509,-5.91450350597185
1952,42,-5.70569776214471,-5.82256601064617
1952,43,-5.65798317440733,-5.72910028264049
1952,44,-5.54306854559922,-5.64645740803693
1952,45,-5.38999403013348,-5.54421790498486
1952,46,-5.31953379509963,-5.41485118280399
1952,47,-5.20981680091293,-5.30836770240154
1952,48,-5.06923408017981,-5.18142361507654
1952,49,-4.94396354244949,-5.11266801966141
1952,50,-4.85701292303549,-5.01917162511854
1952,51,-4.7641185557809,-4.90088443013714
1952,52,-4.66300420114383,-4.76416591747855
1952,53,-4.52507875983384,-4.72960026436627
1952,54,-4.46656369654838,-4.61219480092506
1952,55,-4.37520469889533,-4.57076875927076
1952,56,-4.2821832513545,-4.3949092605049
1952,57,-4.17613832095579,-4.32753844938981
1952,58,-4.07947977077411,-4.20908223969252
1952,59,-4.00730688614709,-4.1547317122372
1952,60,-3.93495549779896,-4.10560775450081
1952,61,-3.83435028608138,-4.00633368489939
1952,62,-3.72355935762784,-3.85139838361171
1952,63,-3.6173050533689,-3.74947907624287
1952,64,-3.49620892930763,-3.6737938166959
1952,65,-3.43620581098282,-3.58704514823267
1952,66,-3.36302014283328,-3.54322188169157
1952,67,-3.29774952118678,-3.41155079374165
1952,68,-3.25085149150427,-3.31099111377601
1952,69,-3.14726345259438,-3.19345177252804
1952,70,-3.05342809096893,-3.14841736121964
1952,71,-2.98456895856722,-3.07672543276352
1952,72,-2.86639677976624,-2.91895643475194
1952,73,-2.76991716205759,-2.82683373709218
1952,74,-2.67974877279093,-2.72861011506757
1952,75,-2.6333456657555,-2.64380859904075
1952,76,-2.55523192289726,-2.52647892569896
1952,77,-2.44030053703447,-2.46604564214708
1952,78,-2.35131564601799,-2.32718520986228
1952,79,-2.24104836659097,-2.21155679464648
1952,80,-2.14050746766322,-2.18107567559685
1952,81,-2.06614216003089,-2.10849966927985
1952,82,-1.99519857865214,-1.95686998929166
1952,83,-1.90479108872462,-1.89060790127066
1952,84,-1.80081960267003,-1.75042560573508
1952,85,-1.66719763382685,-1.69243915893751
1952,86,-1.56963627499327,-1.60241264749735
1952,87,-1.51809886356974,-1.53800136249625
1952,88,-1.48497720513807,-1.46832905147422
1952,89,-1.44472768875088,-1.36613885491633
1952,90,-1.35233707821962,-1.31714150243157
1952,91,-1.29784185013316,-1.25239303692849
1952,92,-1.25619946163557,-1.14752946090272
1952,93,-1.1655956033231,-1.10802646327873
1952,94,-1.07944447674384,-1.023736754023
1952,95,-1.0383860483779,-0.939636127369146
1952,96,-0.97139756065638,-0.876685477281796
1952,97,-0.879399401060402,-0.816445396904439
1952,98,-0.854369720762441,-0.758923801159775
1952,99,-0.697695475532606,-0.704127241403109
1952,100,-0.780445455951035,-0.652101211123944
1953,0,-3.43048711771114,-3.5599586740471
1953,1,-6.13211706945739,-6.18020667170486
1953,2,-6.82259318696843,-6.70074110959781
1953,3,-7.01076755082236,-7.00206595845338
1953,4,-7.2044066438868,-7.23625934595417
1953,5,-7.33865273262595,-7.35404238161056
1953,6,-7.4333854720455,-7.50559227973776
1953,7,-7.55262767275195,-7.64172445406234
1953,8,-7.70436669740754,-7.77525584668686
1953,9,-7.75338218996586,-7.82404601085629
1953,10,-7.76293020966133,-7.902007552326
1953,11,-7.75735357619652,-7.902007552326
1953,12,-7.7167907850642,-7.84936381884058
1953,13,-7.69782022707209,-7.68428406848113
1953,14,-7.54076324928411,-7.66277786326017
1953,15,-7.46083931576812,-7.6211051668596
1953,16,-7.36307873020338,-7.45248245442381
1953,17,-7.16678294724971,-7.29341775979412
1953,18,-7.09246908984925,-7.22246602382184
1953,19,-7.02040332174662,-7.13089883029635
1953,20,-6.94569930008785,-7.08210866612691
1953,21,-6.90234390470381,-6.96963068270022
1953,22,-6.84997242785484,-6.94857727350239
1953,23,-6.82925227614473,-6.86853456582886
1953,24,-6.79092671259463,-6.93821448646685
1953,25,-6.79806057307719,-6.91780561483564
1953,26,-6.7768546454279,-6.84948637085816
1953,27,-6.74699507461371,-6.79442659367513
1953,28,-6.66365870446934,-6.74224084050456
1953,29,-6.62376619552436,-6.68461172766793
1953,30,-6.61027994641433,-6.63772814176908
1953,31,-6.51383348552178,-6.70890442023697
1953,32,-6.54216541320154,-6.55008083471032
1953,33,-6.4934946371967,-6.4759728625566
1953,34,-6.39521240344778,-6.52249287819149
1953,35,-6.32816246128265,-6.41305903714603
1953,36,-6.28687850940037,-6.38302675004716
1953,37,-6.19551718934102,-6.26590139280974
1953,38,-6.12989256151583,-6.19971948592844
1953,39,-6.06848399435726,-6.12385373515373
1953,40,-5.99879651322255,-6.06188701140453
1953,41,-5.90149769348878,-5.99547256850552
1953,42,-5.81052732373294,-5.81583197846482
1953,43,-5.69857176211423,-5.76353247906197
1953,44,-5.61463821198697,-5.6664866899125
1953,45,-5.4738298248202,-5.56489047578958
1953,46,-5.37672472950114,-5.42615073805792
1953,47,-5.26099815172142,-5.35594647938467
1953,48,-5.13261283392549,-5.21765946353058
1953,49,-5.04438352886619,-5.11100826824304
1953,50,-4.93636190467656,-5.04367514817446
1953,51,-4.82147155841278,-4.95899206094442
1953,52,-4.72598553757768,-4.80118506991405
1953,53,-4.61383030261122,-4.68529623046738
1953,54,-4.51192543659916,-4.64912207351727
1953,55,-4.43934741712553,-4.59720201633891
1953,56,-4.33149565462588,-4.44731210137251
1953,57,-4.23951385906198,-4.35596910035459
1953,58,-4.1460536553772,-4.23498689202457
1953,59,-4.07150326982747,-4.14332474444382
1953,60,-4.02146406057236,-4.07985011607165
1953,61,-3.91635066520501,-4.03645308380632
1953,62,-3.80044072451563,-3.8637091451496
1953,63,-3.67963529426438,-3.75118048031132
1953,64,-3.58222356985514,-3.67813735758203
1953,65,-3.52031093334162,-3.61080791869378
1953,66,-3.45781319335796,-3.55016153480211
1953,67,-3.36241145800687,-3.40309918895175
1953,68,-3.30869955970054,-3.29927276194023
1953,69,-3.19998750644892,-3.21762660546777
1953,70,-3.12147659638415,-3.14585773213163
1953,71,-3.05698330199073,-3.09798650759275
1953,72,-2.94731284525334,-2.93426095146589
1953,73,-2.84618369867461,-2.80527721686331
1953,74,-2.77230488156801,-2.73675836523895
1953,75,-2.72420177312141,-2.64465295597242
1953,76,-2.64524796231068,-2.52647892569896
1953,77,-2.54429431818953,-2.47444159994024
1953,78,-2.43432001924952,-2.32749272870023
1953,79,-2.32098516266493,-2.24083169671856
1953,80,-2.26082783656184,-2.16726779604642
1953,81,-2.14940664276796,-2.10833496533482
1953,82,-2.08271942473747,-1.96575577727602
1953,83,-2.00836869467083,-1.88413795066271
1953,84,-1.88493787342142,-1.79781778381202
1953,85,-1.75978175439684,-1.70122430806481
1953,86,-1.66932481507981,-1.58235790803036
1953,87,-1.62190999640169,-1.54679180578383
1953,88,-1.58585824726536,-1.47137306147821
1953,89,-1.52605078273894,-1.40035271837093
1953,90,-1.45088599567037,-1.32452216272729
1953,91,-1.37901831096042,-1.31807512214275
1953,92,-1.33753999153554,-1.15052682862031
1953,93,-1.26264331734191,-1.09754286071009
1953,94,-1.17091298478624,-1.08966245814853
