"year","age","pred","actual"
2001,0,-5.436765995008,-5.24382918126397
2001,1,-8.04609154505947,-7.92940652651412
2001,2,-8.51956335791536,-8.42188301161191
2001,3,-8.6438434254745,-8.51719319141624
2001,4,-8.75648740144938,-8.62255370707406
2001,5,-8.80831642024238,-8.87386813535497
2001,6,-9.08377349411391,-9.11503019217186
2001,7,-9.14672956172033,-9.11503019217186
2001,8,-9.04562833349589,-9.02801881518223
2001,9,-8.98464814033486,-8.94797610750869
2001,10,-9.15538183938639,-9.21034037197618
2001,11,-9.07451593096634,-9.11503019217186
2001,12,-8.87113392153647,-9.02801881518223
2001,13,-8.68308755029771,-8.67971212091401
2001,14,-8.42163524026593,-8.51719319141624
2001,15,-8.1798370252347,-7.98656494035407
2001,16,-7.91846052083196,-7.70626297519991
2001,17,-7.72154793481729,-7.64172445406234
2001,18,-7.5957229108531,-7.43538802106451
2001,19,-7.51188289975221,-7.45248245442381
2001,20,-7.55331190804005,-7.43538802106451
2001,21,-7.59295317898858,-7.38579107992514
2001,22,-7.63511067502309,-7.45248245442381
2001,23,-7.62583426917614,-7.38579107992514
2001,24,-7.64573868219071,-7.41858090274813
2001,25,-7.68285271232131,-7.45248245442381
2001,26,-7.68965811556078,-7.45248245442381
2001,27,-7.66271204084533,-7.46987419713568
2001,28,-7.62607806471731,-7.38579107992514
2001,29,-7.58750198605892,-7.3697907385787
2001,30,-7.55548881959342,-7.3697907385787
2001,31,-7.47687838228874,-7.15621663828064
2001,32,-7.40122610384236,-7.30823284557926
2001,33,-7.3339859311169,-7.23625934595417
2001,34,-7.25533940279573,-7.14347761250321
2001,35,-7.13765935305284,-6.99113688792119
2001,36,-7.08209745056949,-7.03558865049202
2001,37,-7.00055407463492,-6.95904857336969
2001,38,-6.92794866067774,-6.79442659367513
2001,39,-6.87169523112726,-6.78553764625789
2001,40,-6.7921007700836,-6.7338019718587
2001,41,-6.6955444009488,-6.65311306060856
2001,42,-6.61047164247715,-6.55709840736897
2001,43,-6.46097873865752,-6.4759728625566
2001,44,-6.37095730755421,-6.32553965912947
2001,45,-6.27284743032772,-6.27648350214028
2001,46,-6.16518213035967,-6.17538738526891
2001,47,-6.03925528334693,-6.08797544748883
2001,48,-5.95281574068723,-5.94077143279246
2001,49,-5.86766583585602,-5.89979735858216
2001,50,-5.78194496099773,-5.86395122680902
2001,51,-5.656425596418,-5.67811472790762
2001,52,-5.56362397031662,-5.6664866899125
2001,53,-5.48853098485909,-5.52647345968579
2001,54,-5.39205544909281,-5.42842605189506
2001,55,-5.29302314925992,-5.37736057388849
2001,56,-5.20473169537514,-5.26102158180434
2001,57,-5.11293723873241,-5.13790064514213
2001,58,-5.01443514347121,-5.05302101059269
2001,59,-4.91097705591435,-4.97333950935256
2001,60,-4.84445971812575,-4.87829210710854
2001,61,-4.76183448135928,-4.74098990913063
2001,62,-4.6628979169336,-4.63356966050979
2001,63,-4.54764944507335,-4.60217467700829
2001,64,-4.45234915926776,-4.502613597663
2001,65,-4.3639073986195,-4.39167301172569
2001,66,-4.30537175581491,-4.27586643884549
2001,67,-4.18952857937356,-4.19837263264615
2001,68,-4.11806416333555,-4.09594584358907
2001,69,-4.02867135367221,-3.98298209436864
2001,70,-3.95646265100882,-3.87665586159085
2001,71,-3.85935288628771,-3.82126864215968
2001,72,-3.75876273004789,-3.71892637546623
2001,73,-3.6593480683615,-3.62684406319448
2001,74,-3.56912632486943,-3.51257596964554
2001,75,-3.49265351933711,-3.44671789696396
2001,76,-3.38306916290947,-3.31841995520459
2001,77,-3.2756533112924,-3.20942066609745
2001,78,-3.16580559190501,-3.14632263218649
2001,79,-3.04270000429239,-3.03032371832361
2001,80,-2.90322663339435,-2.8973359516978
2001,81,-2.82388611396075,-2.73521586917498
2001,82,-2.72435897585346,-2.70142221481199
2001,83,-2.60994552546328,-2.58508063875853
2001,84,-2.51973856624303,-2.43874851780692
2001,85,-2.38806897176374,-2.35472084741457
2001,86,-2.28925988544654,-2.23914092043751
2001,87,-2.15313297795779,-2.12678475319036
2001,88,-2.03659407107792,-2.01657942492321
2001,89,-1.96115891850589,-1.94491064872223
2001,90,-1.84296533273307,-1.82778050680727
2001,91,-1.75212554870145,-1.72675855501064
2001,92,-1.66536622369176,-1.6057945575193
2001,93,-1.62396533450914,-1.46603044913937
2001,94,-1.52409931770075,-1.45427346093275
2001,95,-1.48063993608315,-1.33006526785346
2001,96,-1.40164844141955,-1.24004913290863
2001,97,-1.34383788018136,-1.15280451775154
2001,98,-1.24922433829612,-1.06862639317785
2001,99,-1.23740213881955,-0.987625629478777
2001,100,-1.15395275137112,-0.910060182123519
2002,0,-5.31623347764415,-5.22506690480844
2002,1,-7.9801381837576,-7.87533930524384
2002,2,-8.35805185571411,-8.46840302724681
2002,3,-8.49436342165675,-8.67971212091401
2002,4,-8.64509921891603,-8.67971212091401
2002,5,-8.83194632481139,-8.80487526386802
2002,6,-9.03660528948363,-9.21034037197618
2002,7,-9.04435079847815,-9.02801881518223
2002,8,-9.02953579856521,-9.31570088763401
2002,9,-9.02604700030371,-9.02801881518223
2002,10,-9.15883759045206,-8.94797610750869
2002,11,-9.13621127704062,-9.11503019217186
2002,12,-8.98259921419342,-8.80487526386802
2002,13,-8.72745659946367,-8.62255370707406
2002,14,-8.45822921189374,-8.37743124904108
2002,15,-8.08926277832045,-8.25482892694875
2002,16,-7.8769680271416,-7.82404601085629
2002,17,-7.73708562472325,-7.70626297519991
2002,18,-7.65465896101944,-7.48757377423508
2002,19,-7.59717785713266,-7.3697907385787
2002,20,-7.58852326036514,-7.35404238161056
2002,21,-7.61458488776062,-7.45248245442381
2002,22,-7.61598475538046,-7.50559227973776
2002,23,-7.64597421593292,-7.50559227973776
2002,24,-7.67970308264859,-7.46987419713568
2002,25,-7.69719331104149,-7.6211051668596
2002,26,-7.71205251882605,-7.45248245442381
2002,27,-7.69154919785898,-7.54263355141811
2002,28,-7.64637324632818,-7.48757377423508
2002,29,-7.61083750968613,-7.43538802106451
2002,30,-7.55898819875534,-7.38579107992514
2002,31,-7.47670386990375,-7.33853819507459
2002,32,-7.42642140189804,-7.20886037176606
2002,33,-7.38101658404173,-7.15621663828064
2002,34,-7.29327048136006,-7.23625934595417
2002,35,-7.17990323561681,-7.1821921246839
2002,36,-7.10930138037872,-7.02428909523809
2002,37,-7.02334533413783,-6.93821448646685
2002,38,-6.92607917501189,-6.82157758274108
2002,39,-6.88446507343864,-6.76799333660698
2002,40,-6.83080628359232,-6.82157758274108
2002,41,-6.7525128384687,-6.67664355801875
2002,42,-6.63357627056507,-6.51571319120611
2002,43,-6.5021236570163,-6.43152109998577
2002,44,-6.3938536513421,-6.39493165255347
2002,45,-6.30503981985307,-6.2606520369236
2002,46,-6.18508241247476,-6.20465776756902
2002,47,-6.07184597854833,-6.11929791861787
2002,48,-5.98120955072613,-6.00759392903787
2002,49,-5.90601967936964,-5.86747856732699
2002,50,-5.81113810008577,-5.79261368836282
2002,51,-5.68942093858852,-5.74773436218538
2002,52,-5.59223399127188,-5.68987956948721
2002,53,-5.51689432045534,-5.57012608984353
2002,54,-5.42430114171582,-5.45146854604221
2002,55,-5.33277381657271,-5.33498135091963
2002,56,-5.22751610628154,-5.24004845842406
2002,57,-5.13738944594941,-5.17609973382379
2002,58,-5.03744247800562,-5.08805644106484
2002,59,-4.92859512477533,-4.9490699384381
2002,60,-4.85223385352893,-4.8652370914069
2002,61,-4.77640387393304,-4.79633069144925
2002,62,-4.67833871188161,-4.6831317274578
2002,63,-4.56998652304936,-4.566911473871
2002,64,-4.46654053830326,-4.45847580683729
2002,65,-4.38786226728083,-4.40304600189796
2002,66,-4.31533389097533,-4.29768548624013
2002,67,-4.22154913797498,-4.20103930089306
2002,68,-4.1265814982853,-4.0965469857773
2002,69,-4.03937226759203,-4.00304240381531
2002,70,-3.95634408694659,-3.88635525867957
2002,71,-3.88459891468787,-3.84016756832772
2002,72,-3.77325653440839,-3.73680998787149
2002,73,-3.69481597128578,-3.66282191979465
2002,74,-3.58900145922804,-3.54911751173878
2002,75,-3.50543887063951,-3.43485758315479
2002,76,-3.39819057410305,-3.32813281080515
2002,77,-3.3029766748269,-3.2332283310926
2002,78,-3.19705388971966,-3.12720863634238
2002,79,-3.075612112462,-3.043033546672
2002,80,-2.94793021294617,-2.91157496554727
2002,81,-2.8191267379859,-2.82632710869326
2002,82,-2.74529785306381,-2.65740461643332
2002,83,-2.65254336088784,-2.58853533260107
2002,84,-2.51209335838673,-2.45585282939726
2002,85,-2.42524880639831,-2.36032014364528
2002,86,-2.28964108774931,-2.2525575993944
2002,87,-2.16022073180022,-2.10792332411549
2002,88,-2.04532519819368,-2.02988976285059
2002,89,-1.96599134617679,-1.9344065696719
2002,90,-1.86109142975801,-1.81861692339794
2002,91,-1.78234228119716,-1.71830456742121
2002,92,-1.69097722068445,-1.60743990977143
2002,93,-1.5940190672214,-1.51809011797482
2002,94,-1.5537014883091,-1.42715802317489
2002,95,-1.47916672687958,-1.32418378505699
2002,96,-1.39114320168556,-1.23350460693197
2002,97,-1.33911531994221,-1.14576679126157
2002,98,-1.24263490138028,-1.06120090366996
2002,99,-1.22223347593369,-0.979949639984719
2002,100,-1.14486303319184,-0.902215257769609
2003,0,-5.31788984150926,-5.23252962601003
2003,1,-7.97841422170848,-7.87533930524384
2003,2,-8.44330202544758,-8.42188301161191
2003,3,-8.60088612932337,-8.80487526386802
2003,4,-8.69366207318786,-8.74033674273045
2003,5,-8.84281305448573,-9.02801881518223
2003,6,-9.10466106120441,-9.43348392329039
2003,7,-9.04066255749094,-8.94797610750869
2003,8,-9.08024440146451,-9.43348392329039
2003,9,-9.0178718777634,-9.11503019217186
2003,10,-9.03584636353028,-9.02801881518223
2003,11,-9.06118834475341,-9.21034037197618
2003,12,-8.89894226716416,-9.11503019217186
2003,13,-8.7442912468621,-8.74033674273045
2003,14,-8.54048745085388,-8.51719319141624
2003,15,-8.25900448172172,-8.29404964010203
2003,16,-7.98846709171358,-7.84936381884058
2003,17,-7.76131617657085,-7.5616817463888
2003,18,-7.68418112262736,-7.52394141840595
2003,19,-7.59187682602265,-7.41858090274813
2003,20,-7.62419437455501,-7.40205160079692
2003,21,-7.643874559447,-7.33853819507459
2003,22,-7.684466517051,-7.50559227973776
2003,23,-7.6994674799124,-7.35404238161056
2003,24,-7.73734116071556,-7.45248245442381
2003,25,-7.73671688759083,-7.48757377423508
2003,26,-7.73508771881396,-7.54263355141811
2003,27,-7.72014270427532,-7.46987419713568
2003,28,-7.69298921492288,-7.46987419713568
2003,29,-7.64428909883328,-7.40205160079692
2003,30,-7.60400906037589,-7.33853819507459
2003,31,-7.51850886251608,-7.41858090274813
2003,32,-7.4459392496877,-7.27881896037297
2003,33,-7.39280573632247,-7.29341775979412
2003,34,-7.35727434799567,-7.1821921246839
2003,35,-7.22703172563455,-7.04701734631564
2003,36,-7.13381776148148,-7.03558865049202
2003,37,-7.03723443279218,-6.95904857336969
2003,38,-6.98306978893952,-6.86853456582886
2003,39,-6.92306811165151,-6.84009663050832
2003,40,-6.87456048098324,-6.72543372218818
2003,41,-6.75948144847353,-6.62257633674847
2003,42,-6.65497911301161,-6.57845153183954
2003,43,-6.51686604006472,-6.46306945772069
2003,44,-6.41769705818943,-6.38302675004716
2003,45,-6.31140684044435,-6.27648350214028
2003,46,-6.21920625115813,-6.17059121300542
