"Age","Year","log_mx"
0,1950,-3.11034339460022
1,1950,-5.42653534188744
2,1950,-5.95954756182525
3,1950,-6.25370807875251
4,1950,-6.38197695407701
5,1950,-6.6171114407399
6,1950,-6.70243129947855
7,1950,-6.85183215659916
8,1950,-6.86432206670469
9,1950,-7.10699085421695
10,1950,-7.29078076358507
11,1950,-7.17973291183197
12,1950,-7.16220618935874
13,1950,-7.2768239100986
14,1950,-7.12368704465809
15,1950,-7.0339593916039
16,1950,-6.93092149687429
17,1950,-6.74340243743479
18,1950,-6.62930723554761
19,1950,-6.59255609284831
20,1950,-6.64619861090966
21,1950,-6.43436406779158
22,1950,-6.38085850363444
23,1950,-6.35868701988701
24,1950,-6.29513663753837
25,1950,-6.26764532814432
26,1950,-6.17984771694065
27,1950,-6.21937824216746
28,1950,-6.10833959410097
29,1950,-6.11503686728384
30,1950,-6.08844102371811
31,1950,-6.07019617816528
32,1950,-5.95403746820005
33,1950,-5.91399982079619
34,1950,-5.9010686177678
35,1950,-5.8342926755015
36,1950,-5.72413004784652
37,1950,-5.65386149576612
38,1950,-5.64284242875709
39,1950,-5.56266550819563
40,1950,-5.54864833773576
41,1950,-5.4233579418666
42,1950,-5.32708447894679
43,1950,-5.26051309269173
44,1950,-5.13709741370492
45,1950,-5.0452605437845
46,1950,-4.99129231856996
47,1950,-4.89829281853504
48,1950,-4.79779106210283
49,1950,-4.67797459726114
50,1950,-4.60747345790923
51,1950,-4.51151703543614
52,1950,-4.43191412440109
53,1950,-4.3151411873611
54,1950,-4.20983783285675
55,1950,-4.12256833573366
56,1950,-4.07232995807458
57,1950,-3.94688982412534
58,1950,-3.8651930840448
59,1950,-3.77228136449756
60,1950,-3.69815681607914
61,1950,-3.59630626146532
62,1950,-3.51161472801845
63,1950,-3.42022454456727
64,1950,-3.32563477356296
65,1950,-3.23612474651323
66,1950,-3.14093670706132
67,1950,-3.04251072341087
68,1950,-2.96143338070862
69,1950,-2.85440218730954
70,1950,-2.76211872987715
71,1950,-2.6666424354332
72,1950,-2.56642212248454
73,1950,-2.48705091645144
74,1950,-2.37546513166465
75,1950,-2.27357707958427
76,1950,-2.17077816229885
77,1950,-2.07929341866982
78,1950,-1.99018472079109
79,1950,-1.86619300894457
80,1950,-1.81240897897121
81,1950,-1.73778822746502
82,1950,-1.64571626104585
83,1950,-1.56959654751774
84,1950,-1.46066435762102
85,1950,-1.39387454459946
86,1950,-1.30320830132715
