"year","age","pred","actual"
2001,0,-5.29798770453339,-5.39262804601928
2001,1,-7.82897860437931,-7.84936381884058
2001,2,-8.39850188690203,-8.2170885989659
2001,3,-8.50583497066273,-8.42188301161191
2001,4,-8.66345161180784,-8.67971212091401
2001,5,-8.74276166594792,-8.94797610750869
2001,6,-8.79322247725973,-8.87386813535497
2001,7,-8.8254159302873,-9.21034037197618
2001,8,-8.90825736078029,-9.21034037197618
2001,9,-8.89406130364096,-9.21034037197618
2001,10,-8.95659753875676,-9.02801881518223
2001,11,-8.76311671399219,-9.11503019217186
2001,12,-8.70094956353443,-8.74033674273045
2001,13,-8.47680847390707,-8.80487526386802
2001,14,-8.26407052591826,-8.33487163462228
2001,15,-7.95475775803198,-8.14562963498375
2001,16,-7.78310044847008,-7.87533930524384
2001,17,-7.5226521861728,-7.72873583105197
2001,18,-7.27767078672131,-7.30823284557926
2001,19,-7.11880214394591,-7.1821921246839
2001,20,-7.18713659408647,-7.22246602382184
2001,21,-7.14658013750407,-7.27881896037297
2001,22,-7.17238530651173,-7.23625934595417
2001,23,-7.16809783137476,-7.3232707229438
2001,24,-7.16139104420406,-7.27881896037297
2001,25,-7.16161917117476,-7.1821921246839
2001,26,-7.10956584410898,-7.29341775979412
2001,27,-7.12380431974574,-7.15621663828064
2001,28,-7.1368339410898,-7.19543735143392
2001,29,-7.12801818202634,-7.1821921246839
2001,30,-7.06345795778068,-7.13089883029635
2001,31,-6.97606098473914,-7.13089883029635
2001,32,-6.96559746383744,-7.05857816871672
2001,33,-6.92354950874753,-6.92795798629966
2001,34,-6.92766541491036,-6.90775527898214
2001,35,-6.77006028943981,-6.76799333660698
2001,36,-6.72799979829911,-6.71713491937349
2001,37,-6.66073681608072,-6.62257633674847
2001,38,-6.63998535187233,-6.48248754357779
2001,39,-6.49387928340565,-6.44402126275
2001,40,-6.40659214657652,-6.35963387047245
2001,41,-6.26575245846839,-6.22972173623224
2001,42,-6.13350495770402,-6.17059121300542
2001,43,-6.06415935116472,-6.05333995082607
2001,44,-5.96666961821189,-5.9522438339547
2001,45,-5.89083128485746,-5.81248189157954
2001,46,-5.80057485320836,-5.73837391942582
2001,47,-5.70667164247719,-5.68987956948721
2001,48,-5.60610330690109,-5.6048425268013
2001,49,-5.52452091590119,-5.56489047578958
2001,50,-5.45625144641633,-5.4894778720092
2001,51,-5.38503388680496,-5.43528322162119
2001,52,-5.28090358181014,-5.37088805938287
2001,53,-5.26640181266486,-5.27655587476652
2001,54,-5.17340687343308,-5.24572491642887
2001,55,-5.11251770775737,-5.16029606865066
2001,56,-5.03419832960749,-5.08643700751254
2001,57,-5.01053795498655,-5.01313842431437
2001,58,-4.94655883500205,-4.95614710881219
2001,59,-4.85662105227177,-4.89418648145301
2001,60,-4.80461378790423,-4.8283137373023
2001,61,-4.70694395854736,-4.74213604106125
2001,62,-4.6383669504009,-4.67237893568154
2001,63,-4.61452221566098,-4.61825542553675
2001,64,-4.52290350886509,-4.51624397679369
2001,65,-4.41898372935106,-4.44560561631675
2001,66,-4.33956420341865,-4.35441146764091
2001,67,-4.32535386101215,-4.27947004634879
2001,68,-4.21302647292538,-4.19239850269749
2001,69,-4.13030705027551,-4.1025783671492
2001,70,-4.04129074016205,-4.02968104889638
2001,71,-3.97213488715892,-3.90455099058945
2001,72,-3.87316334927273,-3.82035581690232
2001,73,-3.79988925781826,-3.74185837890482
2001,74,-3.68439054041861,-3.6340125526731
2001,75,-3.57702713690717,-3.54529872563641
2001,76,-3.46773697154348,-3.45681580542517
2001,77,-3.38674708659803,-3.33456729936439
2001,78,-3.29717554604916,-3.24061031701421
2001,79,-3.17346075927134,-3.12766494481482
2001,80,-3.05862353720271,-2.98558394250218
2001,81,-2.91632595011853,-2.86277604630537
2001,82,-2.8707848099002,-2.74887219562247
2001,83,-2.73478964946485,-2.64310551246183
2001,84,-2.58796246654189,-2.50899444531709
2001,85,-2.49374413265618,-2.38076287405807
2001,86,-2.36859965301658,-2.28415595752568
2001,87,-2.24088586603791,-2.16805420003644
2001,88,-2.11739206359721,-2.04253118765974
2001,89,-2.00940098293826,-1.92806040779252
2001,90,-1.88319443741461,-1.83095778263221
2001,91,-1.75575352819259,-1.68432310962589
2001,92,-1.65416545412482,-1.58664955080367
2001,93,-1.58720166079293,-1.47525673096808
2001,94,-1.48236121038626,-1.39509295547624
2001,95,-1.33490343495514,-1.29240336970536
2001,96,-1.26661490174479,-1.19527738595871
2001,97,-1.16301114732501,-1.10153656018536
2001,98,-1.09113467976518,-1.0114809188779
2001,99,-0.84030929412676,-0.925381931885935
2001,100,-1.00886028691823,-0.843458573224485
2002,0,-5.31873002179774,-5.47744403244547
2002,1,-7.86067746647295,-7.92940652651412
2002,2,-8.29784322980885,-8.25482892694875
2002,3,-8.41302242368148,-8.62255370707406
2002,4,-8.65418834488491,-8.87386813535497
2002,5,-8.78602911639688,-9.02801881518223
2002,6,-8.86605576618423,-8.94797610750869
2002,7,-9.00160662565683,-9.02801881518223
2002,8,-9.02044510309202,-9.11503019217186
2002,9,-8.99003585078102,-8.87386813535497
2002,10,-8.84583307551338,-9.11503019217186
