"year","age","pred","actual"
2001,0,-5.48699622618425,-5.36445716905258
2001,1,-7.97056712819121,-8.11172808330807
2001,2,-8.34880080854515,-8.42188301161191
2001,3,-8.49974184106991,-8.67971212091401
2001,4,-8.63054687652536,-8.74033674273045
2001,5,-8.68246271919568,-9.02801881518223
2001,6,-8.73333513497473,-9.02801881518223
2001,7,-8.81314413457369,-9.31570088763401
2001,8,-8.87144232272727,-9.21034037197618
2001,9,-8.92341813949456,-9.11503019217186
2001,10,-8.93436280021204,-9.21034037197618
2001,11,-8.84615069525009,-8.94797610750869
2001,12,-8.79000147690805,-9.02801881518223
2001,13,-8.66571342266376,-8.80487526386802
2001,14,-8.43878000743585,-8.51719319141624
2001,15,-8.22854601232248,-8.11172808330807
2001,16,-8.02164119157184,-7.95757740348081
2001,17,-7.882260013244,-7.82404601085629
2001,18,-7.77357210899494,-7.64172445406234
2001,19,-7.75204033721464,-7.52394141840595
2001,20,-7.70283174364123,-7.50559227973776
2001,21,-7.6678091659346,-7.41858090274813
2001,22,-7.64259281206893,-7.46987419713568
2001,23,-7.62008493126133,-7.40205160079692
2001,24,-7.60279005404111,-7.40205160079692
2001,25,-7.5449121435518,-7.41858090274813
2001,26,-7.50582234290129,-7.38579107992514
2001,27,-7.46881863105757,-7.46987419713568
2001,28,-7.4710728615291,-7.35404238161056
2001,29,-7.45231091386015,-7.3697907385787
2001,30,-7.43947737507823,-7.3232707229438
2001,31,-7.41243594212373,-7.30823284557926
2001,32,-7.37401274132149,-7.26443022292087
2001,33,-7.31927107831663,-7.23625934595417
2001,34,-7.25915301290916,-7.16912004311654
2001,35,-7.18171880395626,-7.10620621770598
2001,36,-7.08787571266985,-7.04701734631564
2001,37,-7.01234552830078,-6.94857727350239
2001,38,-6.94125931742102,-6.90775527898214
2001,39,-6.88462189157017,-6.81244509917781
2001,40,-6.78309890297281,-6.75933527386386
2001,41,-6.68494035411919,-6.64539101451465
2001,42,-6.59894583729146,-6.6076506865318
2001,43,-6.50195379992353,-6.53619172254965
2001,44,-6.40953218653252,-6.42532912973784
2001,45,-6.34392021845081,-6.40093767661368
2001,46,-6.26038915295587,-6.2606520369236
2001,47,-6.14040779730672,-6.17059121300542
2001,48,-6.01306381802929,-6.09682506276581
2001,49,-5.94093370214843,-6.00353712834225
2001,50,-5.87849169785633,-5.91080664409053
2001,51,-5.77784263665358,-5.79919265946086
2001,52,-5.7217634434724,-5.71080708959317
2001,53,-5.59178101390721,-5.58599943899982
2001,54,-5.4982777630874,-5.52647345968579
2001,55,-5.44983185031353,-5.399243285138
2001,56,-5.37919976727394,-5.34540897408189
2001,57,-5.27015469585806,-5.19395735122379
2001,58,-5.11773228783849,-5.14817470811832
2001,59,-5.0123863330468,-5.02220193046772
2001,60,-4.90622116574934,-4.98496754734768
2001,61,-4.77813554250485,-4.8848840887907
2001,62,-4.66803113270259,-4.77833380499728
2001,63,-4.5957992176769,-4.67237893568154
2001,64,-4.47748241096033,-4.5912672808191
2001,65,-4.3653965610307,-4.48561095093045
2001,66,-4.25541370587142,-4.3868381916711
2001,67,-4.1349944398675,-4.25662822527955
2001,68,-3.99830888300552,-4.17794358609841
2001,69,-3.88287481081756,-4.08459227077942
2001,70,-3.77388489415158,-3.9910662127686
2001,71,-3.67094670045977,-3.87136102370926
2001,72,-3.59528998910551,-3.78011793454821
2001,73,-3.4898085571126,-3.65970907681416
2001,74,-3.38496542086609,-3.54495228530729
2001,75,-3.25946166719688,-3.44703191800595
2001,76,-3.12845161824666,-3.339632026004
2001,77,-3.01603109143658,-3.21912585612341
2001,78,-2.88702283096808,-3.13430492341793
2001,79,-2.76852411302369,-3.02598531672501
2001,80,-2.65707908326034,-2.91083980653603
2001,81,-2.54946505193646,-2.78871810416966
2001,82,-2.45531030953897,-2.65356201581814
2001,83,-2.3663656638211,-2.56472938165799
2001,84,-2.29950311342133,-2.46005795181861
2001,85,-2.2241181214452,-2.35830924176641
2001,86,-2.14964559251592,-2.2433732333622
2001,87,-2.06541319727471,-2.11031320534692
2001,88,-1.95484605365536,-2.00107408260582
2001,89,-1.86561469503511,-1.88730167594854
2001,90,-1.75693887740253,-1.78665253185991
2001,91,-1.66100663740641,-1.65365106711043
2001,92,-1.57917932585004,-1.56556457799013
2001,93,-1.49655705151846,-1.43326019040064
2001,94,-1.41830799042145,-1.35409826290357
2001,95,-1.3199109986338,-1.27100331678516
2001,96,-1.25311270619508,-1.1780776630306
2001,97,-1.17848412221754,-1.08841446369166
2001,98,-1.16391929037088,-1.00228444504113
2001,99,-1.09655185599147,-0.919897227468267
2001,100,-1.43132910125157,-0.841438393972227
2002,0,-5.45003594583742,-5.417100902538
2002,1,-7.98504964864968,-8.11172808330807
2002,2,-8.34052009929843,-8.46840302724681
2002,3,-8.51822028873453,-8.62255370707406
2002,4,-8.6750222592872,-8.80487526386802
2002,5,-8.7738219342974,-8.94797610750869
2002,6,-8.81363616696112,-8.80487526386802
2002,7,-8.87963827266346,-8.94797610750869
2002,8,-8.91330883227067,-8.94797610750869
2002,9,-8.9340421223874,-9.02801881518223
2002,10,-8.94610701355911,-9.02801881518223
2002,11,-8.87662518627101,-9.21034037197618
2002,12,-8.85320927927578,-8.80487526386802
2002,13,-8.66422110801605,-8.87386813535497
2002,14,-8.44853834379632,-8.51719319141624
2002,15,-8.22786472494025,-8.18072095479502
2002,16,-8.03014420276474,-7.98656494035407
2002,17,-7.90557264851613,-7.95757740348081
2002,18,-7.81323946631913,-7.54263355141811
2002,19,-7.76520113261247,-7.64172445406234
2002,20,-7.75004176163099,-7.54263355141811
2002,21,-7.70304930273791,-7.52394141840595
2002,22,-7.68658365920546,-7.40205160079692
2002,23,-7.64401612590609,-7.43538802106451
2002,24,-7.62679927620999,-7.45248245442381
2002,25,-7.59179612888682,-7.45248245442381
2002,26,-7.55120162098183,-7.3697907385787
2002,27,-7.51798331502427,-7.48757377423508
2002,28,-7.51016556908737,-7.33853819507459
2002,29,-7.47364929977673,-7.41858090274813
2002,30,-7.45261047835474,-7.38579107992514
2002,31,-7.42023869453638,-7.40205160079692
2002,32,-7.39452541243863,-7.29341775979412
2002,33,-7.34138193672206,-7.30823284557926
2002,34,-7.27952875337122,-7.16912004311654
2002,35,-7.19565008290605,-7.16912004311654
2002,36,-7.11049757486073,-7.13089883029635
2002,37,-7.03387821805195,-7.03558865049202
2002,38,-6.97300932896869,-6.93821448646685
2002,39,-6.89774795707,-6.87819647674059
2002,40,-6.80038215256199,-6.76799333660698
2002,41,-6.68871772776021,-6.67664355801875
2002,42,-6.6115570741272,-6.62257633674847
2002,43,-6.52151621819292,-6.55008083471032
2002,44,-6.4333278274785,-6.4956456281553
2002,45,-6.3677138704599,-6.34813949104671
2002,46,-6.27522027285301,-6.28181684811564
2002,47,-6.1625157105556,-6.23481080573971
2002,48,-6.04018167205889,-6.08357983601579
2002,49,-5.96025934130601,-6.0116672544255
2002,50,-5.89591262395193,-5.97953597624271
2002,51,-5.79374013271379,-5.85344324921061
2002,52,-5.73855104496856,-5.75718325138332
2002,53,-5.61569275904412,-5.64645740803693
2002,54,-5.52619161260945,-5.52146091786225
2002,55,-5.46247942349629,-5.43070655459378
2002,56,-5.40296867231827,-5.36445716905258
