"year","age","pred","actual"
2001,0,-5.13317990167381,-5.36445716905258
2001,1,-7.48286327941006,-8.11172808330807
2001,2,-7.9380477040576,-8.42188301161191
2001,3,-8.19879029249439,-8.67971212091401
2001,4,-8.37827899517958,-8.74033674273045
2001,5,-8.51076452931152,-9.02801881518223
2001,6,-8.6178491974325,-9.02801881518223
2001,7,-8.69392786939763,-9.31570088763401
2001,8,-8.77481701472273,-9.21034037197618
2001,9,-8.84874182103168,-9.11503019217186
2001,10,-8.87541315872958,-9.21034037197618
2001,11,-8.84770451394623,-8.94797610750869
2001,12,-8.79923198001707,-9.02801881518223
2001,13,-8.70693765858699,-8.80487526386802
2001,14,-8.54960938473433,-8.51719319141624
2001,15,-8.34786692617796,-8.11172808330807
2001,16,-8.18660116926466,-7.95757740348081
2001,17,-8.0454701854595,-7.82404601085629
2001,18,-7.95341117056297,-7.64172445406234
2001,19,-7.93158610708905,-7.52394141840595
2001,20,-7.95444939561929,-7.50559227973776
2001,21,-7.89445143140091,-7.41858090274813
2001,22,-7.84735218189638,-7.46987419713568
2001,23,-7.81218349382595,-7.40205160079692
2001,24,-7.77047946512691,-7.40205160079692
2001,25,-7.75739746222894,-7.41858090274813
2001,26,-7.7360166966571,-7.38579107992514
2001,27,-7.71011737246261,-7.46987419713568
2001,28,-7.67837057381299,-7.35404238161056
2001,29,-7.61039330078423,-7.3697907385787
2001,30,-7.55338302576418,-7.3232707229438
2001,31,-7.48948888717442,-7.30823284557926
2001,32,-7.44198970835996,-7.26443022292087
2001,33,-7.36272751341047,-7.23625934595417
2001,34,-7.27008650498103,-7.16912004311654
2001,35,-7.22463654314334,-7.10620621770598
2001,36,-7.1542027800609,-7.04701734631564
2001,37,-7.09718454929329,-6.94857727350239
2001,38,-6.98518866050912,-6.90775527898214
2001,39,-6.93562993754558,-6.81244509917781
2001,40,-6.8712308384786,-6.75933527386386
2001,41,-6.79034238163166,-6.64539101451465
2001,42,-6.6760991471575,-6.6076506865318
2001,43,-6.62730685337457,-6.53619172254965
2001,44,-6.53054889857902,-6.42532912973784
2001,45,-6.36676866645196,-6.40093767661368
2001,46,-6.29052326802719,-6.2606520369236
2001,47,-6.20239167676047,-6.17059121300542
2001,48,-6.12588982022332,-6.09682506276581
2001,49,-6.07519025070972,-6.00353712834225
2001,50,-6.03255279862892,-5.91080664409053
2001,51,-5.96660848684273,-5.79919265946086
2001,52,-5.84363550237027,-5.71080708959317
2001,53,-5.70943063748152,-5.58599943899982
2001,54,-5.49398720548009,-5.52647345968579
2001,55,-5.42411076546337,-5.399243285138
2001,56,-5.33683632949846,-5.34540897408189
2001,57,-5.26000645136968,-5.19395735122379
2001,58,-5.14309375759952,-5.14817470811832
2001,59,-5.02610456625669,-5.02220193046772
2001,60,-4.95559422910401,-4.98496754734768
2001,61,-4.83678401304369,-4.8848840887907
2001,62,-4.72151961247192,-4.77833380499728
2001,63,-4.61519448875001,-4.67237893568154
2001,64,-4.51156919386045,-4.5912672808191
2001,65,-4.44410590802248,-4.48561095093045
2001,66,-4.34504698273849,-4.3868381916711
2001,67,-4.25018111890544,-4.25662822527955
2001,68,-4.16274684126242,-4.17794358609841
2001,69,-4.04892916278505,-4.08459227077942
2001,70,-3.91877527466819,-3.9910662127686
2001,71,-3.8066047419256,-3.87136102370926
2001,72,-3.69499631334703,-3.78011793454821
2001,73,-3.56015220605443,-3.65970907681416
2001,74,-3.4460074239563,-3.54495228530729
2001,75,-3.3351560153569,-3.44703191800595
2001,76,-3.22813162732318,-3.339632026004
2001,77,-3.12183488420073,-3.21912585612341
2001,78,-2.99985093684535,-3.13430492341793
2001,79,-2.87079463590121,-3.02598531672501
2001,80,-2.75006065888331,-2.91083980653603
2001,81,-2.61996399095081,-2.78871810416966
2001,82,-2.48722203695527,-2.65356201581814
2001,83,-2.36770100544968,-2.56472938165799
2001,84,-2.25158411592804,-2.46005795181861
2001,85,-2.1403523613973,-2.35830924176641
2001,86,-2.04788178955978,-2.2433732333622
2001,87,-1.90140760329856,-2.11031320534692
2001,88,-1.76495123316431,-2.00107408260582
2001,89,-1.70893450861813,-1.88730167594854
2001,90,-1.62339798275799,-1.78665253185991
2001,91,-1.5269584108599,-1.65365106711043
2001,92,-1.45296445074526,-1.56556457799013
2001,93,-1.38593238172445,-1.43326019040064
2001,94,-1.31674736501833,-1.35409826290357
2001,95,-1.23364560390123,-1.27100331678516
2001,96,-1.15315791783752,-1.1780776630306
2001,97,-1.11995827728769,-1.08841446369166
2001,98,-1.09674279393286,-1.00228444504113
2001,99,-1.08665735395164,-0.919897227468267
2001,100,-1.37918101195062,-0.841438393972227
2002,0,-5.0778135594905,-5.417100902538
2002,1,-7.5176044990444,-8.11172808330807
2002,2,-7.96068058189895,-8.46840302724681
2002,3,-8.23771317544133,-8.62255370707406
2002,4,-8.42770958470889,-8.80487526386802
2002,5,-8.57632600899526,-8.94797610750869
2002,6,-8.67054347940234,-8.80487526386802
2002,7,-8.73237830333574,-8.94797610750869
2002,8,-8.79376485149327,-8.94797610750869
2002,9,-8.84964877625329,-9.02801881518223
2002,10,-8.87568059424365,-9.02801881518223
2002,11,-8.84924701100161,-9.21034037197618
2002,12,-8.81447243842559,-8.80487526386802
2002,13,-8.70612770228753,-8.87386813535497
2002,14,-8.54751732911686,-8.51719319141624
2002,15,-8.35144976649167,-8.18072095479502
2002,16,-8.19388924600837,-7.98656494035407
2002,17,-8.06008887159733,-7.95757740348081
2002,18,-7.96949524420292,-7.54263355141811
2002,19,-7.9393561185406,-7.64172445406234
2002,20,-7.96981989990134,-7.54263355141811
2002,21,-7.91122765507841,-7.52394141840595
2002,22,-7.86833118221654,-7.40205160079692
2002,23,-7.83111052325673,-7.43538802106451
2002,24,-7.7934660677443,-7.45248245442381
2002,25,-7.78292072435617,-7.45248245442381
2002,26,-7.7580727828005,-7.3697907385787
2002,27,-7.73461526112573,-7.48757377423508
2002,28,-7.70420472207556,-7.33853819507459
2002,29,-7.63272569616012,-7.41858090274813
2002,30,-7.57416037848277,-7.38579107992514
2002,31,-7.51005235267982,-7.40205160079692
2002,32,-7.46673208326534,-7.29341775979412
2002,33,-7.3904958263005,-7.30823284557926
2002,34,-7.29797660200677,-7.16912004311654
2002,35,-7.24430192714555,-7.16912004311654
2002,36,-7.17701619217376,-7.13089883029635
2002,37,-7.11708156794556,-7.03558865049202
2002,38,-7.01022119070765,-6.93821448646685
2002,39,-6.95848549982098,-6.87819647674059
2002,40,-6.89103674852182,-6.76799333660698
2002,41,-6.80884018318216,-6.67664355801875
2002,42,-6.69621793227295,-6.62257633674847
2002,43,-6.64344263937365,-6.55008083471032
2002,44,-6.55244403382951,-6.4956456281553
2002,45,-6.39311917333007,-6.34813949104671
2002,46,-6.30531059306397,-6.28181684811564
