"year","age","pred","actual"
2001,0,-5.31510704098552,-5.36445716905258
2001,1,-7.98914731762749,-8.11172808330807
2001,2,-8.50636224699932,-8.42188301161191
2001,3,-8.72898487101196,-8.67971212091401
2001,4,-8.7538306706356,-8.74033674273045
2001,5,-8.73507652571906,-9.02801881518223
2001,6,-8.80176588561429,-9.02801881518223
2001,7,-8.89553967009987,-9.31570088763401
2001,8,-8.90079719527455,-9.21034037197618
2001,9,-8.97999299033096,-9.11503019217186
2001,10,-9.02124231745803,-9.21034037197618
2001,11,-8.6993564431448,-8.94797610750869
2001,12,-8.6071352533942,-9.02801881518223
2001,13,-8.62042196379664,-8.80487526386802
2001,14,-8.37086974628075,-8.51719319141624
2001,15,-8.11945603683144,-8.11172808330807
2001,16,-7.90630886115553,-7.95757740348081
2001,17,-7.67355122673459,-7.82404601085629
2001,18,-7.48433922357721,-7.64172445406234
2001,19,-7.49156625525793,-7.52394141840595
2001,20,-7.36089401958864,-7.50559227973776
2001,21,-7.35463682413427,-7.41858090274813
2001,22,-7.29308825411781,-7.46987419713568
2001,23,-7.34780207200622,-7.40205160079692
2001,24,-7.39061286758669,-7.40205160079692
2001,25,-7.28753131744369,-7.41858090274813
2001,26,-7.32538950717417,-7.38579107992514
2001,27,-7.27370376920245,-7.46987419713568
2001,28,-7.29705450026577,-7.35404238161056
2001,29,-7.25533945591626,-7.3697907385787
2001,30,-7.28899349204777,-7.3232707229438
2001,31,-7.33054024173739,-7.30823284557926
2001,32,-7.26127046572075,-7.26443022292087
2001,33,-7.20478221013662,-7.23625934595417
2001,34,-7.17166228005751,-7.16912004311654
2001,35,-7.09961717210429,-7.10620621770598
2001,36,-7.05590691806433,-7.04701734631564
2001,37,-6.95261477010376,-6.94857727350239
2001,38,-6.84825035566703,-6.90775527898214
2001,39,-6.85509436400137,-6.81244509917781
2001,40,-6.74029935253552,-6.75933527386386
2001,41,-6.66795223216539,-6.64539101451465
2001,42,-6.5879199361518,-6.6076506865318
2001,43,-6.51302437564563,-6.53619172254965
2001,44,-6.46310336017791,-6.42532912973784
2001,45,-6.37492896851928,-6.40093767661368
2001,46,-6.33206630758454,-6.2606520369236
2001,47,-6.21699655508643,-6.17059121300542
2001,48,-6.15396611234094,-6.09682506276581
2001,49,-6.04383370442709,-6.00353712834225
2001,50,-5.95099043641551,-5.91080664409053
2001,51,-5.888415766208,-5.79919265946086
2001,52,-5.76445882214483,-5.71080708959317
2001,53,-5.66767898904349,-5.58599943899982
2001,54,-5.54575812349898,-5.52647345968579
2001,55,-5.4579296156152,-5.399243285138
2001,56,-5.33282770369524,-5.34540897408189
2001,57,-5.23541821907323,-5.19395735122379
2001,58,-5.17195051620234,-5.14817470811832
2001,59,-5.11717003067935,-5.02220193046772
2001,60,-5.01047397022754,-4.98496754734768
2001,61,-4.87590586617715,-4.8848840887907
2001,62,-4.74999453344074,-4.77833380499728
2001,63,-4.68257974706385,-4.67237893568154
2001,64,-4.55529895478144,-4.5912672808191
2001,65,-4.49905717437646,-4.48561095093045
2001,66,-4.38888973057433,-4.3868381916711
2001,67,-4.2383357757673,-4.25662822527955
2001,68,-4.17841859298567,-4.17794358609841
2001,69,-4.05957364702736,-4.08459227077942
2001,70,-3.98358340625624,-3.9910662127686
2001,71,-3.86303409437878,-3.87136102370926
