"Age","Year","log_mx"
0,1950,-1.90743370497848
1,1950,-4.19746588192351
2,1950,-4.81637378897252
3,1950,-5.34696448566589
4,1950,-5.67109607336289
5,1950,-5.98007568488948
6,1950,-6.13293145627416
7,1950,-6.29274797177062
8,1950,-6.42907659774755
9,1950,-6.58139461042302
10,1950,-6.63114161912546
11,1950,-6.72651774919091
12,1950,-6.65232231184194
13,1950,-6.74101321650522
14,1950,-6.61470100976076
15,1950,-6.69929559811698
16,1950,-6.70229722417096
17,1950,-6.6121506755289
18,1950,-6.46631356982734
19,1950,-6.45959388529084
20,1950,-6.34471274177781
21,1950,-6.40120739456096
22,1950,-6.26783428751456
23,1950,-6.25537472681564
24,1950,-6.15789576621336
25,1950,-6.13024229864109
26,1950,-6.09064828158151
27,1950,-6.0500111732516
28,1950,-6.01505569213514
29,1950,-6.15064001959255
30,1950,-5.99453297564287
31,1950,-6.17514251585043
32,1950,-5.9255223750472
33,1950,-5.94267684811352
34,1950,-5.90781720105855
35,1950,-5.83596326319047
36,1950,-5.77025192003312
37,1950,-5.74350349984396
38,1950,-5.57885059545296
39,1950,-5.66809371954622
40,1950,-5.39048495113337
41,1950,-5.64822951790729
42,1950,-5.26309827947864
43,1950,-5.40230287523344
44,1950,-5.28829722957974
45,1950,-5.15403388198809
46,1950,-5.13771240477806
47,1950,-5.09278605871841
48,1950,-4.88752547515987
49,1950,-4.97217001255075
50,1950,-4.67161766501127
51,1950,-4.87347599095028
52,1950,-4.5270911414511
53,1950,-4.55448052223078
54,1950,-4.42015182108592
55,1950,-4.38858138747544
56,1950,-4.2484752135848
57,1950,-4.23823583562721
58,1950,-4.02463868581784
59,1950,-4.0608960169994
60,1950,-3.75943917426475
61,1950,-3.98553017038394
62,1950,-3.63234825260716
63,1950,-3.57375970575123
64,1950,-3.47620433483791
65,1950,-3.31070151288474
66,1950,-3.32606107722624
67,1950,-3.18477994196071
68,1950,-3.06181641231459
69,1950,-3.13858641324571
70,1950,-2.73630751297445
71,1950,-2.95850969481384
72,1950,-2.5446453477281
73,1950,-2.54810091966887
74,1950,-2.409723914822
75,1950,-2.31555934583212
76,1950,-2.25047692627019
77,1950,-2.19508264417872
78,1950,-1.93927030915169
79,1950,-2.13048996328792
80,1950,-1.7902951403178
81,1950,-2.11496014343076
82,1950,-1.72927164026301
83,1950,-1.77934657767585
84,1950,-1.51576488585485
85,1950,-1.52908652503994
86,1950,-1.43233684865867
87,1950,-1.43851904681141
88,1950,-1.30570385543985
89,1950,-1.39565729265548
90,1950,-1.13992712557252
91,1950,-1.6387269530434
92,1950,-1.23190905163749
93,1950,-1.28696131452101
94,1950,-1.19267441786765
95,1950,-1.03751425456777
96,1950,-0.99108820055889
97,1950,-0.945932281954
98,1950,-0.902000355238633
99,1950,-0.859272846517635
100,1950,-0.81769850271848
0,1951,-1.92486273031381
1,1951,-4.21674293128867
2,1951,-4.83455640539461
3,1951,-5.36344160991323
4,1951,-5.68649629400706
5,1951,-5.99432287859965
6,1951,-6.14660483400558
7,1951,-6.30586678714625
8,1951,-6.44185656911481
9,1951,-6.59345551942448
10,1951,-6.64286812760707
11,1951,-6.73778718160621
12,1951,-6.66358143891521
13,1951,-6.75107913572544
14,1951,-6.62441994564336
15,1951,-6.70734540969359
16,1951,-6.7088189704622
17,1951,-6.61819891639288
18,1951,-6.47234118766284
19,1951,-6.46509600967587
20,1951,-6.35070809746081
21,1951,-6.40666046542023
22,1951,-6.27401133430704
23,1951,-6.26137397135257
24,1951,-6.16429176825619
25,1951,-6.13658743396141
26,1951,-6.09707127788931
27,1951,-6.05641187502785
28,1951,-6.02146099348919
29,1951,-6.15582713932899
30,1951,-6.00038576126005
31,1951,-6.17969119454598
32,1951,-5.9313215507953
33,1951,-5.94800503122058
34,1951,-5.91325322509636
35,1951,-5.84148613093497
36,1951,-5.77586822562151
37,1951,-5.74899832221923
38,1951,-5.58496333382863
39,1951,-5.67313241570664
40,1951,-5.39679534098922
41,1951,-5.65261976976302
42,1951,-5.26926153058439
43,1951,-5.4071041500836
44,1951,-5.29332923014852
45,1951,-5.15932675970204
46,1951,-5.14262628887016
47,1951,-5.09734131012591
48,1951,-4.89285297542074
49,1951,-4.97638332143887
50,1951,-4.6771578648569
51,1951,-4.87728952211584
52,1951,-4.53247600414149
53,1951,-4.55912641411279
54,1951,-4.42513956797584
55,1951,-4.39327171834727
56,1951,-4.25345654072398
57,1951,-4.24274700172617
58,1951,-4.02990899387652
59,1951,-4.06531255807141
60,1951,-3.76521968706197
61,1951,-3.9893734771182
62,1951,-3.63779319208741
63,1951,-3.57901249589053
64,1951,-3.48144088686911
65,1951,-3.31640440126163
66,1951,-3.33111594297517
67,1951,-3.19006988179617
68,1951,-3.06728293113817
69,1951,-3.14291592410497
70,1951,-2.74254190188673
71,1951,-2.96273732106238
72,1951,-2.55071267229029
73,1951,-2.55349974813739
74,1951,-2.41528158976976
75,1951,-2.32106396141415
76,1951,-2.25566507509946
77,1951,-2.19993184119677
78,1951,-1.94499134746623
79,1951,-2.13429150330325
80,1951,-1.79561404680315
81,1951,-2.11756227051452
82,1951,-1.73353742887759
83,1951,-1.78265825563442
84,1951,-1.51999928215211
85,1951,-1.53264097153091
86,1951,-1.43582374652991
87,1951,-1.44131246753892
88,1951,-1.30867425569748
89,1951,-1.39746709917024
90,1951,-1.14271658456772
91,1951,-1.63789945912879
92,1951,-1.23299590101841
93,1951,-1.28723330410309
94,1951,-1.19296085695749
95,1951,-1.03823163068204
96,1951,-0.991584364269092
97,1951,-0.946218713207652
98,1951,-0.902089835077806
99,1951,-0.859179140845073
100,1951,-0.817436476412278
0,1952,-2.34772174785796
1,1952,-4.68443828423405
2,1952,-5.27569887714496
3,1952,-5.76320582145877
4,1952,-6.06013291718415
5,1952,-6.33998502660467
6,1952,-6.47834519026619
7,1952,-6.62415247864932
8,1952,-6.75192130495814
9,1952,-6.88607452897446
10,1952,-6.92737398839694
11,1952,-7.01120356764786
12,1952,-6.93674779911095
13,1952,-6.99529616050154
14,1952,-6.86021854021874
15,1952,-6.90264809295973
16,1952,-6.86704808404295
17,1952,-6.7649399498359
18,1952,-6.61858186991622
19,1952,-6.59858729028945
20,1952,-6.49616604276554
21,1952,-6.53896162063619
22,1952,-6.4238774276623
23,1952,-6.40692626713982
24,1952,-6.31947010370558
25,1952,-6.2905316526491
26,1952,-6.25290454200768
27,1952,-6.21170423433229
28,1952,-6.17686494669595
29,1952,-6.28167584936505
30,1952,-6.14238470430829
31,1952,-6.29005019439355
32,1952,-6.07201982348865
33,1952,-6.07727618841957
34,1952,-6.04514079423754
35,1952,-5.97548068218098
36,1952,-5.91212974441802
37,1952,-5.88231244314577
38,1952,-5.7332691911162
39,1952,-5.7953801069635
40,1952,-5.54989657318226
41,1952,-5.75913505393801
42,1952,-5.41879291615035
43,1952,-5.52359157993349
44,1952,-5.41541447449554
45,1952,-5.28774134554623
46,1952,-5.26184581833507
47,1952,-5.20785977560429
48,1952,-5.02210756556176
49,1952,-5.07860565589335
50,1952,-4.81157292356778
51,1952,-4.96981254110371
52,1952,-4.66312230839896
53,1952,-4.6718439780066
54,1952,-4.54615113971034
55,1952,-4.50706745082584
56,1952,-4.37431235793787
57,1952,-4.35219587955391
58,1952,-4.15777599991784
59,1952,-4.17246566518573
60,1952,-3.90546516351914
61,1952,-4.08261890412872
62,1952,-3.76989706564934
63,1952,-3.70645448618753
64,1952,-3.60848891190931
65,1952,-3.45476657182608
66,1952,-3.45375593708208
67,1952,-3.31841318950558
68,1952,-3.19991035778168
69,1952,-3.24795752414698
70,1952,-2.89379921660812
71,1952,-3.06530702003341
72,1952,-2.69791671004506
73,1952,-2.68448488690261
74,1952,-2.55012062540298
75,1952,-2.45461568287822
76,1952,-2.38153875274966
77,1952,-2.31758194769904
78,1952,-2.08379386765733
79,1952,-2.22652359575293
