"year","age","pred","actual"
2001,0,-5.59754170063439,-5.51151058700908
2001,1,-7.84992008467518,-7.98656494035407
2001,2,-8.12333096619398,-8.33487163462228
2001,3,-8.31318891529331,-8.56848648580379
2001,4,-8.46658317471027,-8.74033674273045
2001,5,-8.59752833857936,-8.80487526386802
2001,6,-8.675979341827,-9.11503019217186
2001,7,-8.76716619326021,-9.11503019217186
2001,8,-8.86406064769434,-8.94797610750869
2001,9,-8.92642319318519,-8.87386813535497
2001,10,-8.92131883524612,-8.67971212091401
2001,11,-8.89713438550925,-8.94797610750869
2001,12,-8.79494096816139,-8.87386813535497
2001,13,-8.63264952717289,-8.80487526386802
2001,14,-8.45411449092049,-8.62255370707406
2001,15,-8.30718348471027,-8.29404964010203
2001,16,-8.10311876526902,-8.01641790350375
2001,17,-7.91108934646416,-7.72873583105197
2001,18,-7.79672370672708,-7.70626297519991
2001,19,-7.73025654461004,-7.5810998322459
2001,20,-7.68130018706145,-7.48757377423508
2001,21,-7.68462031187093,-7.60090245954208
2001,22,-7.66351037785694,-7.50559227973776
2001,23,-7.56842869456741,-7.5810998322459
2001,24,-7.47269094052868,-7.60090245954208
2001,25,-7.45086877052319,-7.50559227973776
2001,26,-7.42322939939533,-7.50559227973776
2001,27,-7.38115313223009,-7.45248245442381
2001,28,-7.35632293400476,-7.33853819507459
2001,29,-7.3137264552575,-7.33853819507459
2001,30,-7.22934303624179,-7.20886037176606
2001,31,-7.17412531676284,-7.1821921246839
2001,32,-7.05531564017856,-7.04701734631564
2001,33,-7.01913323210153,-6.98032597181697
2001,34,-7.00646812176167,-6.93821448646685
2001,35,-6.94372137565392,-6.88795265168596
2001,36,-6.9138366851168,-6.78553764625789
2001,37,-6.84663140545742,-6.74224084050456
2001,38,-6.7998870476676,-6.61508566501932
2001,39,-6.72805716749692,-6.54311216539423
2001,40,-6.67363213692411,-6.52931884326189
2001,41,-6.67780916117348,-6.46950034805098
2001,42,-6.54805166448203,-6.45667965962192
2001,43,-6.46948848254774,-6.32553965912947
2001,44,-6.38108856561707,-6.27117844991059
2001,45,-6.28068659180154,-6.16581793425276
2001,46,-6.20323646835141,-6.09239046569794
2001,47,-6.04265476564748,-5.97559119795169
2001,48,-5.98427209681565,-5.91450350597185
2001,49,-5.90446876356177,-5.79261368836282
2001,50,-5.80518281777783,-5.74460446917646
2001,51,-5.73384171278203,-5.68692535758978
2001,52,-5.6403896326894,-5.57012608984353
2001,53,-5.58515726470806,-5.49921030892743
2001,54,-5.5490889897163,-5.41935569492509
2001,55,-5.46010039083981,-5.31648133717571
2001,56,-5.33817845776679,-5.28441446137905
2001,57,-5.23248993052012,-5.14473827861974
2001,58,-5.12644608221695,-5.11766386685478
2001,59,-4.99058812942441,-5.05615580939807
2001,60,-4.90769597349065,-4.91988093082779
2001,61,-4.81599316081807,-4.88886023717034
2001,62,-4.67891399350047,-4.78549374011937
2001,63,-4.58039864053326,-4.67130998849264
2001,64,-4.48146106156214,-4.57270299585059
2001,65,-4.37728918560491,-4.52728364733102
2001,66,-4.30806097053617,-4.41372372141714
2001,67,-4.18210206579938,-4.31999124375443
2001,68,-4.10754316204491,-4.2370608644237
2001,69,-3.97867125460632,-4.11352738163887
2001,70,-3.83607924106041,-3.99867081215382
2001,71,-3.77272621393177,-3.90355892701602
2001,72,-3.60268563928385,-3.82309679623374
2001,73,-3.43975087857413,-3.69771840278114
2001,74,-3.31743269592176,-3.59757729570715
2001,75,-3.19401215654085,-3.47635205526292
2001,76,-3.09860835799686,-3.37992524638662
2001,77,-2.96166626423005,-3.25165731439258
2001,78,-2.83519519320269,-3.15543165231167
2001,79,-2.7466611627813,-3.03301885834001
2001,80,-2.6438584284535,-2.91231066541492
2001,81,-2.58864769168035,-2.79344470411916
2001,82,-2.43425095858737,-2.67292439912684
2001,83,-2.27609722617864,-2.58534596112676
2001,84,-2.13094832792668,-2.45178139935617
2001,85,-1.97685701231343,-2.33180795167095
2001,86,-1.88555995556696,-2.2182439445603
2001,87,-1.852016858484,-2.08933027443021
2001,88,-1.77786629122083,-2.00026074380539
2001,89,-1.73975893331255,-1.88032842224604
2001,90,-1.6888225232761,-1.76282221933346
2001,91,-1.69088059991138,-1.66394689793449
2001,92,-1.53729598586242,-1.52698273249791
2001,93,-1.47914826231102,-1.46776475411795
2001,94,-1.37976675022884,-1.38557462019554
2001,95,-1.27833839455983,-1.27004138429564
2001,96,-1.21973133040522,-1.17674681807234
2001,97,-1.13152548715637,-1.08687148246509
2001,98,-1.09832302467804,-1.00067828138442
2001,99,-0.980592479735609,-0.918367887669355
2001,100,-1.06541413943917,-0.840117037651313
2002,0,-5.70170905111517,-5.4894778720092
2002,1,-7.90855082931032,-7.87533930524384
2002,2,-8.16353040347881,-8.46840302724681
2002,3,-8.37625792845348,-8.56848648580379
2002,4,-8.54534991769839,-8.74033674273045
2002,5,-8.68320492434944,-8.87386813535497
2002,6,-8.75225902716706,-8.74033674273045
2002,7,-8.78879618705827,-8.87386813535497
2002,8,-8.86339516547211,-8.94797610750869
2002,9,-8.92048576808471,-9.02801881518223
2002,10,-8.94005373850074,-9.02801881518223
2002,11,-8.94989206737562,-9.31570088763401
2002,12,-8.89325260827681,-8.94797610750869
2002,13,-8.73718275815522,-8.80487526386802
2002,14,-8.54275204754526,-8.42188301161191
2002,15,-8.35640214912017,-8.18072095479502
2002,16,-8.1471301527283,-8.01641790350375
2002,17,-7.95541541107825,-7.95757740348081
2002,18,-7.856516312888,-7.75172534927667
2002,19,-7.78234449391152,-7.64172445406234
2002,20,-7.75048407712817,-7.46987419713568
2002,21,-7.74766017982428,-7.52394141840595
2002,22,-7.71303901368514,-7.40205160079692
2002,23,-7.62814707152972,-7.54263355141811
2002,24,-7.54408015124426,-7.60090245954208
2002,25,-7.4898954168297,-7.6211051668596
2002,26,-7.46864567690178,-7.50559227973776
2002,27,-7.39955043683912,-7.43538802106451
2002,28,-7.36771946885849,-7.41858090274813
2002,29,-7.33095886238171,-7.3232707229438
2002,30,-7.253275804974,-7.25024558792891
2002,31,-7.20753498344586,-7.23625934595417
2002,32,-7.0750015576034,-7.14347761250321
2002,33,-7.05825475212813,-7.04701734631564
2002,34,-7.02783459431479,-7.00206595845338
2002,35,-6.99224860039177,-6.95904857336969
2002,36,-6.9553017378277,-6.84948637085816
2002,37,-6.88705079797492,-6.75933527386386
2002,38,-6.84241536913435,-6.75075153017247
2002,39,-6.76867981747235,-6.5929445391421
2002,40,-6.73036829131844,-6.54311216539423
2002,41,-6.71852175143556,-6.4377516497364
2002,42,-6.58913684281767,-6.45033043194326
2002,43,-6.50331096376164,-6.32553965912947
2002,44,-6.40740691506633,-6.23992590640648
2002,45,-6.30169971667154,-6.1516332992608
2002,46,-6.21221854292769,-6.05333995082607
2002,47,-6.0464392024431,-5.96774802049067
2002,48,-5.98343546240236,-5.87457079563648
2002,49,-5.89333129088813,-5.82256601064617
2002,50,-5.81361583916117,-5.75402369109295
2002,51,-5.73974419114771,-5.70178447199353
2002,52,-5.6403383154942,-5.62682143352007
2002,53,-5.59618475027799,-5.51647337635121
2002,54,-5.55137333068664,-5.417100902538
2002,55,-5.46699086040814,-5.41485118280399
2002,56,-5.34650745960342,-5.27460083993072
2002,57,-5.23260021173235,-5.20847666254825
2002,58,-5.14407267067341,-5.1361985170716
2002,59,-5.01376623463749,-5.04833716128027
2002,60,-4.92280002152774,-4.90762754402203
2002,61,-4.83546428414063,-4.87435767580371
2002,62,-4.69395375510483,-4.80118506991405
2002,63,-4.59756357346775,-4.67881672615639
2002,64,-4.49128398294488,-4.60018264447705
2002,65,-4.4073408538894,-4.51991034203727
2002,66,-4.32012253221828,-4.44475346458219
2002,67,-4.19875855149313,-4.32829631225291
2002,68,-4.12562700388275,-4.27227577071476
2002,69,-3.99371230649327,-4.13704331675522
2002,70,-3.86270035152523,-4.04213169077517
2002,71,-3.79379167114578,-3.9476501830713
2002,72,-3.62417521997617,-3.83459910846334
2002,73,-3.46553831468574,-3.7272045684356
2002,74,-3.33219565396036,-3.6071151523113
2002,75,-3.2147275676772,-3.49298377729286
2002,76,-3.11942258960005,-3.37757851606352
2002,77,-2.97770280708721,-3.2607400289669
2002,78,-2.86493089404977,-3.14655516328857
2002,79,-2.75782954531294,-3.02846209817691
2002,80,-2.65866237193919,-2.92620621090538
2002,81,-2.59394908336131,-2.80313040735248
2002,82,-2.4412142342485,-2.68501750199164
2002,83,-2.29528600531019,-2.56148536402037
2002,84,-2.13984793826545,-2.43417551338164
2002,85,-1.9949537569772,-2.33252896936712
2002,86,-1.89376827803164,-2.19867562960353
2002,87,-1.84924108113095,-2.08715118474989
2002,88,-1.77564336200951,-1.97580250692035
2002,89,-1.73924646342609,-1.90166362493575
2002,90,-1.68678994869678,-1.75787991779438
2002,91,-1.69879838109563,-1.63316723913334
2002,92,-1.53264945054704,-1.53814103055207
2002,93,-1.48281721881454,-1.42736638689536
2002,94,-1.37541622092016,-1.35247281264438
